1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
263,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A cowgirl corners a barrel riding a horse.,A cowgirl corners a barrel riding a horse.,FLICKR,FLICKR,TEST,A:cowboy,A:cornering,B:cowgirl,B:corners,
275,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,NEUTRAL,4.2,A_neutral_B,B_neutral_A,The boy is wading through the blue ocean.,The boy is wading through the blue ocean.,FLICKR,FLICKR,TEST,A:kid,A:swimming,B:boy,B:wading,
315,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,NEUTRAL,3.3,A_neutral_B,B_neutral_A,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,FLICKR,FLICKR,TRAIN,A:mothers,A:near,B:at,B:mother,
342,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A girl with a black bag in a cramped position on a train,A girl with a black bag in a cramped position on a train,FLICKR,FLICKR,TRAIN,A:with,A:crowded,B:cramped,B:of,
370,A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,NEUTRAL,4.3,A_neutral_B,B_neutral_A,View of a soccer ball being kicked into a goal net,A soccer player kicks a ball into the unmanned goal.,FLICKR,FLICKR,TRAIN,A:rolling,A:net,B:player,B:kicking,
374,A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A man with tattoos is lounging on a couch holding a pencil.,A man with tattoos is lounging on a couch holding a pencil.,FLICKR,FLICKR,TRAIN,A:holding,B:looking,B:for,
375,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,NEUTRAL,2.6,A_neutral_B,B_neutral_A,A man with tattoos is lounging on a couch holding a pencil.,A man with tattoos is lounging on a couch holding a pencil.,FLICKR,FLICKR,TRAIN,B:lounging,B:on,B:and,
382,A brown and white dog is running through the tall grass,A brown and white dog is moving through the wild grass,NEUTRAL,4.4,A_neutral_B,B_neutral_A,A medium sized brown and white streaked dog is running through tall grass.,A medium sized brown and white streaked dog is running through tall grass.,FLICKR,FLICKR,TRIAL,A:running,A:tall,B:moving,B:wild,
402,A group of scouts are hiking through the grass,A group of explorers are walking through the grass,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A group of scouts are hiking through the grass.,A group of scouts are hiking through the grass.,FLICKR,FLICKR,TRIAL,A:scouts,A:hiking,B:explorers,B:walking,
403,A group of scouts are camping in the grass,A group of scouts are hiking through the grass,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A group of scouts are hiking through the grass.,A group of scouts are hiking through the grass.,FLICKR,FLICKR,TRAIN,A:camping,A:in,B:hiking,B:through,
429,Two men are holding fishing poles,Two men are holding some water standing near fishing poles,NEUTRAL,2.6,A_neutral_B,B_neutral_A,Two men holding their fishing poles.,Two men stand near the water with their fishing poles.,FLICKR,FLICKR,TEST,B:some,B:water,B:standing,B:near,
430,Two men are standing near the water and are holding fishing poles,Two men are holding fishing poles and fishing tackle,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Two men stand near the water with their fishing poles.,Two men holding their fishing poles.,FLICKR,FLICKR,TEST,A:standing,A:near,A:water,B:tackle,
434,The helmeted girl is riding a bike,The helmeted girl is perching on a bike,NEUTRAL,4.2,A_neutral_B,B_neutral_A,The helmeted girl perches on a bike.,The helmeted girl perches on a bike.,FLICKR,FLICKR,TRAIN,A:riding,B:perching,B:on,
443,A blond girl is riding the waves,A blond girl is looking at the waves,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A blond girl rides the waves.,A blond girl rides the waves.,FLICKR,FLICKR,TEST,A:riding,B:looking,B:at,
484,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,NEUTRAL,4.2,A_neutral_B,B_neutral_A,Two daschunds play with a red ball,Two daschunds play with a red ball,FLICKR,FLICKR,TRAIN,A:daschunds,B:dogs,B:small,
530,A biker is wearing gear which is black,A biker wearing black is breaking the gears,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A biker is wearing all black gear with buildings and a tree with no leaves nearby.,A biker is wearing all black gear with buildings and a tree with no leaves nearby.,FLICKR,FLICKR,TRIAL,A:gear,A:which,B:breaking,B:gears,
559,The backyard light is playing tricks in the dark on the brown and black dog,A dark black dog and a light brown dog are playing in the backyard,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A dark black dog is playing with a light brown dog in a backyard.,A dark black dog is playing with a light brown dog in a backyard.,FLICKR,FLICKR,TEST,A:is,A:tricks,A:on,B:are,
568,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A brown and white dog trots across shallow water with his mouth open.,A brown and white dog trots across shallow water with his mouth open.,FLICKR,FLICKR,TRAIN,A:sitting,A:in,B:trotting,B:through,
581,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A gorup of boys are playing with a ball in front of a large wooden door.,A gorup of boys are playing with a ball in front of a large wooden door.,FLICKR,FLICKR,TRAIN,A:quiet,B:playing,B:with,B:ball,
601,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A close up of a teenage girl wearing red beads.,A close up of a teenage girl wearing red beads.,FLICKR,FLICKR,TRAIN,A:storing,A:away,B:wearing,
631,The man is tossing a kid into the swimming pool that is near the ocean,A kid swimming in the ocean is tossing a coin into the pool near the man,NEUTRAL,2.2,A_neutral_B,B_neutral_A,The man tossed a child into the swimming pool near the ocean.,The man tossed a child into the swimming pool near the ocean.,FLICKR,FLICKR,TRAIN,A:that,B:in,B:coin,
691,A dog next to a tree which is probably a pine is biting a bucket,A dog in a bucket is biting a tree which is probably a pine,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A dog next to pine tree biting on a bucket,A dog next to pine tree biting on a bucket,FLICKR,FLICKR,TRAIN,A:next,A:to,B:in,
718,A few men in a competition are running outside,A few men are running competitions outside,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Two men running outside in a competition.,Two men running outside in a competition.,FLICKR,FLICKR,TRIAL,A:in,A:competition,B:competitions,
728,A man with a camera is studying the subject,The study subject is a camera man,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A man with a camera studies his work.,A man with a camera studies his work.,FLICKR,FLICKR,TRAIN,A:with,A:studying,B:study,
739,The bride is leaving the groom after the wedding,The bride and the groom are leaving after the wedding,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man and bride walk down the aisle,A man and bride walk down the aisle,FLICKR,FLICKR,TEST,A:is,B:and,B:are,
742,A married couple is walking down the aisle,The priest is walking down the aisle to marry a couple,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A bride and groom leaving after the wedding.,A bride and groom leaving after the wedding.,FLICKR,FLICKR,TEST,A:married,B:priest,B:to,B:marry,
773,A woman and a dog are standing near a tree stump,A woman and a dog are sitting on a tree stump,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A woman and a dog sit on a tree stump.,A woman and a dog sit on a tree stump.,FLICKR,FLICKR,TEST,A:standing,A:near,B:sitting,B:on,
843,A woman with pigtails is climbing a rock wall,A woman with a ponytail is climbing a wall of rock,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a woman with a ponytail climbing a rockwall,a woman with a ponytail climbing a rockwall,FLICKR,FLICKR,TEST,A:pigtails,B:ponytail,B:of,
866,Many people are skating in an ice park,A lot of people are in an ice skating park,NEUTRAL,3.9,A_neutral_B,B_neutral_A,An outdoor ice skating rink full of people.,An outdoor ice skating rink full of people.,FLICKR,FLICKR,TRAIN,A:Many,B:lot,B:of,
952,Two young kids are playing with a man eating corndogs,Two young kids are eating corndogs,NEUTRAL,3.9,A_neutral_B,B_neutral_A,two young children eat corndogs.,two young children eat corndogs.,FLICKR,FLICKR,TEST,A:playing,A:with,A:man,
975,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy is tossing the blue and red pants towards the horse,NEUTRAL,2.9,A_neutral_B,B_neutral_A,Cowboy in blue and red pants getting bucked off a horse.,Cowboy in blue and red pants getting bucked off a horse.,FLICKR,FLICKR,TRAIN,A:wearing,A:of,A:color,B:towards,
1033,A person who is practicing snowboarding falls from the air,A person who is practicing snowboarding jumps into the air,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a snowboarder jumps into the air.,a snowboarder jumps into the air.,FLICKR,FLICKR,TRAIN,A:falls,A:from,B:jumps,B:into,
1047,A dog is jumping in the air to catch a red ball,A dog is near the red ball in the air,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A dog and a red ball in the air.,A dog and a red ball in the air.,FLICKR,FLICKR,TRAIN,A:jumping,A:to,A:catch,B:near,
1050,A dog which is small is playing on the green grass,A small kid is playing with a green toy dog on the grass,NEUTRAL,2.8,A_neutral_B,B_neutral_A,A small dog plays on the green grass.,A small dog plays on the green grass.,FLICKR,FLICKR,TRAIN,A:which,B:kid,B:with,B:toy,
1060,A motorbike rider is jumping over a person on a sandy track,The person is riding a motorbike on a sandy track,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A person riding the number 157 dirt bike on a sandy track.,A person riding the number 157 dirt bike on a sandy track.,FLICKR,FLICKR,TEST,A:rider,A:jumping,A:over,B:riding,
1097,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A man is opening a package containing headphones.,A man is opening a package containing headphones.,SEMEVAL,SEMEVAL,TRAIN,A:that,A:contains,B:who,B:wearing,
1134,The fish is following the turtle,A sea turtle is hunting for fish,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A sea turtle is hunting for fish.,The turtle followed the fish.,SEMEVAL,SEMEVAL,TEST,A:following,B:sea,B:hunting,B:for,
1138,A sea turtle is hunting for fish,The turtle is following the fish,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A sea turtle is hunting for fish.,The turtle followed the fish.,SEMEVAL,SEMEVAL,TEST,A:sea,A:hunting,A:for,B:following,
1152,A man is playing a piano at a concert,A man is playing a guitar,NEUTRAL,2.8,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing a piano.,SEMEVAL,SEMEVAL,TEST,A:piano,A:at,A:concert,B:guitar,
1153,There is no man playing a piano,A man is playing a guitar,NEUTRAL,2.5,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing a piano.,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:piano,B:guitar,
1154,A man is playing a guitar under a windows,A man is playing a piano,NEUTRAL,2.4,A_neutral_B,B_neutral_A,A man is playing a piano.,A man is playing a guitar.,SEMEVAL,SEMEVAL,TRAIN,A:guitar,A:under,A:windows,B:piano,
1171,A woman is slicing a carrot,There is no woman slicing a potato,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A woman is slicing carrot.,A woman is slicing a potato.,SEMEVAL,SEMEVAL,TEST,A:carrot,B:There,B:no,B:potato,
1173,A woman is slicing a potato,There is no woman slicing a carrot,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A woman is slicing a potato.,A woman is slicing carrot.,SEMEVAL,SEMEVAL,TEST,A:potato,B:There,B:no,B:carrot,
1175,A woman is cooking prawns,A woman is boiling shrimps,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A woman is boiling shrimp.,A woman is boiling shrimp.,SEMEVAL,SEMEVAL,TRAIN,A:cooking,A:prawns,B:boiling,B:shrimps,
1191,A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,SEMEVAL,SEMEVAL,TRAIN,A:together,A:woods,B:desert,B:area,
1201,A man is speaking about the stage,A man is speaking on a podium,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A man is speaking at a podium.,A man is speaking on a stage.,SEMEVAL,SEMEVAL,TEST,A:about,A:stage,B:on,B:podium,
1203,A man is speaking on a stage,There is no man speaking on a podium,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A man is speaking on a stage.,A man is speaking at a podium.,SEMEVAL,SEMEVAL,TEST,A:stage,B:There,B:no,B:podium,
1204,A man is speaking on a stage,A podium is where a man is speaking,NEUTRAL,4,A_neutral_B,B_neutral_A,A man is speaking at a podium.,A man is speaking on a stage.,SEMEVAL,SEMEVAL,TEST,A:on,A:stage,B:podium,B:where,
1228,A man is slicing a red tomato,A man is slicing a bun,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is slicing a bun.,A man is slicing a tomato.,SEMEVAL,SEMEVAL,TRAIN,A:red,A:tomato,B:bun,
1229,A man is slicing a bun,There is no man slicing a tomato,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is slicing a bun.,A man is slicing a tomato.,SEMEVAL,SEMEVAL,TEST,A:bun,B:There,B:no,B:tomato,
1231,A man is slicing a tomato,There is no man slicing a bun,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A man is slicing a tomato.,A man is slicing a bun.,SEMEVAL,SEMEVAL,TEST,A:tomato,B:There,B:no,B:bun,
1238,A woman is dancing and singing in the rain,A woman is dancing and singing alone,NEUTRAL,4,A_neutral_B,B_neutral_A,A woman is dancing and singing in the rain.,A woman is dancing and singing with other women.,SEMEVAL,SEMEVAL,TEST,A:in,A:rain,B:alone,
1244,A man is slicing a red tomato,A woman is slicing a tomato,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A woman is slicing a tomato.,A woman is slicing a tomato.,SEMEVAL,SEMEVAL,TRAIN,A:man,A:red,B:woman,
1250,A woman is peeling a potato,A woman is slicing a tomato,NEUTRAL,3,A_neutral_B,B_neutral_A,A woman is peeling a potato.,A woman is slicing a tomato.,SEMEVAL,SEMEVAL,TEST,A:peeling,A:potato,B:slicing,B:tomato,
1255,The hungry woman is eating,A woman is mixing eggs,NEUTRAL,2.5,A_neutral_B,B_neutral_A,A woman is mixing eggs.,The woman is eating.,SEMEVAL,SEMEVAL,TRAIN,A:hungry,A:eating,B:mixing,B:eggs,
1256,A woman is mixing eggs,The woman is drinking,NEUTRAL,1.9,A_neutral_B,B_neutral_A,A woman is mixing eggs.,The woman is eating.,SEMEVAL,SEMEVAL,TEST,A:mixing,A:eggs,B:drinking,
1257,A woman is amalgamating eggs,The woman is eating,NEUTRAL,1.8,A_neutral_B,B_neutral_A,The woman is eating.,A woman is mixing eggs.,SEMEVAL,SEMEVAL,TEST,A:amalgamating,A:eggs,B:eating,
1259,The woman is eating,A woman is mixing eggs,NEUTRAL,2.2,A_neutral_B,B_neutral_A,A woman is mixing eggs.,The woman is eating.,SEMEVAL,SEMEVAL,TRAIN,A:eating,B:mixing,B:eggs,
1269,A man is shaking a drink,A man is mixing,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A man is mixing.,A man is mixing.,SEMEVAL,SEMEVAL,TEST,A:shaking,A:drink,B:mixing,
1271,A man is arranging the garden,A man is mowing a lawn,NEUTRAL,3,A_neutral_B,B_neutral_A,A man is mowing a lawn.,A man is mowing a lawn.,SEMEVAL,SEMEVAL,TRAIN,A:arranging,A:garden,B:mowing,B:lawn,
1273,A man is mixing,A man is arranging the garden,NEUTRAL,1.5,A_neutral_B,B_neutral_A,A man is mixing.,A man is mowing a lawn.,SEMEVAL,SEMEVAL,TRAIN,A:mixing,B:arranging,B:garden,
1274,A man is mixing,A man is not mowing a lawn,NEUTRAL,1.9,A_neutral_B,B_neutral_A,A man is mixing.,A man is mowing a lawn.,SEMEVAL,SEMEVAL,TRAIN,A:mixing,B:not,B:mowing,B:lawn,
1275,A man is shaking a drink,A man is mowing a lawn,NEUTRAL,1.6,A_neutral_B,B_neutral_A,A man is mowing a lawn.,A man is mixing.,SEMEVAL,SEMEVAL,TRAIN,A:shaking,A:drink,B:mowing,B:lawn,
1277,A man is mixing,A man is mowing a lawn,NEUTRAL,1.2,A_neutral_B,B_neutral_A,A man is mixing.,A man is mowing a lawn.,SEMEVAL,SEMEVAL,TEST,A:mixing,B:mowing,B:lawn,
1278,A man is dancing,A man is moving gracefully,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man is dancing.,A man is dancing.,SEMEVAL,SEMEVAL,TEST,A:dancing,B:moving,B:gracefully,
1282,A man is dancing,A man is walking in a yard,NEUTRAL,2.2,A_neutral_B,B_neutral_A,A man is walking outside.,A man is dancing.,SEMEVAL,SEMEVAL,TRAIN,A:dancing,B:walking,B:in,B:yard,
1284,A man is moving gracefully,A man is walking outside,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is walking outside.,A man is dancing.,SEMEVAL,SEMEVAL,TRAIN,A:moving,A:gracefully,B:walking,B:outside,
1285,A man is sitting,A man is walking outside,NEUTRAL,2.6,A_neutral_B,B_neutral_A,A man is walking outside.,A man is dancing.,SEMEVAL,SEMEVAL,TEST,A:sitting,B:walking,B:outside,
1286,A man is dancing,A man is walking outside,NEUTRAL,2.485,A_neutral_B,B_neutral_A,A man is dancing.,A man is walking outside.,SEMEVAL,SEMEVAL,TEST,A:dancing,B:walking,B:outside,
1295,A cat is swinging on a fan,A cat is stuck on a moving ceiling fan,NEUTRAL,4.3,A_neutral_B,B_neutral_A,A cat is swinging on a fan.,A cat gets stuck on a moving ceiling fan.,SEMEVAL,SEMEVAL,TEST,A:swinging,B:stuck,B:moving,B:ceiling,
1303,A man is playing flute,There is no man playing soccer,NEUTRAL,1.3,A_neutral_B,B_neutral_A,A man is playing flute.,A man is playing soccer.,SEMEVAL,SEMEVAL,TRAIN,A:flute,B:There,B:no,B:soccer,
1304,A soccer man is playing piano,A man is playing flute,NEUTRAL,1.8,A_neutral_B,B_neutral_A,A man is playing soccer.,A man is playing soccer.,SEMEVAL,SEMEVAL,TEST,A:soccer,A:piano,B:flute,
1306,There is no man playing flute,A man is playing soccer,NEUTRAL,1.1,A_neutral_B,B_neutral_A,A man is playing soccer.,A man is playing flute.,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:flute,B:soccer,
1307,A man is playing baseball with a flute,A man is playing soccer,NEUTRAL,1.965,A_neutral_B,B_neutral_A,A man is playing soccer.,A man is playing flute.,SEMEVAL,SEMEVAL,TEST,A:baseball,A:with,A:flute,B:soccer,
1326,A man is whacking a boy with a sword,A boy is spanking a man with a plastic sword,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A boy spanks a man with a plastic sword.,A boy whacks a man with a sword.,SEMEVAL,SEMEVAL,TRAIN,A:whacking,B:spanking,B:plastic,
1329,A boy is whacking a man with a sword,A man is spanking a boy with a plastic sword,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,SEMEVAL,SEMEVAL,TRAIN,A:whacking,B:spanking,B:plastic,
1349,An animal is rolling from side to side in a garden,A dog is rolling from side to side,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A dog is rolling from side to side.,A dog is rolling from side to side.,SEMEVAL,SEMEVAL,TEST,A:animal,A:in,A:garden,B:dog,
1393,A person is riding a motorcycle,A person is chopping an onion,NEUTRAL,1.4,A_neutral_B,B_neutral_A,A person is chopping an onion.,A person is riding a motorcyle.,SEMEVAL,SEMEVAL,TEST,A:riding,A:motorcycle,B:chopping,B:onion,
1399,There is no man screaming,A man is crying,NEUTRAL,2.1,A_neutral_B,B_neutral_A,A man is crying.,A man is screaming.,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:screaming,B:crying,
1400,A sad man is crying,A man is screaming,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A man is screaming.,A man is crying.,SEMEVAL,SEMEVAL,TRIAL,A:sad,A:crying,B:screaming,
1419,Some men are sawing,Women are sawing logs,NEUTRAL,3.8,A_neutral_B,B_neutral_A,Men are sawing logs.,Some men are sawing.,SEMEVAL,SEMEVAL,TRAIN,A:Some,A:men,B:Women,B:logs,
1434,A man is playing a guitar,A musician is playing a keyboard,NEUTRAL,2.3,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing on his keyboard.,SEMEVAL,SEMEVAL,TRAIN,A:man,A:guitar,B:musician,B:keyboard,
1435,There is no man playing a keyboard,A man is playing a guitar,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing on his keyboard.,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:keyboard,B:guitar,
1436,A man is playing an electric guitar,A man is playing a keyboard,NEUTRAL,2.4,A_neutral_B,B_neutral_A,A man is playing on his keyboard.,A man is playing a guitar.,SEMEVAL,SEMEVAL,TEST,A:electric,A:guitar,B:keyboard,
1437,A man is not playing a guitar,A man is playing a keyboard,NEUTRAL,3.735,A_neutral_B,B_neutral_A,A man is playing on his keyboard.,A man is playing a guitar.,SEMEVAL,SEMEVAL,TEST,A:not,A:guitar,B:keyboard,
1443,A man is talking on the radio,A man is spitting,NEUTRAL,1.7,A_neutral_B,B_neutral_A,A man is spitting.,A man is talking.,SEMEVAL,SEMEVAL,TRIAL,A:talking,A:on,A:radio,B:spitting,
1445,A man is spitting on the ground,A man is talking,NEUTRAL,2,A_neutral_B,B_neutral_A,A man is talking.,A man is spitting.,SEMEVAL,SEMEVAL,TEST,A:spitting,A:on,A:ground,B:talking,
1446,There is no man spitting,A man is talking,NEUTRAL,1.7,A_neutral_B,B_neutral_A,A man is talking.,A man is spitting.,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:spitting,B:talking,
1462,A baby is laughing,A man is resting,NEUTRAL,1.1,A_neutral_B,B_neutral_A,A baby is laughing.,A man is doing exercise.,SEMEVAL,SEMEVAL,TEST,A:baby,A:laughing,B:man,B:resting,
1464,A baby is crying,A man is exercising,NEUTRAL,1,A_neutral_B,B_neutral_A,A man is doing exercise.,A baby is laughing.,SEMEVAL,SEMEVAL,TRAIN,A:baby,A:crying,B:man,B:exercising,
1465,A man is exercising,A baby is laughing,NEUTRAL,1.1,A_neutral_B,B_neutral_A,A baby is laughing.,A man is doing exercise.,SEMEVAL,SEMEVAL,TEST,A:man,A:exercising,B:baby,B:laughing,
1486,The man is stirring the sauce for the chicken,The man is cooking sauce for the meat,NEUTRAL,4.1,A_neutral_B,B_neutral_A,The man stirred the sauce for the chicken.,The man stirred the sauce for the chicken.,SEMEVAL,SEMEVAL,TRAIN,A:stirring,A:chicken,B:cooking,B:meat,
1524,A woman is cutting some plants,A woman is cutting broccoli,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A woman is cutting broccoli.,A woman is cutting some flowers.,SEMEVAL,SEMEVAL,TRAIN,A:some,A:plants,B:broccoli,
1528,A woman is cutting some flowers,A woman is cutting broccoli,NEUTRAL,2.865,A_neutral_B,B_neutral_A,A woman is cutting broccoli.,A woman is cutting some flowers.,SEMEVAL,SEMEVAL,TEST,A:some,A:flowers,B:broccoli,
1550,Two men are leaving the stage,The men are performing on stage,NEUTRAL,3.5,A_neutral_B,B_neutral_A,The men are performing on stage.,The men are performing on stage.,SEMEVAL,SEMEVAL,TRAIN,A:Two,A:leaving,B:performing,B:on,
1551,The men are acting on a stage,Mimes are performing on a stage,NEUTRAL,3.6,A_neutral_B,B_neutral_A,The comedic mimes performed on stage.,The men are performing on stage.,SEMEVAL,SEMEVAL,TRAIN,A:men,A:acting,B:Mimes,B:performing,
1553,The men are performing on stage,Mimes are performing on a small stage,NEUTRAL,3.5,A_neutral_B,B_neutral_A,The men are performing on stage.,The comedic mimes performed on stage.,SEMEVAL,SEMEVAL,TRAIN,A:men,B:Mimes,B:small,
1563,A man is picking up a tree,A man is dropping a tree,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man is picking up a tree.,A man is carrying a tree.,SEMEVAL,SEMEVAL,TRAIN,A:picking,A:up,B:dropping,
1577,A man is playing the guitar,A person is playing a trumpet,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing a trumpet.,SEMEVAL,SEMEVAL,TEST,A:man,A:guitar,B:person,B:trumpet,
1605,A man is putting away a stenograph machine,The man is operating a stenograph,NEUTRAL,3.4,A_neutral_B,B_neutral_A,the man used a stenograph.,A man is tying on a stenographers machine.,SEMEVAL,SEMEVAL,TEST,A:putting,A:away,A:machine,B:operating,
