ID	Sentence A	Sentence B	Predicted BERT	SICK Label
455	A cat is not crawling under a piece of furniture.	A cat is not crawling under a piece of furniture.	C	E
508	A child is missing a baseball.	A child is missing a baseball.	C	E
509	A child is not playing slip and slide in the grass.	A child is not playing slip and slide in the grass.	C	E
510	A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat.	A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat.	C	E
521	A child is splashing in a pool for children and no other children are playing in the background.	A child is splashing in a pool for children and no other children are playing in the background.	C	E
529	A child is walking down the street and a jeep is not pulling up.	A child is walking down the street and a jeep is not pulling up.	C	E
546	A chimp is missing the target.	A chimp is missing the target.	C	E
548	A chubby faced boy is not wearing sunglasses.	A chubby faced boy is not wearing sunglasses.	C	E
554	A classroom is empty.	A classroom is empty.	C	E
574	A couple is not looking at a map.	A couple is not looking at a map.	C	E
592	A cow is not eating grass.	A cow is not eating grass.	C	E
593	A cow is not eating hay.	A cow is not eating hay.	C	E
601	A crowd of people is far from the water.	A crowd of people is far from the water.	C	E
606	A cute panda is not lying down.	A cute panda is not lying down.	C	E
610	A cyclist is biking in a snowy forest at night.	A cyclist is biking in a snowy forest at night.	C	E
627	A deer isn't jumping over the fence.	A deer isn't jumping over the fence.	C	E
703	A dog is missing the ball in mid air.	A dog is missing the ball in mid air.	C	E
706	A dog is not running towards a ball.	A dog is not running towards a ball.	C	E
707	A dog is not swimming in a body of water.	A dog is not swimming in a body of water.	C	E
782	A dog that has a brown and white coat is sitting in shallow water.	A dog that has a brown and white coat is sitting in shallow water.	C	E
783	A dog that has a brown and white coat is trotting through shallow water.	A dog that has a brown and white coat is trotting through shallow water.	C	E
788	A dog with a black coat is standing in shallow water.	A dog with a black coat is standing in shallow water.	C	E
791	A dog with a blue collar is not playing with the ball outside.	A dog with a blue collar is not playing with the ball outside.	C	E
838	A family is not purchasing something at a vending machine.	A family is not purchasing something at a vending machine.	C	E
843	A family is watching a little boy who is missing a baseball.	A family is watching a little boy who is missing a baseball.	C	E
856	A female wearing pink gloves and a brown jacket is not smiling in the snow.	A female wearing pink gloves and a brown jacket is not smiling in the snow.	C	E
869	A few men in a competition are running indoors.	A few men in a competition are running indoors.	C	E
882	A fish is not swimming.	A fish is not swimming.	C	E
889	A flute isn't being played by a man.	A flute isn't being played by a man.	C	E
910	A girl from Asia, in front of a brick window, doesn't look surprised.	A girl from Asia, in front of a brick window, doesn't look surprised.	C	E
918	A girl in a black hat is standing topless at the beach.	A girl in a black hat is standing topless at the beach.	C	E
919	A girl in a black hat is wearing a bikini at the beach.	A girl in a black hat is wearing a bikini at the beach.	2	E
923	A girl in a uniform is not playing the flute with a marching band.	A girl in a uniform is not playing the flute with a marching band.	C	E
964	A girl is making a flute which is not to be played.	A girl is making a flute which is not to be played.	C	E
968	A girl is not playing the guitar.	A girl is not playing the guitar.	C	E
981	A girl is running with a pink shirt and is not wearing jeans.	A girl is running with a pink shirt and is not wearing jeans.	C	E
1018	A golden retriever is not running.	A golden retriever is not running.	C	E
1033	A group is not riding the current in a raft.	A group is not riding the current in a raft.	C	E
1039	A group of boys is not playing soccer on the beach.	A group of boys is not playing soccer on the beach.	C	E
1046	A group of children in uniforms is standing at a gate and there is no one kissing the mother.	A group of children in uniforms is standing at a gate and there is no one kissing the mother.	C	E
1047	A group of children is not playing tambourines.	A group of children is not playing tambourines.	C	E
1048	A group of children is playing in the house and there is no man standing in the background.	A group of children is playing in the house and there is no man standing in the background.	C	E
1053	A group of dogs are resting without muzzles.	A group of dogs are resting without muzzles.	C	E
1076	A group of people are not dancing at a concert.	A group of people are not dancing at a concert.	C	E
1077	A group of people are not looking at sound equipment.	A group of people are not looking at sound equipment.	C	E
1078	A group of people are not standing around a sound mixing table.	A group of people are not standing around a sound mixing table.	C	E
1093	A group of people is not walking down the street and a person in a green hat is on the phone.	A group of people is not walking down the street and a person in a green hat is on the phone.	C	E
1134	A guy is not riding a horse.	A guy is not riding a horse.	C	E
1154	A horse and its rider are not leaping over a barrier.	A horse and its rider are not leaping over a barrier.	C	E
1163	A horse is not racing.	A horse is not racing.	C	E
1169	A horse with no rider is falling over a hurdle.	A horse with no rider is falling over a hurdle.	C	E
1173	A jet is not flying.	A jet is not flying.	C	E
1174	A kangaroo is picking up the woman's baby.	A kangaroo is picking up the woman's baby.	C	E
1179	A kid in a white t-shirt is splashing in shallow water.	A kid in a white t-shirt is splashing in shallow water.	C	E
1256	A laughing man is dyeing a shirt black on the table which you cannot sit at.	A laughing man is dyeing a shirt black on the table which you cannot sit at.	C	E
1293	A little boy is sticking his tongue out for the camera and another boy is not looking.	A little boy is sticking his tongue out for the camera and another boy is not looking.	C	E
1298	A little boy with a bib is not watching the camera.	A little boy with a bib is not watching the camera.	C	E
1339	A little kid is wearing a hat and is walking in the dry sand.	A little kid is wearing a hat and is walking in the dry sand.	C	E
1340	A little kid is wearing a hat and is walking in the wet sand.	A little kid is wearing a hat and is walking in the wet sand.	C	E
1364	A man and a woman are not driving down the street in a jeep.	A man and a woman are not driving down the street in a jeep.	C	E
1365	A man and a woman are not eating.	A man and a woman are not eating.	C	E
1366	A man and a woman are not shaking hands.	A man and a woman are not shaking hands.	C	E
1411	A man in a black hat is not reaching for a box.	A man in a black hat is not reaching for a box.	C	E
1420	A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle.	A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle.	C	E
1422	A man in a car is not pulling up beside a woman who is walking along a road.	A man in a car is not pulling up beside a woman who is walking along a road.	C	E
1437	A man in a purple hat isn't climbing a rocky wall with bare hands.	A man in a purple hat isn't climbing a rocky wall with bare hands.	C	E
1454	A man in a suit is not being surrounded by photographers.	A man in a suit is not being surrounded by photographers.	C	E
1607	A man is failing to perform a bicycle trick in midair.	A man is failing to perform a bicycle trick in midair.	C	E
1657	A man is jumping into an empty pool.	A man is jumping into an empty pool.	C	E
1658	A man is jumping into an empty swimming pool.	A man is jumping into an empty swimming pool.	C	E
1691	A man is missing the soccer ball.	A man is missing the soccer ball.	C	E
1702	A man is not cutting a potato.	A man is not cutting a potato.	C	E
1703	A man is not cutting an onion.	A man is not cutting an onion.	C	E
1704	A man is not dancing.	A man is not dancing.	C	E
1705	A man is not drawing on a digital dry erase board.	A man is not drawing on a digital dry erase board.	C	E
1706	A man is not mowing a lawn.	A man is not mowing a lawn.	C	E
1707	A man is not participating in a bmx race.	A man is not participating in a bmx race.	C	E
1708	A man is not playing a flute.	A man is not playing a flute.	C	E
1709	A man is not playing a guitar.	A man is not playing a guitar.	C	E
1710	A man is not playing keyboards.	A man is not playing keyboards.	C	E
1711	A man is not playing the drums.	A man is not playing the drums.	C	E
1712	A man is not playing the guitar.	A man is not playing the guitar.	C	E
1713	A man is not playing with water.	A man is not playing with water.	C	E
1714	A man is not riding a bicycle.	A man is not riding a bicycle.	C	E
1715	A man is not riding a scooter.	A man is not riding a scooter.	C	E
1716	A man is not rinsing a large steak.	A man is not rinsing a large steak.	C	E
1717	A man is not rock climbing and a city and a bay are in the background.	A man is not rock climbing and a city and a bay are in the background.	C	E
1718	A man is not talking on the phone.	A man is not talking on the phone.	C	E
1719	A man is not wearing a clear plastic cap and a face mask.	A man is not wearing a clear plastic cap and a face mask.	C	E
1720	A man is not wearing a purple shirt and black leather chaps and is posing for the camera.	A man is not wearing a purple shirt and black leather chaps and is posing for the camera.	C	E
1728	A man is opening a package that doesn't contain headphones.	A man is opening a package that doesn't contain headphones.	C	E
1764	A man is picking up a tree.	A man is picking up a tree.	C	E
1834	A man is putting down the flute.	A man is putting down the flute.	C	E
2078	A man isn't pouring oil on the tomatoes..	A man isn't pouring oil on the tomatoes..	C	E
2079	A man isn't sitting comfortably at the table.	A man isn't sitting comfortably at the table.	C	E
2080	A man isn't tossing a kid into the swimming pool that is near the ocean.	A man isn't tossing a kid into the swimming pool that is near the ocean.	C	E
2090	A man on a motorcycle is not riding on one wheel.	A man on a motorcycle is not riding on one wheel.	C	E
2122	A man with no hat is sitting on the ground.	A man with no hat is sitting on the ground.	C	E
2123	A man with no hat is standing outside of a green jeep.	A man with no hat is standing outside of a green jeep.	C	E
2130	A man without a shirt is posing with the arms spread near a woman.	A man without a shirt is posing with the arms spread near a woman.	C	E
2131	A man without a shirt is posing with the arms spread next to a woman.	A man without a shirt is posing with the arms spread next to a woman.	C	E
2157	A monkey isn't walking through water.	A monkey isn't walking through water.	C	E
2171	A motorcyclist without a helmet is waiting on a blue motorcycle near the road.	A motorcyclist without a helmet is waiting on a blue motorcycle near the road.	C	E
2200	A person in a motocross uniform is not wearing a helmet and riding a red motorcycle.	A person in a motocross uniform is not wearing a helmet and riding a red motorcycle.	C	E
2202	A person in a pink jacket is not running onto the field.	A person in a pink jacket is not running onto the field.	C	E
2259	A person is ignoring the motocross bike that is lying on its side and there is no one is racing by.	A person is ignoring the motocross bike that is lying on its side and there is no one is racing by.	C	E
2270	A person is not chopping an onion.	A person is not chopping an onion.	C	E
2271	A person is not cutting garlic into pieces with a knife.	A person is not cutting garlic into pieces with a knife.	C	E
2272	A person is not doing a trick on a slide.	A person is not doing a trick on a slide.	C	E
2273	A person is not eating at a table.	A person is not eating at a table.	C	E
2274	A person is not folding a piece of paper.	A person is not folding a piece of paper.	C	E
2275	A person is not frying.	A person is not frying.	C	E
2276	A person is not frying meat in a pan.	A person is not frying meat in a pan.	C	E
2277	A person is not holding a skunk.	A person is not holding a skunk.	C	E
2278	A person is not making a bed.	A person is not making a bed.	C	E
2279	A person is not peeling a banana.	A person is not peeling a banana.	C	E
2280	A person is not performing tricks on a motorcycle.	A person is not performing tricks on a motorcycle.	C	E
2281	A person is not playing a keyboard.	A person is not playing a keyboard.	C	E
2282	A person is not playing the keyboard.	A person is not playing the keyboard.	C	E
2283	A person is not quickly chopping mushrooms with a knife.	A person is not quickly chopping mushrooms with a knife.	C	E
2284	A person is not slicing some onions.	A person is not slicing some onions.	C	E
2285	A person is not stirring vegetables in a pot.	A person is not stirring vegetables in a pot.	C	E
2286	A person is not tearing paper.	A person is not tearing paper.	C	E
2392	A person on a bike is not in the air near a body of water.	A person on a bike is not in the air near a body of water.	C	E
2412	A person with a red hooded jacket and a black backpack is not walking near a rocky wall.	A person with a red hooded jacket and a black backpack is not walking near a rocky wall.	C	E
2415	A person without shirt is jumping high over the green grass.	A person without shirt is jumping high over the green grass.	C	E
2424	A piano isn't being played by a man.	A piano isn't being played by a man.	C	E
2457	A prey is quickly running behind the cheetah.	A prey is quickly running behind the cheetah.	C	E
2498	A sea turtle is not hunting for fish.	A sea turtle is not hunting for fish.	C	E
2591	A soccer ball is not rolling into a goal net.	A soccer ball is not rolling into a goal net.	C	E
2597	A soccer player is missing a goal.	A soccer player is missing a goal.	C	E
2600	A soccer player is sitting on the field and is drinking water.	A soccer player is sitting on the field and is drinking water.	C	E
2644	A tennis player in mid game is not holding a racquet.	A tennis player in mid game is not holding a racquet.	C	E
2648	A tennis player with a green headband is missing the ball.	A tennis player with a green headband is missing the ball.	C	E
2654	A tiger is not walking around.	A tiger is not walking around.	C	E
2661	A tiger is walking around with no aim.	A tiger is walking around with no aim.	C	E
2665	A toddler is not riding a plastic scooter toy.	A toddler is not riding a plastic scooter toy.	C	E
2678	A topless woman is being smeared with brown substance and a nobody is in the background.	A topless woman is being smeared with brown substance and a nobody is in the background.	C	E
2682	A toy train is missing a toy car.	A toy train is missing a toy car.	C	E
2747	A woman and three men are denying a photo.	A woman and three men are denying a photo.	C	E
2752	A woman dressed in elegant clothing is inside a crowd of people and is looking down.	A woman dressed in elegant clothing is inside a crowd of people and is looking down.	C	E
2868	A woman is dancing and singing alone.	A woman is dancing and singing alone.	C	E
2922	A woman is not boiling shrimps.	A woman is not boiling shrimps.	C	E
2923	A woman is not chopping an onion.	A woman is not chopping an onion.	C	E
2924	A woman is not chopping garlic.	A woman is not chopping garlic.	C	E
2925	A woman is not cutting broccoli.	A woman is not cutting broccoli.	C	E
2926	A woman is not cutting meat.	A woman is not cutting meat.	C	E
2927	A woman is not cutting shrimps.	A woman is not cutting shrimps.	C	E
2928	A woman is not cutting tofu.	A woman is not cutting tofu.	C	E
2929	A woman is not eating a cupcake.	A woman is not eating a cupcake.	C	E
2930	A woman is not frying fish.	A woman is not frying fish.	C	E
2931	A woman is not frying meat.	A woman is not frying meat.	C	E
2932	A woman is not frying some food.	A woman is not frying some food.	C	E
2933	A woman is not peeling a potato.	A woman is not peeling a potato.	C	E
2934	A woman is not riding a horse.	A woman is not riding a horse.	C	E
2935	A woman is not slicing a cucumber.	A woman is not slicing a cucumber.	C	E
2936	A woman is not slicing an octopus.	A woman is not slicing an octopus.	C	E
2937	A woman is not slicing an onion.	A woman is not slicing an onion.	C	E
2938	A woman is not slicing carrots.	A woman is not slicing carrots.	C	E
2939	A woman is not slicing garlic.	A woman is not slicing garlic.	C	E
2940	A woman is not talking on a telephone.	A woman is not talking on a telephone.	C	E
2994	A woman is putting down a flute.	A woman is putting down a flute.	C	E
3081	A woman is standing and isn't looking at the waterfall.	A woman is standing and isn't looking at the waterfall.	C	E
3143	A woman is wearing paint and costume pieces and is riding a bike on a empty street.	A woman is wearing paint and costume pieces and is riding a bike on a empty street.	C	E
3171	A yellow dog is not drinking water from the faucet.	A yellow dog is not drinking water from the faucet.	C	E
3206	A young boy isn't climbing a wall made of rock.	A young boy isn't climbing a wall made of rock.	C	E
3236	A young couple is not lying in bed.	A young couple is not lying in bed.	C	E
3255	A young girl is playing on the edge of a fountain and an older woman is not watching her.	A young girl is playing on the edge of a fountain and an older woman is not watching her.	C	E
3295	A young white child is not standing on the edge of a body of water near some buckets.	A young white child is not standing on the edge of a body of water near some buckets.	C	E
3309	An Arabic man isn't wearing a white hat.	An Arabic man isn't wearing a white hat.	C	E
3312	An Asian woman in a crowd is not carrying a black bag.	An Asian woman in a crowd is not carrying a black bag.	C	E
3355	An ice skating rink placed outdoors is empty.	An ice skating rink placed outdoors is empty.	C	E
3368	An old man with a grey beard is not riding a bike.	An old man with a grey beard is not riding a bike.	C	E
3388	An onion is not being sliced.	An onion is not being sliced.	C	E
3400	Boys are not dancing in front of some people.	Boys are not dancing in front of some people.	C	E
3416	Children in swimming suits are not playing in the water.	Children in swimming suits are not playing in the water.	C	E
3425	Dirt bikers are not riding on a trail.	Dirt bikers are not riding on a trail.	C	E
3440	Few people are eating at red tables in a restaurant without lights.	Few people are eating at red tables in a restaurant without lights.	C	E
3449	Five kids are standing close together and none of the kids has a gun.	Five kids are standing close together and none of the kids has a gun.	C	E
3453	Five people are standing in the grass with no dogs.	Five people are standing in the grass with no dogs.	C	E
3468	Four dogs are not playing in a grassy area.	Four dogs are not playing in a grassy area.	C	E
3485	Four people are walking along a city sidewalk and the one in the green hat is not talking on a cell phone.	Four people are walking along a city sidewalk and the one in the green hat is not talking on a cell phone.	C	E
3504	Kids are not dressed in costumes and playing a game.	Kids are not dressed in costumes and playing a game.	C	E
3525	No dog is emerging from a lake.	No dog is emerging from a lake.	C	E
3526	No dog is in the sand that is blowing in the wind.	No dog is in the sand that is blowing in the wind.	C	E
3527	No dog is jumping in the shade of some trees.	No dog is jumping in the shade of some trees.	C	E
3528	No dog is running through the snow.	No dog is running through the snow.	C	E
3529	No girl with a bikini is playing in the dunes.	No girl with a bikini is playing in the dunes.	C	E
3530	No group of people is gathering at a stand at the fair.	No group of people is gathering at a stand at the fair.	C	E
3531	No lady is standing on the street and is surrounded by school children.	No lady is standing on the street and is surrounded by school children.	C	E
3532	No little dog is running on the sand.	No little dog is running on the sand.	C	E
3533	No motorcycle racer is riding a red and black bike.	No motorcycle racer is riding a red and black bike.	C	E
3534	No motorcycle rider is standing up on the seat of a motorcycle.	No motorcycle rider is standing up on the seat of a motorcycle.	C	E
3535	No onion is being cut by a man.	No onion is being cut by a man.	C	E
3536	No people are riding camels at the beach.	No people are riding camels at the beach.	C	E
3537	No people is sitting around a fire at night.	No people is sitting around a fire at night.	C	E
3538	No person is hiking.	No person is hiking.	C	E
3539	No race car is on a road in front of a grassy parking area.	No race car is on a road in front of a grassy parking area.	C	E
3540	No skateboarder is jumping in the air.	No skateboarder is jumping in the air.	C	E
3541	No skateboarder is making a jump off a ramp.	No skateboarder is making a jump off a ramp.	C	E
3542	No snake is being fed a mouse by a man.	No snake is being fed a mouse by a man.	C	E
3543	No surfer is riding a big wave across dark green water.	No surfer is riding a big wave across dark green water.	C	E
3544	No young child is riding a three wheeled scooter down the sidewalk.	No young child is riding a three wheeled scooter down the sidewalk.	C	E
3545	Nobody in snowsuits is lying in the snow and making snow angels.	Nobody in snowsuits is lying in the snow and making snow angels.	C	E
3546	Nobody is beating an egg.	Nobody is beating an egg.	C	E
3547	Nobody is brushing a cat.	Nobody is brushing a cat.	C	E
3548	Nobody is cooking okra in a pan.	Nobody is cooking okra in a pan.	C	E
3549	Nobody is cutting a capsicum into pieces.	Nobody is cutting a capsicum into pieces.	C	E
3550	Nobody is dangling from straps and kicking at each other.	Nobody is dangling from straps and kicking at each other.	C	E
3551	Nobody is drilling a hole in a strip of wood with a power drill.	Nobody is drilling a hole in a strip of wood with a power drill.	C	E
3552	Nobody is feeding an animal.	Nobody is feeding an animal.	C	E
3553	Nobody is fighting in a cow pasture.	Nobody is fighting in a cow pasture.	C	E
3554	Nobody is fist fighting in a ring.	Nobody is fist fighting in a ring.	C	E
3555	Nobody is floating on a raft.	Nobody is floating on a raft.	C	E
3556	Nobody is folding a piece of paper.	Nobody is folding a piece of paper.	C	E
3557	Nobody is holding a hedgehog.	Nobody is holding a hedgehog.	C	E
3558	Nobody is in front of the colorful building.	Nobody is in front of the colorful building.	C	E
3559	Nobody is in the snow wearing clothes that provide camouflage.	Nobody is in the snow wearing clothes that provide camouflage.	C	E
3560	Nobody is jumping off a platform.	Nobody is jumping off a platform.	C	E
3561	Nobody is on a motorcycle and is standing on the seat.	Nobody is on a motorcycle and is standing on the seat.	C	E
3562	Nobody is performing a card trick.	Nobody is performing a card trick.	C	E
3563	Nobody is playing on a trampoline.	Nobody is playing on a trampoline.	C	E
3564	Nobody is playing ping pong.	Nobody is playing ping pong.	C	E
3565	Nobody is playing the guitar.	Nobody is playing the guitar.	C	E
3566	Nobody is playing the guitar and singing.	Nobody is playing the guitar and singing.	C	E
3567	Nobody is playing with a toad.	Nobody is playing with a toad.	C	E
3568	Nobody is pouring ingredients into a pot.	Nobody is pouring ingredients into a pot.	C	E
3569	Nobody is practicing water safety and wearing preservers.	Nobody is practicing water safety and wearing preservers.	C	E
3570	Nobody is riding a bike.	Nobody is riding a bike.	C	E
3571	Nobody is riding the bicycle on one wheel.	Nobody is riding the bicycle on one wheel.	C	E
3572	Nobody is rinsing a steak with water.	Nobody is rinsing a steak with water.	C	E
3573	Nobody is sitting comfortably on the bench.	Nobody is sitting comfortably on the bench.	C	E
3574	Nobody is sitting in the chairs and watching the ocean.	Nobody is sitting in the chairs and watching the ocean.	C	E
3575	Nobody is slicing a piece of bread.	Nobody is slicing a piece of bread.	C	E
3576	Nobody is slicing a tomato.	Nobody is slicing a tomato.	C	E
3577	Nobody is standing in the ocean and watching the sunset.	Nobody is standing in the ocean and watching the sunset.	C	E
3578	Nobody is stirring a pot of chili with a spoon.	Nobody is stirring a pot of chili with a spoon.	C	E
3579	Nobody is stirring noodles in the water.	Nobody is stirring noodles in the water.	C	E
3580	Nobody is treading through the snow of the beautiful snowy landscape.	Nobody is treading through the snow of the beautiful snowy landscape.	C	E
3582	Not a lot of people are in an ice skating park.	Not a lot of people are in an ice skating park.	C	E
3583	Not everyone is able to walk a lion.	Not everyone is able to walk a lion.	C	E
3652	One woman is denying the volleyballs to another woman.	One woman is denying the volleyballs to another woman.	C	E
3675	People are far from a beach full of sand by the ocean and are suffering from the sunny day.	People are far from a beach full of sand by the ocean and are suffering from the sunny day.	C	E
3678	People are not playing cricket.	People are not playing cricket.	C	E
3679	People are not riding and paddling a raft.	People are not riding and paddling a raft.	C	E
3680	People are not walking across a rope bridge over a rocky stream.	People are not walking across a rope bridge over a rocky stream.	C	E
3681	People are not walking through a crowded street.	People are not walking through a crowded street.	C	E
3712	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.	C	E
3718	Rollerbladers are not rolling in formation down a hill.	Rollerbladers are not rolling in formation down a hill.	C	E
3722	Rugby players are not tackling each other.	Rugby players are not tackling each other.	C	E
3725	Runners are not taking part in the race.	Runners are not taking part in the race.	C	E
3742	Several people are not walking in line across a bridge.	Several people are not walking in line across a bridge.	C	E
3767	Some bikers are not getting airborne on a track near water and a skyline.	Some bikers are not getting airborne on a track near water and a skyline.	C	E
3782	Some children are not playing on a playground.	Some children are not playing on a playground.	C	E
3788	Some dogs are not playing in a stream.	Some dogs are not playing in a stream.	C	E
3827	Some people and vehicles are on a almost empty street.	Some people and vehicles are on a almost empty street.	C	E
3863	Some women are not talking.	Some women are not talking.	C	E
3908	Someone is not playing piano.	Someone is not playing piano.	C	E
3909	Someone is not putting ingredients into a wok.	Someone is not putting ingredients into a wok.	C	E
3910	Someone is not reading the email.	Someone is not reading the email.	C	E
3911	Someone is not stirring chili in a kettle.	Someone is not stirring chili in a kettle.	C	E
3948	The American footballer is not wearing a red and white strip.	The American footballer is not wearing a red and white strip.	C	E
3956	The adults and children are not gathered near an outdoor seating arrangement.	The adults and children are not gathered near an outdoor seating arrangement.	C	E
3966	The baby is not laughing and crawling.	The baby is not laughing and crawling.	C	E
3970	The badger isn't burrowing a hole.	The badger isn't burrowing a hole.	C	E
3974	The band isn't singing.	The band isn't singing.	C	E
3975	The bearded man is not sitting on a train.	The bearded man is not sitting on a train.	C	E
3978	The bicyclist is not riding on a city street.	The bicyclist is not riding on a city street.	C	E
3984	The bike rider is not looking at the accident of another bike rider.	The bike rider is not looking at the accident of another bike rider.	C	E
3993	The black and white dog isn't running and there is no person standing behind.	The black and white dog isn't running and there is no person standing behind.	C	E
3994	The black bird is not sitting in a leafless tree.	The black bird is not sitting in a leafless tree.	C	E
4001	The black dog is not climbing on a rock.	The black dog is not climbing on a rock.	C	E
4002	The black dog is not running through the grass.	The black dog is not running through the grass.	C	E
4003	The black dog is not walking along a tree trunk bridge over water.	The black dog is not walking along a tree trunk bridge over water.	C	E
4004	The black dog is not walking through the tall grass.	The black dog is not walking through the tall grass.	C	E
4016	The blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached.	The blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached.	C	E
4019	The boy and girl are not playing on a playground.	The boy and girl are not playing on a playground.	C	E
4022	The boy and the girl are not playing and wearing arm floats.	The boy and the girl are not playing and wearing arm floats.	C	E
4030	The boy is not cutting the grass by the curb with scissors.	The boy is not cutting the grass by the curb with scissors.	C	E
4031	The boy is not playing the piano.	The boy is not playing the piano.	C	E
4032	The boy is not riding a bike on the top of a metal fence.	The boy is not riding a bike on the top of a metal fence.	C	E
4033	The boy is not riding a tricycle.	The boy is not riding a tricycle.	C	E
4049	The boy isn't playing in the mud.	The boy isn't playing in the mud.	C	E
4050	The boy isn't playing the piano happily.	The boy isn't playing the piano happily.	C	E
4053	The boys are not standing in front of the burning car.	The boys are not standing in front of the burning car.	C	E
4067	The brown dog is not playing outdoors.	The brown dog is not playing outdoors.	C	E
4068	The brown dog is not sniffing the back of a small black dog.	The brown dog is not sniffing the back of a small black dog.	C	E
4075	The brown dogs are not playfully fighting on the sandy beach.	The brown dogs are not playfully fighting on the sandy beach.	C	E
4078	The brown horse is far from a red barrel at the rodeo.	The brown horse is far from a red barrel at the rodeo.	C	E
4081	The bunch of men are not playing rugby on a muddy field.	The bunch of men are not playing rugby on a muddy field.	C	E
4100	The cat isn't licking milk from a saucer.	The cat isn't licking milk from a saucer.	C	E
4101	The cat isn't playing with a watermelon.	The cat isn't playing with a watermelon.	C	E
4104	The cat perched on the table isn't looking out the window.	The cat perched on the table isn't looking out the window.	C	E
4105	The cats are not playing with each other.	The cats are not playing with each other.	C	E
4107	The cheerleaders are not parading and are not wearing black, pink and white uniforms.	The cheerleaders are not parading and are not wearing black, pink and white uniforms.	C	E
4124	The children are not wearing black tights and are not hopping.	The children are not wearing black tights and are not hopping.	C	E
4128	The children aren't playing in front of a large door.	The children aren't playing in front of a large door.	C	E
4134	The cop is not sitting on a police bike.	The cop is not sitting on a police bike.	C	E
4139	The crowd is not watching a football game.	The crowd is not watching a football game.	C	E
4140	The crowd is not watching two racing cars that are leaving the starting line.	The crowd is not watching two racing cars that are leaving the starting line.	C	E
4147	The cyclist isn't performing a trick in the air.	The cyclist isn't performing a trick in the air.	C	E
4149	The dark skinned male is not standing on one hand in front of a yellow building.	The dark skinned male is not standing on one hand in front of a yellow building.	C	E
4153	The deer is not jumping over the fence.	The deer is not jumping over the fence.	C	E
4155	The doctor is not helping the patient.	The doctor is not helping the patient.	C	E
4157	The doctors are not reviving a man.	The doctors are not reviving a man.	C	E
4161	The dog in the red vest is not running in the field.	The dog in the red vest is not running in the field.	C	E
4176	The dog is moving through the wet sand.	The dog is moving through the wet sand.	C	E
4177	The dog is not catching a blue ball.	The dog is not catching a blue ball.	C	E
4178	The dog is not knocking the boy into the water.	The dog is not knocking the boy into the water.	C	E
4179	The dog is not playing with a plastic container.	The dog is not playing with a plastic container.	C	E
4187	The dog is running through the dry sand.	The dog is running through the dry sand.	C	E
4188	The dog is running through the wet sand.	The dog is running through the wet sand.	C	E
4192	The dog isn't snapping at some droplets of water.	The dog isn't snapping at some droplets of water.	C	E
4200	The elderly lady is not waiting on the sidewalk.	The elderly lady is not waiting on the sidewalk.	C	E
4205	The elephant isn't being ridden by the woman.	The elephant isn't being ridden by the woman.	C	E
4215	The food on the trays isn't being eaten by the kittens.	The food on the trays isn't being eaten by the kittens.	C	E
