Id	Sentence A	Sentence B	SICK Label	GKR4NLI Label
4633	The man needs a stenograph to operate.	The man needs a stenograph to operate.	E	Exception found:null
4654	The men are in the suitcases that are being packed in the trunk of a car.	The men are in the suitcases that are being packed in the trunk of a car.	E	NEUTRAL
4721	The performer is tricking a person on a motorcycle.	The performer is tricking a person on a motorcycle.	E	Exception found:null
4777	The person who rides bikes is looking at an accident of another bike rider.	The person who rides bikes is looking at an accident of another bike rider.	E	NEUTRAL
4791	The play is about a happy boy playing the piano.	The play is about a happy boy playing the piano.	E	NEUTRAL
4872	The tan dog is not watching a brown dog that is swimming in a pond.	The tan dog is not watching a brown dog that is swimming in a pond.	E	CONTRADICTION
4873	The tan dog is watching a brown dog that is swimming in a pond.	The tan dog is watching a brown dog that is swimming in a pond.	E	CONTRADICTION
4886	The white dog is not wearing reindeer ears and isn't near a brown dog.	The white dog is not wearing reindeer ears and isn't near a brown dog.	E	CONTRADICTION
4940	The woman is measuring the other woman.	The woman is measuring the other woman.	E	CONTRADICTION
4943	The woman is not cooking something.	The woman is not cooking something.	E	Exception found:null
4967	The woman is not wearing glasses or a headdress.	The woman is not wearing glasses or a headdress.	E	CONTRADICTION
5059	The young girl is playing on the edge of a fountain and an older woman is watching her.	The young girl is playing on the edge of a fountain and an older woman is watching her.	E	CONTRADICTION
5123	There is no brown dog and black dog playing in the sand.	There is no brown dog and black dog playing in the sand.	E	NEUTRAL
5128	There is no brown dog staring attentively at a brown and white dog.	There is no brown dog staring attentively at a brown and white dog.	E	CONTRADICTION
5141	There is no cheetah quickly running behind its prey.	There is no cheetah quickly running behind its prey.	E	NEUTRAL
5192	There is no dog standing on one leg and is waiting for a soccer ball.	There is no dog standing on one leg and is waiting for a soccer ball.	E	Exception found:null
5198	There is no dog which is furry and black in a back yard carrying a basket in its mouth..	There is no dog which is furry and black in a back yard carrying a basket in its mouth..	E	CONTRADICTION
5213	There is no girl laughing and there is no other girl watching.	There is no girl laughing and there is no other girl watching.	E	CONTRADICTION
5218	There is no girl wearing a t-shirt and keeping her mouth open.	There is no girl wearing a t-shirt and keeping her mouth open.	E	CONTRADICTION
5241	There is no large brown dog and small grey dog standing on a rocky surface.	There is no large brown dog and small grey dog standing on a rocky surface.	E	CONTRADICTION
5249	There is no little black dog chasing a little brown dog.	There is no little black dog chasing a little brown dog.	E	CONTRADICTION
5258	There is no man and child kayaking through gentle waters.	There is no man and child kayaking through gentle waters.	E	NEUTRAL
5287	There is no man drinking orange juice and walking on a sunny day.	There is no man drinking orange juice and walking on a sunny day.	E	NEUTRAL
5303	There is no man holding a mask in his raised hand.	There is no man holding a mask in his raised hand.	E	CONTRADICTION
5308	There is no man in a pose being watched by another man.	There is no man in a pose being watched by another man.	E	CONTRADICTION
5323	There is no man on a rock high above some trees standing in a strange position.	There is no man on a rock high above some trees standing in a strange position.	E	NEUTRAL
5358	There is no man rapidly chopping some mushrooms with a knife.	There is no man rapidly chopping some mushrooms with a knife.	E	NEUTRAL
5380	There is no man sitting on a chair and rubbing his eyes.	There is no man sitting on a chair and rubbing his eyes.	E	CONTRADICTION
5400	There is no man squirting water into the mouth of a white dog with a squirt gun.	There is no man squirting water into the mouth of a white dog with a squirt gun.	E	CONTRADICTION
5402	There is no man standing in the middle of a gym and is wearing a jersey.	There is no man standing in the middle of a gym and is wearing a jersey.	E	Exception found:null
5415	There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something.	There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something.	E	CONTRADICTION
5473	There is no pet dog standing on the bank and looking at another brown dog in the pond.	There is no pet dog standing on the bank and looking at another brown dog in the pond.	E	CONTRADICTION
5486	There is no small guinea pig gnawing and eating a piece of carrot on the floor.	There is no small guinea pig gnawing and eating a piece of carrot on the floor.	E	NEUTRAL
5503	There is no white and brown dog pacing with through the water difficulty.	There is no white and brown dog pacing with through the water difficulty.	E	NEUTRAL
5507	There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass.	There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass.	E	CONTRADICTION
5530	There is no woman dancing and singing in the rain.	There is no woman dancing and singing in the rain.	E	NEUTRAL
5535	There is no woman driving a car and talking to the man seated beside her.	There is no woman driving a car and talking to the man seated beside her.	E	CONTRADICTION
5572	There is no woman snowboarding down an incline and there is no other woman standing behind her.	There is no woman snowboarding down an incline and there is no other woman standing behind her.	E	CONTRADICTION
5578	There is no woman using an eye pencil and applying eye liner to her eyelid.	There is no woman using an eye pencil and applying eye liner to her eyelid.	E	CONTRADICTION
5580	There is no woman wearing a blue shirt with a white vest and a white cap, talking and marching.	There is no woman wearing a blue shirt with a white vest and a white cap, talking and marching.	E	CONTRADICTION
5589	There is no young boy singing and playing a guitar.	There is no young boy singing and playing a guitar.	E	NEUTRAL
5597	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling.	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling.	E	CONTRADICTION
5712	Two brown and white dogs are fighting on a grassy area behind a tree.	Two brown and white dogs are fighting on a grassy area behind a tree.	E	NEUTRAL
5713	Two brown and white dogs are fighting on a grassy area in front of a plant.	Two brown and white dogs are fighting on a grassy area in front of a plant.	E	NEUTRAL
5714	Two brown and white dogs are fighting on a grassy area in front of a tree.	Two brown and white dogs are fighting on a grassy area in front of a tree.	E	NEUTRAL
5817	Two girls are laughing and other girls are watching them.	Two girls are laughing and other girls are watching them.	E	NEUTRAL
5818	Two girls are laughing breathlessly and other girls are watching them.	Two girls are laughing breathlessly and other girls are watching them.	E	CONTRADICTION
5856	Two males are standing on a cliff edge and no one is jumping into the water.	Two males are standing on a cliff edge and no one is jumping into the water.	E	CONTRADICTION
5941	Two people are in the snow not wearing clothes, which provides camouflage..	Two people are in the snow not wearing clothes, which provides camouflage..	E	CONTRADICTION
5989	Two poodles are in the snow and one is jumping.	Two poodles are in the snow and one is jumping.	E	NEUTRAL
5990	Two poodles are in the snow and one is jumping high.	Two poodles are in the snow and one is jumping high.	E	NEUTRAL
5991	Two poodles are in the snow and one is lying down.	Two poodles are in the snow and one is lying down.	E	NEUTRAL
6015	Two white dogs and one brown dog are chasing a ball.	Two white dogs and one brown dog are chasing a ball.	E	CONTRADICTION
6016	Two white dogs and one brown dog are chasing a toy.	Two white dogs and one brown dog are chasing a toy.	E	CONTRADICTION
6017	Two white dogs and one brown dog are not chasing a ball.	Two white dogs and one brown dog are not chasing a ball.	E	CONTRADICTION
6019	Two white dogs are playing with a brown dog and a ball.	Two white dogs are playing with a brown dog and a ball.	E	NEUTRAL
6020	Two white dogs are playing with a brown dog and a tennis ball.	Two white dogs are playing with a brown dog and a tennis ball.	E	NEUTRAL
6070	Water is being squirted by a man into the mouth of a white dog with a squirt gun.	Water is being squirted by a man into the mouth of a white dog with a squirt gun.	E	NEUTRAL
