sentence,tokens
A child is missing a baseball,6
A family is watching a little boy who is hitting a baseball,12
A family is watching a boy who is hitting a baseball,11
A family is watching a little boy who is missing a baseball,12
A little boy is watching a family that is hitting a baseball,12
A large group of Asian people is eating at a restaurant,11
A group of people from Asia is eating at a restaurant,11
A small group of people is waiting to eat in a restaurant,12
A group of people in a large Asian restaurant is eating,11
Various people are eating at red tables in a crowded restaurant with purple lights,14
Various customers are eating in a crowded restaurant with purple lights,11
Few people are eating at red tables in a restaurant without lights,12
A purple crowd of people is eating on various red lit restaurant tables,13
A motorcycle rider is standing up on the seat of a white motorcycle,13
A motorcycle is riding standing up on the seat of the vehicle,12
No motorcycle rider is standing up on the seat of a motorcycle,12
Someone is on a black and white motorcycle and is standing on the seat,14
A rider is on a black and white bike and is standing on the seat,15
Nobody is on a motorcycle and is standing on the seat,11
A motorcyclist is riding a motorbike dangerously along a roadway,10
A motorcyclist is riding a motorbike along a roadway,9
There is no motorcyclist riding a motorbike along a roadway,10
A man with a helmet painted red is riding a blue motorcycle down the road,15
A motorcyclist with a red helmet is riding a blue motorcycle down the road,14
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,14
A dog is catching a stick in the air and another is watching,13
A dog is leaping high in the air and another is watching,12
There is no dog leaping in the air,8
Two dogs are playing by a tree,7
Two dogs are playing by a plant,7
Two dogs are sleeping by a tree,7
A girl in white is dancing,6
A girl is wearing white clothes and is dancing,9
There is no girl in white dancing,7
The dancer is dancing in front of the sound equipment,10
The blond girl is dancing in front of the sound equipment,11
The blond girl is dancing behind the sound equipment,9
The equipment in front of the blond dancing girl is sound,11
The children of a family are patiently playing and waiting,10
The children of a family are playing and waiting,9
There are no children playing and waiting,7
Three Asian kids are dancing and a serious man is looking,11
Three Asian kids are dancing and a man is looking,10
Three Asian kids are dancing and there is no man looking,11
An Asian man is dancing and three kids are looking,10
A woman is wearing an Egyptian hat on her head,10
A woman is wearing an Egyptian headdress,7
A woman is wearing an Indian headdress,7
An Egyptian is wearing a woman's headdress,7
The woman is wearing glasses and a black headdress,9
The woman with a black hat is wearing sunglasses,9
The woman is not wearing glasses or a headdress,9
The black woman is wearing glasses over the headdress,9
A hiker is on top of the mountain and is doing a joyful dance,14
A hiker is on top of the mountain and is dancing,11
There is no hiker dancing on top of the mountain,10
A man is on a rock high above some trees and is standing in an uncomfortable position,17
A man is on a rock high above some trees and is standing in a strange position,17
There is no man on a rock high above some trees standing in a strange position,16
A cowgirl is riding a brown horse and is cornering a barrel,12
A cowgirl is riding a horse and corners a barrel,10
A cowboy is riding a horse and cornering a barrel,10
A cowgirl is riding a barrel near a horse in the corner,12
The brown horse is very near a red barrel at the rodeo,12
The brown horse is near a red barrel at the rodeo,11
The brown horse is far from a red barrel at the rodeo,12
A boy is standing in the cold water,8
A boy is standing in the water,7
A boy is standing outside the water,7
The kid is swimming through the blue ocean,8
The boy is wading through the blue ocean,8
The boy is sitting near the blue ocean,8
A skilled man is playing a guitar on stage,9
A man is playing a guitar on stage,8
There is no man playing a guitar on stage,9
A person has blonde and flyaway hair and is playing a guitar,12
A guitarist has blonde and flyaway hair,7
A bald person is playing a guitar,7
Several children are sitting down and have their knees raised,10
Several children are lying down and are raising their knees,10
Several children are standing up,5
Two young girls are sitting on the ground,8
Two girls are sitting on the ground,7
Two girls are lying on the ground,7
A nude lady is walking in front of many people in body paint,13
A nude lady is walking in front of a crowd in body paint,13
There is no lady walking in body paint in front of a crowd ,14
A nude crowd in body paint is walking in front of a lady ,14
A young topless woman is covered in paint,8
A topless girl is covered in paint,7
An old topless woman is covered in paint,8
A group of people is near the ocean,8
A crowd of people is near the water,8
A crowd of people is far from the water,9
A group of children in uniforms is standing at a gate and one is kissing the mother,17
A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,19
A group of children in uniforms is standing at a gate and there is no one kissing the mother,19
A group of mothers in uniforms is standing near the children and one is kissing the gate,17
A man is in a parking lot and is playing tennis against a large wall,15
A lone man is in a parking lot and is playing tennis against a large wall,16
A man is in a parking lot and is playing tennis against a friend,14
A man is pointing at a silver sedan,8
A man is pointing at a car,7
There is no man pointing at a car,8
A group of people is on a beach,8
A group of people is near the sea,8
A group of people is on a mountain,8
A man a woman and two girls are walking on the beach,12
Four people are walking on the beach,7
A man a woman and two girls are sitting on the beach,12
A schoolgirl with a black bag is on a crowded train,11
A girl with a black bag is on a crowded train,11
There is no girl with a black bag on a crowded train,12
A cramped black train is on the bag of a girl,11
An Asian woman in a crowd is carrying a black bag,11
An Asian woman in in the midst of many people is carrying a black bag,15
An Asian woman in a crowd is not carrying a black bag,12
A dog is chasing another and is holding a stick in its mouth,13
A dog is chasing another and is holding a piece of wood in its mouth,15
There is no dog chasing another or holding a stick in its mouth,13
A dog is chasing a stick and holding another dog in its mouth,13
Two dogs are running and carrying a toy in their mouths,11
Two dogs are running and carrying an object in their mouths,11
There is no dog running and carrying an object in its mouth,12
A dirty soccer ball is rolling into a goal net,10
A soccer ball is rolling into a goal net,9
A soccer ball is not rolling into a goal net,10
A person who plays soccer is kicking a ball into the goal,12
A soccer player is kicking a ball into the goal,10
A soccer player is kicking a ball out of the goal,11
A man is resting on a chair and rubbing his eyes,11
A man is sitting on a chair and rubbing his eyes,11
There is no man sitting on a chair and rubbing his eyes,12
A man with tattoos is lounging on a couch and holding a pencil,13
A tattooed man is on a sofa and is holding a pencil,12
A man with tattoos is lounging on a couch and is looking for a pencil,15
A man with tattoos is holding a couch with a pencil,11
A brown and white dog is running through the tall grass,11
A brown and white dog is moving through the wild grass,11
A brown and white dog is resting in the grass,10
A white and tan dog is running through the tall and green grass,13
A white and tan dog is running through a field,10
A black and tan dog is running through the low and green grass,13
A man with paint covered clothes is sitting outside in a busy area writing something,15
A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,20
There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,21
A sitting man is busy writing something in an area covered by paint,13
A man is sitting near a bike and is writing a note,12
A man is standing near a bike and is writing on a piece paper,14
There is no man writing a note near a bike,10
A group of scouts are hiking through the grass,9
A group of explorers are walking through the grass,9
A group of scouts are camping in the grass,9
Some people are walking,4
People are walking,3
Some people are standing,4
Two men are taking a break from a trip on a snowy road,13
Two men are taking a break from a trip on a road covered by snow,15
Two men are walking on a snowy road,8
Two men are breaking into a car during a trip on a snowy road,14
Two men are holding bikes and standing on the side of a road covered of snow,16
Two men with bikes are on the side of a snowy road,12
Two men with cars are on the side of a snowy road,12
Two men are holding fishing poles and fishing tackle,9
Two men are holding fishing poles,6
Two men are not holding fishing poles,7
Two men are standing near the water and are holding fishing poles,12
Two men are standing near the water and are holding tools used for fishing,14
There is no man standing near the water and holding fishing poles,12
Two men are holding some water standing near fishing poles,10
The helmeted girl is perching on a bike,8
The girl with a helmet is perching on a bike,10
The helmeted girl is riding a bike,7
A woman is performing a trick on a ramp with a bicycle,12
A woman is jumping with a bicycle,7
A woman is performing a trick on a ramp with a car,12
A blonds girl is surfing,5
A blond girl is riding the waves,7
A blond girl is looking at the waves,8
A blond girl waves while she is riding,8
A lady is surfing and riding a wave,8
A woman is surfing,4
A boy is surfing and riding a wave,8
Two children and an adult are standing next to a tree limb,12
Three people are standing next to a tree limb,9
Two children and an adult are not standing next to a tree limb,13
Two children are hanging on a large branch,8
Two children are climbing a tree,6
There is no child hanging on a large branch,9
A man dressed in black is riding a bike,9
A man is performing a trick on a bike,9
There is no man dressed in black and riding a green bike,12
A black man in green is riding a bike,9
A man is performing stunts on a green bicycle,9
A man is performing a trick on a green bicycle,10
There is no man performing a trick on a green bicycle,11
A boy is holding a squirt gun,7
A child is holding a squirt gun,7
There is no child holding a squirt gun,8
A laughing child is holding a water gun and getting sprayed with water,13
A child with a gun that sprays water is laughing and getting hit by other boys,16
There is no child holding a water gun or getting sprayed with water,13
Two brown dogs are fighting over a red ball and are playing in the grass,15
Two brown dogs are fighting over a red toy and are playing in the grass,15
There is no dog playing with a red ball,9
Two daschunds are playing with a red ball,8
Two dogs are playing with a small red ball,9
Two cats are playing with a red ball,8
The black and white dog is running and a person stands behind it,13
The dog which is black and white is running and a person stands behind it,15
The black and white dog isn't running and there is no person standing behind,14
A black person is running along a white stand and a dog barks behind him,15
A little dog is sprinting and the person who owns it is trying to catch it,16
A little dog is sprinting and its owner is trying to catch it,13
A little dog is slowing down and the owner is quitting chasing it,13
A man is sitting comfortably at a table,8
A person is sitting comfortably at the table,8
A man isn't sitting comfortably at the table,8
A man is sitting and tables a comfortable discussion,9
A man wearing a dyed black shirt is sitting at the table and laughing,14
A black shirt is being worn by a man who is sitting at the table and laughing,17
There is no man wearing a shirt dyed black sitting at the table and laughing,15
A laughing man is dyeing a shirt black on the table which you cannot sit at ,17
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,18
A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,18
A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,19
A pedestrian woman is building pink bicycles for boa wearing riders,11
The woman wearing silver pants pink bellbottoms and a pink scarf is happily riding a bike,16
The woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike,15
The woman wearing silver pants pink bellbottoms and a pink scarf isn't riding a bike,15
Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,19
A person who is riding a bike is wearing gear which is black,13
A biker is wearing gear which is black,8
A biker is naked,4
A biker wearing black is breaking the gears,8
A black helmet is being worn by a man who is pushing a bicycle,14
One man is wearing a black helmet and pushing a bicycle,11
There is no man wearing a black helmet and pushing a bicycle,12
A man is pushing a helmet towards another one on a black bicycle,13
The man in a grey t-shirt is sitting on a rock in front of the waterfall,16
The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,17
There is no man in a grey t-shirt sitting on a rock in front of the waterfall,17
A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,18
One woman is sitting and looks at the waterfall,9
A woman is sitting and looking at the waterfall,9
A woman is standing and isn't looking at the waterfall,10
Somebody is sitting at the waterfall and looking at a woman,11
A dog which is brown and a black one are racing in the grass,14
A dog which is brown and a black one are running in the grass,14
There is no dog running in the grass,8
A black man is running in brown grass and racing a dog,12
A dark black dog and a light brown dog are playing in the yard in the back,17
A dark black dog and a light brown dog are playing in the backyard,14
A dark black dog and a light brown dog are fighting in the backyard,14
The backyard light is playing tricks in the dark on the brown and black dog,15
A dog that has a brown and white coat is trotting through shallow water,14
A dog that has a white and brown colored coat is trotting through shallow water.,15
A dog that has a brown and white coat is sitting in shallow water,14
A brown and white coat is floating across shallow water near a trotting dog,14
A white and brown dog is walking through the water with difficulty,12
A white and brown dog is pacing through the water with difficulty,12
There is no white and brown dog pacing with through the water difficulty,13
A white man is walking a dog through brown water with difficulty,12
A group of boys are playing with a ball in front of a large door made of wood,18
A bunch of boys are playing with a ball in front of a large door made of wood,18
A group of boys are quiet in front of a large door made of wood,15
A ball made of wood is being played through a door in front of a large group of boys ,20
The children are playing in front of a door which is very large,13
The children are playing in front of a large door,10
The children aren't playing in front of a large door,10
A woman is taking off a cloak which is very large and revealing an extravagant dress,16
A woman is taking off a cloak which is very large and revealing extravagant apparel,15
A woman is putting on a cloak which is very large and concealing an extravagant dress,16
A black red white and pink dress is being worn by a woman,13
A dress which is black red white and pink is being worn by a woman,15
There is no black red white and pink dress being worn by a woman,14
The teenage girl is wearing beads that are red,9
A teenage girl is wearing beads that are red,9
A teenage girl is storing away beads that are red,10
The girl likes red and isn't wearing beads for teenagers,10
A young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,19
A lady of young age with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,21
There is no young lady with light brown hair wearing a red necklace a sweatshirt and earrings and smiling,19
A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair earrings and a necklace ,23
A boy is climbing up a wall artificially built for climbing and is attached to a rope,17
A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,18
A boy is coming down a wall artificially built for climbing and isn't attached to the rope,17
A climber on the wall is attached to the climbing boy with an artificially built rope,16
A fearful little boy is on a climbing wall,9
A little boy who looks fearful is on a climbing wall.,11
A fearful little boy is on the ground,8
A climbing boy rescues the fearful cat from over the wall,11
A dad is launching his daughter into a swimming pool,10
A father is launching the daughter in a swimming pool,10
A father is taking away his daughter from a swimming pool,11
A father is in the swimming pool during his daughters launch,11
The man is tossing a kid into the swimming pool that is near the ocean,15
One man is tossing a kid into the swimming pool that is near the ocean,15
A man isn't tossing a kid into the swimming pool that is near the ocean,15
A kid swimming in the ocean is tossing a coin into the pool near the man,16
One man is climbing the cliff with a rope,9
One man is climbing a cliff with a rope,9
One man is descending a cliff with a rope,9
A social climber is tying a man to a cliff with a rope,13
A person is climbing a rock with a rope which is pink,12
A rock is being climbed by a person with a rope which is pink,14
A person is standing in front of a rock with a rope which is pink,15
A person with pink climbing gear roped the rock,9
The young boy is climbing the wall made of rock,10
One young boy is climbing a wall made of rock,10
A young boy isn't climbing a wall made of rock,10
A young climber is making a rock wall for the boys,11
A young child is climbing a rock climbing wall which is indoors,12
A young kid is climbing a rock climbing wall which is indoors,12
A young child is under a rock climbing wall which is indoors,12
A child is indoors watching a program about some young climbers on a rock wall.,15
One man is doing a trick with a bicycle in midair,11
One man is doing a bicycle trick in midair,9
A man is failing to perform a bicycle trick in midair,11
A cyclist is fearlessly performing a trick in the air,10
The cyclist is performing a trick in the air,9
The cyclist isn't performing a trick in the air,9
The air is tricking a performing cyclist,7
A dog which is black and a white one are staring at each other in the street,17
A dog which is black and another one which is white are staring at each other in the street,19
A dog which is black and a white one are ignoring each other in the street,16
One white dog is staring at the black street,9
Two dogs of different breeds are looking angrily at each other across a street,14
Two dogs of different breeds are looking at each other across a street,13
There are no dogs of different breeds looking at each other across a street,14
Along two streets different breeds of dogs are being looked at,11
A dog next to a tree which is probably a pine is dropping a bucket,15
A dog next to a tree which is probably a pine is biting a bucket,15
A dog in a bucket is biting a tree which is probably a pine,14
A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,19
A dog which is furry and black is in a back yard and is carrying a basket in its mouth,20
There is no dog which is furry and black in a back yard carrying a basket in its mouth.,19
A dog in the backyard is carrying black fur in a basket in its mouth.,15
Two persons of large size are sitting on a park bench and they have a bottle of soda between them,20
Two large persons are sitting on a park bench and they have a bottle of soda between them,18
Two large persons are standing near a park bench and they have nothing between them,15
Two large park benches have a person sitting and a bottle of soda between them,15
A man and a woman are sitting comfortably on the bench,11
Two people are sitting comfortably on the bench,8
Nobody is sitting comfortably on the bench,7
One man is leading the race,6
A man is leading the race,6
A man is bringing up the rear of the race,10
The man is racing for the lead ,8
A few men in a competition are running outside,9
A few men in a competition are running outdoors,9
A few men in a competition are running indoors,9
A few men are running competitions outside,7
The subject is being studied by a man with a camera,11
A man with a camera is studying the subject,9
There is no man with a camera studying the subject,10
The study subject is a camera man,7
The man with the dyed purple hat is operating a camera that makes videos,14
The man in the purple hat is operating a camera that makes videos,13
The man in the purple hat isn't operating a camera that makes videos,13
The bride and the groom are leaving after the marriage,10
The bride and the groom are leaving after the wedding,10
The bride and the groom are arriving after the wedding,10
The bride is leaving the groom after the wedding,9
A married couple is walking down the aisle,8
A couple who have just got married are walking down the isle,12
A married couple is walking up the aisle,8
The priest is walking down the aisle to marry a couple,11
The students are filling the classroom,6
A classroom is full of students,6
A classroom is empty,4
The presentation is being watched by a classroom of students,10
The presentation is being attended by a classroom of students,10
The presentation isn't being watched by a classroom of students,10
A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,23
A boy at the bottom of a hill covered in snow is naked and is sitting on his knees,19
A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow,23
The kid is happily sliding in the snow,8
The kid is sliding in the snow,7
The kid is still in the snow,7
A snow slide is full of kids,7
A woman and a dog are peacefully sitting on a tree stump,12
A woman and a dog are sitting on a tree stump,11
A woman and a dog are standing near a tree stump,11
A woman who is old is near a dog that has a white coat,14
A woman who is old is near a white dog,10
A woman who is old is far from a white dog,11
A dog is excitedly playing with water in a field,10
A dog is excitedly playing with water in the grass,10
There is no dog excitedly playing with water in the grass,11
A man is watering the grass and excitedly playing with a dog,12
The dog is biting some droplets of water,8
The dog is snapping at some droplets of water,9
The dog isn't snapping at some droplets of water,9
A snap is depicting some water falling in droplets on the dog,12
Two men are walking two dogs with golden coats in the snow,12
Two people are walking two dogs with golden coats in the snow,12
Two people are in the snow holding two dogs with golden coats,12
Two people are in the snow wearing clothes that provide camouflage,11
Some people are in the snow wearing clothes that provide camouflage,11
Nobody is in the snow wearing clothes that provide camouflage,10
Two people are in the snow not wearing clothes which provides camouflage. ,13
A girl from Asia in front of a brick window looks surprised,12
A girl from Asia in front of a window made of bricks looks surprised,14
A girl from Asia in front of a brick window doesn't look surprised,13
A girl is looking on surprised from a front window in a house in Asia.,15
A girl is wearing a t-shirt and has her mouth open.,11
A girl has a t-shirt and is keeping her mouth open,11
There is no girl wearing a t-shirt and keeping her mouth open,12
A group of people is equipped with protective gear,9
A group of people is equipped with gear used for protection,11
A group of people is equipped with unprotective gear,9
A person in biking gear is standing steadily in front of some mountains ,14
A person in the gear used for biking is standing steadily in front of the mountains,16
There is no person in bike gear standing steadily in front of the mountains,14
The mountain gear is steadily placed in front of the standing biker,12
The football is between the feet of a boy who is lying on the grass,15
The football isn't between the feet of a boy who is lying in the grass,15
The boy on the grass is lying and is hiding the football between his feet,15
The little kid is playing football and falling harmlessly into the grass,12
The little kid is playing football and falling into the grass,11
There is no little kid playing football and falling into the grass,12
A football player is falling into the grass to dodge a little kid,13
A man with climbing equipment is hanging from a rock which is vertical and white,15
A man with equipment used for climbing is hanging from a white vertical rock.,14
A man with equipment used for climbing is under a vertical white rock,13
The climbing equipment to rescue a man is hanging from a white vertical rock,14
A woman with pigtails is climbing a rock wall,9
A woman with a ponytail is climbing a wall of rock,11
A woman with a ponytail is climbing down a wall of rock,12
A woman is tailing a pony near a rock climbing wall,11
A black and a white dog are joyfully running on the grass,12
A dog which has a black coat and a white dog are running on the grass,16
There is no dog joyfully running on the grass,9
A black person in white is joyfully running with the dog on the grass,14
One white dog and one black one are cheerfully running side by side on the grass,16
One white dog and one black one are running side by side on the grass,15
One white dog and one black one are sitting side by side on the grass,15
A lot of people are in an ice skating park,10
Not a lot of people are in an ice skating park,11
There aren't many people in the ice skating park,9
Many people are skating in an ice park,8
The ice skating rink placed outdoors is full of people,10
An ice skating rink placed outdoors is full of people,10
An ice skating rink placed outdoors is empty,8
An ice skater is outdoors performing on a rink full of people,12
A girl in a uniform which is blue is quickly raising her arm,13
A girl in a uniform which is blue is raising her arm.,12
A girl in a uniform which is blue is lowering her arm,12
A girl is raising a blue uniform with her arm,10
The girl in the blue and white uniform is cheering,10
Some cheers are being performed by the girl in the blue and white uniform,14
The girl in the blue and white uniform isn't cheering,10
The girl is cheering the man in the blue and white uniform,12
A bunch of guys is on the shore,8
A bunch of people is on the shore,8
There is no one on the shore,7
People are on a beach full of sand by the ocean and are enjoying a sunny day,17
People are on a beach full of sand by the ocean and are enjoying a day full of sun,19
People are far from a beach full of sand by the ocean and are suffering from the sunny day,19
A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,15
A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,14
A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,17
The man is doing a wheelie with a motorbike in a field which is mostly barren,16
The man is doing a wheelie with a motorcycle on ground which is mostly barren,15
The man is getting off a motorcycle onto ground which is mostly barren,13
The man is on ground which is mostly barren filming a wheelie done with a motorcycle.,16
A woman is being kissed by a man,8
A lady is being kissed by a man,8
There is no woman being kissed by a man,9
Two people are passionately kissing near a crowd,8
Two people are kissing near a crowd,7
Two people are arguing near a crowd,7
A nearby throng of people are kissing two by two,10
The young woman in a dyed red shirt is blowing a bubble that is huge,15
The girl in the red shirt is blowing a bubble ,11
The girl in a dyed red shirt isn't blowing a bubble,11
A bubble blew dyeing the girl's shirt red.,8
The young girl is blowing a bubble that is huge,10
The girl who is young is blowing a bubble that is huge,12
The young girl is blowing a bubble that is very small,11
A young child is wearing boots made of green rubber and playing in a puddle full of mud,18
A young child is wearing green boots and playing in a puddle full of mud,15
A young child is barefoot and is walking past a puddle full of mud,14
Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf,19
A little boy is jumping into a puddle in the street,11
A little boy is jumping into a puddle on the street,11
A little boy is getting out of a puddle in the street,12
A little boy's jumper is in a puddle in the street,11
Some corndogs are being eaten by two toddlers who are in a wagon which is really small,17
Two toddlers are eating corndogs in a wagon which is really small,12
Two toddlers are sleeping in a wagon which is really small,11
Two toddlers are eating on a really small wagon full of corndogs ,13
Two young kids are eating corndogs,6
Two young children are eating corndogs,6
Two young kids are fasting,5
Two young kids are playing with a man eating corndogs,10
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,22
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,24
A man in a shirt dyed purple is walking away from a man in a black shirt who is serious,20
A man in a purple shirt is dying another shirt black which has a man looking at a dog doing a funny face painted on it.,26
A man in a pose is being amusedly watched by another man,12
A man doing a pose is being watched by another man,11
There is no man in a pose being watched by another man,12
A man is posing to be watched by another man,10
A horse is tossing the cowboy wearing pants of blue and red color,13
The cowboy in blue and red pants is being tossed by a horse,13
There is no horse tossing the cowboy in red and blue pants,12
The cowboy is tossing the blue and red pants towards the horse,12
A man is abruptly falling off a horse on a track laid in the wild,15
A man is falling off a horse on a track and is laid in the wild,16
A man is getting on a horse on a track laid in the wild,14
A man is laying a cover over a wild horse that is falling on the track,16
An adult is in the amphitheater and is talking seriously to a boy,13
An adult is in the amphitheater and is talking to a boy,12
There is no adult in the amphitheater talking to a boy,11
A talk about an adult and a boy is given in the amphitheater,13
The man and the boy are standing at the bottom of the stairs which are outdoors,16
A man and a boy are standing at the bottom of some stairs which are outdoors,16
The man and the boy are standing at the top of the stairs which are outdoors,16
The man is standing outdoor and the boy is falling over the bottom of the stairs,16
A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,23
A boy in a red shirt is in front a wall which is long and blue and is suspiciously raising an eyebrow at the camera,25
A boy in a red shirt is behind a long blue wall and is lowering an eyebrow facing the camera,20
A boy is standing in front of the building painted blue in the space reserved for handicapped people,18
A boy is standing in front of the blue building in the space reserved for handicapped people,17
There is no boy standing in front of the blue building in the space reserved for handicapped people,18
The Jockeys are riding horses on the field which is completely green,12
The Jockeys are racing horses on the field which is completely green,12
The Jockeys are slowing down their horses on the field which is completely green,14
The green field for horse races is completely full of Jockeys,11
A few horses are racing furiously over the green grass and jumping the obstacle,14
Some horses are racing furiously over the green grass and jumping an obstacle,13
Some horses are resting on the green grass,8
Some furious racers on the green grass are yelling at the horses jumping an obstacle,15
A woman is wearing sunglasses of large size and is holding newspapers in both hands,15
The woman is wearing sunglasses of large size and is holding newspapers in both hands,15
There is no woman wearing sunglasses of large size and holding newspapers in both hands,15
A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat,16
An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,15
An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,19
An old woman is shirtless and is clumsily dropping two newspapers,11
One person who is practicing snowboarding jumps into the air,10
A person who is practicing snowboarding jumps into the air,10
A person who is practicing snowboarding falls from the air,10
A practicing jumper is tossing a person's snowboard into the air,11
The snowboarder is leaping fearlessly over white snow,8
The snowboarder is leaping over white snow,7
The snowboarder isn't leaping over white snow,7
A leap over white snow is greatly appealing to the snowboarders,11
A dog is near a ball colored in red which is in the air,14
A dog is near the red ball in the air,10
A dog is far from the red ball in the air,11
A dog is jumping in the air to catch a red ball,12
