Cases that JIGSAW cannot find in PWN
# A Seadoo is being ridden by a woman . 
2	Seadoo	Seadoo	_	NNP	Number=Sing	5	nsubjpass	5:nsubjpass	U
# A boy next to some buckets of rags is not holding an object . 
3	next	next	_	JJ	_	2	amod	6:case	U

# A boy wearing red shorts is jumping into a paddling pool . 
10	paddling	paddle	_	VBG	_	11	amod	11:amod	U

# A brown and white dog is putting the baseball in its mouth down . 
13	down	down	_	RB	_	12	advmod	12:advmod	U

# A can is being bitten by a dog . 
1	A	a	_	DT	Definite=Ind	5	nsubjpass	5:nsubjpass	U
2	can	can	_	MD	_	5	aux	5:aux	U

# A child is amazedly experiencing a new world . 
4	amazedly	amazedly	_	RB	_	5	advmod	5:advmod	U

# A child is playfully swimming underwater in a pool . 
6	underwater	underwater	_	JJ	_	5	xcomp	5:xcomp	U

# A child is running in and out of the ocean waves . 
5	in	in	_	IN	_	11	nmod	11:nmod	U
8	of	of	_	IN	_	11	conj	4:nmod|11:conj:and	U

# A child is running in and out of the waves of the ocean . 
5	in	in	_	IN	_	10	nmod	10:nmod	U
8	of	of	_	IN	_	10	conj	4:nmod|10:conj:and	U

# A child is smiling at the camera and swimming underwater . 
10	underwater	underwater	_	JJ	_	7	conj	4:nmod:at|7:conj:and	U

# A child is swimming underwater in a pool . 
5	underwater	underwater	_	JJ	_	4	xcomp	4:xcomp	U

# A child , who is small , is outdoors climbing steps outdoors in an area full of grass . 
9	outdoors	outdoors	_	RB	_	10	advmod	10:advmod	U

# A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit . 
7	wheelie	wheelie	_	NN	Number=Sing	5	dobj	5:dobj	U

# A dog is biting a can . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A dog is catching a stick in the air and another is watching . 
11	another	another	_	DT	_	13	nsubj	13:nsubj	U

# A dog is chasing another and is holding a piece of wood in its mouth . 
5	another	another	_	DT	_	4	dobj	4:dobj	U

# A dog is chasing another and is holding a stick in its mouth . 
5	another	another	_	DT	_	4	dobj	4:dobj	U

# A dog is closing a can of food . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A dog is dropping a can . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A dog is leaping high in the air and another is watching . 
10	another	another	_	DT	_	12	nsubj	12:nsubj	U

# A dog is opening a can of food . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A dog is running up a grassy hill . 
7	grassy	grassy	_	JJ	_	8	amod	8:amod	U

# A dog next to a tree , which is probably a pine , is biting a bucket . 
3	next	next	_	JJ	_	2	advmod	6:case	U

# A dog next to a tree , which is probably a pine , is dropping a bucket . 
3	next	next	_	JJ	_	2	advmod	6:case	U

# A dog which is furry and black is in a back yard and is carrying a basket in its mouth . 
5	furry	furry	_	JJ	_	2	acl:relcl	2:acl:relcl	U

# A dog which is furry and black is in a backyard and is carrying a basket in its mouth . 
5	furry	furry	_	JJ	_	2	acl:relcl	2:acl:relcl	U

# A dog , which is small , is running out of the green grass . 
10	out	out	_	RB	_	9	advmod	14:case	U

# A family is buying something at the vending machine . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A family is not purchasing something at a vending machine . 
6	something	something	_	NN	Number=Sing	5	dobj	5:dobj	U

# A family is purchasing something at the vending machine . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A female wearing pink gloves and a brown jacket is not smiling in the snow . 
1	A	a	_	DT	Definite=Ind	0	root	_	U

# A female wearing pink gloves and a brown jacket is smiling in the snow . 
1	A	a	_	DT	Definite=Ind	0	root	_	U

# A football player is carrying an official past a rolling football . 
8	past	past	_	NN	Number=Sing	11	nsubj	11:nsubj	U

# A furry brown dog is running through the grassy area . 
2	furry	furry	_	JJ	_	4	amod	4:amod	U

# A girl in a black hat is standing topless at the beach . 
9	topless	topless	_	NN	Number=Sing	8	dobj	8:dobj	U

# A girl in an orange shirt and clown makeup is standing in a park and others are looking on . 
16	others	other	_	NNS	Number=Plur	18	nsubj	18:nsubj	U

# A girl in an orange shirt and clown makeup is walking in a park and others are looking on . 
16	others	other	_	NNS	Number=Plur	18	nsubj	18:nsubj	U

# A girl is getting a tattoo removed from her hand . 
6	tattoo	tattoo	_	NN	Number=Sing	4	dobj	4:dobj	U

# A girl is jumping off a rock and another is standing on it . 
9	another	another	_	DT	_	11	nsubj	11:nsubj	U

# A girl is jumping on a rock and another is sitting on it . 
9	another	another	_	DT	_	11	nsubj	11:nsubj	U

# A girl with red hair and red eyebrows is in midspeech . 
11	midspeech	midspeech	_	NN	Number=Sing	0	root	_	U

# A group of children in uniforms is standing at a gate and there is no one kissing the mother . 
13	there	there	_	EX	_	14	expl	14:expl	U

# A group of children is playing in the house and there is no man standing in the background . 
11	there	there	_	EX	_	12	expl	12:expl	U

# A guitar is being played by a man next to a drummer . 
9	next	next	_	JJ	_	8	amod	12:case	U

# A guy is cheerfully playing with a footbag . 
8	footbag	footbag	_	NN	Number=Sing	5	nmod	5:nmod:with	U

# A guy is cheerfully playing with the footbag . 
8	footbag	footbag	_	NN	Number=Sing	5	nmod	5:nmod:with	U

# A harp is being played by a man . 
2	harp	harp	_	NN	Number=Sing	5	nsubjpass	5:nsubjpass	U

# A harp is being played with a hat by a man . 
2	harp	harp	_	NN	Number=Sing	5	nsubjpass	5:nsubjpass	U

# A healthy looking dog is lying on the ground . 
1	A	a	_	DT	Definite=Ind	0	root	_	U

# A homeless man is putting down a sign and refusing some charity . 
10	refusing	refuse	_	VBG	_	5	conj	5:conj:and	U

# A hose is being held by a boy next to a man and another boy is watching . 
9	next	next	_	JJ	_	5	advmod	12:case	U

# A kid is smiling at the camera and swimming underwater . 
10	underwater	underwater	_	JJ	_	7	conj	4:nmod:at|7:conj:and	U

# A kid wearing red shorts is jumping into a paddling pool . 
10	paddling	paddle	_	VBG	_	11	amod	11:amod	U

# A laughing man is dyeing a shirt black on the table which you can not sit at . 
14	can	can	_	MD	_	16	aux	16:aux	U
17	at	at	_	IN	_	16	advmod	16:advmod	U

# A little girl is smiling and running out of the house . 
8	out	out	_	RB	_	7	advmod	11:case	U

# A lone biker is jumping in the air . 
3	biker	biker	_	NN	Number=Sing	5	nsubj	5:nsubj	U

# A malnourished looking dog is standing on its hind legs and preparing to jump . 
1	A	a	_	DT	Definite=Ind	0	root	_	U

# A man dressed in black is wearing inline skates and performing a trick on a rail . 
8	inline	inline	_	JJ	_	9	amod	9:amod	U

# A man dressed in black is wearing inline skates and performing acrobatics on a rail . 
8	inline	inline	_	JJ	_	9	amod	9:amod	U

# A man in a black wetsuit is riding a foamy wave . 
6	wetsuit	wetsuit	_	NN	Number=Sing	2	nmod	2:nmod:in	U

# A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle . 
11	wheelie	wheelie	_	NN	Number=Sing	9	dobj	9:dobj	U

# A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle . 
12	wheelie	wheelie	_	NN	Number=Sing	10	dobj	10:dobj	U

# A man in a cap is playing a harp . 
9	harp	harp	_	NN	Number=Sing	7	dobj	7:dobj	U

# A man in a hat is playing a harp . 
9	harp	harp	_	NN	Number=Sing	7	dobj	7:dobj	U

# A man in a pose is being amusedly watched by another man . 
8	amusedly	amusedly	_	RB	_	9	advmod	9:advmod	U

# A man is athletically jumping a wall . 
4	athletically	athletically	_	RB	_	5	advmod	5:advmod	U

# A man is being curiously looked at by a woman . 
7	at	at	_	IN	_	6	nmod	6:nmod	U

# A man is carelessly smearing butter on a slice of garlic flavored bread . 
12	flavored	flavored	_	JJ	_	13	amod	13:amod	U

# A man is coming out of the water . 
5	out	out	_	RB	_	4	advmod	8:case	U

# A man is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk . 
6	next	next	_	JJ	_	4	advmod	9:case	U

# A man is diving into a pool . 
4	diving	diving	_	JJ	_	0	root	_	U

# A man is diving into the water . 
4	diving	diving	_	JJ	_	0	root	_	U

# A man is doing back flips on a trampoline . 
6	flips	flip	_	VBZ	Person=3|Tense=Pres	4	dobj	4:dobj	U

# A man is eating onion slices . 
4	eating	eat	_	VBG	_	0	root	_	U

# A man is looking into the distance and people is walking between buildings behind . 
14	behind	behind	_	IN	_	11	advmod	11:advmod	U

# A man is lumping dough . 
4	lumping	lump	_	VBG	_	0	root	_	U

# A man is participating in a race for bmxs . 
9	bmxs	bmx	_	NNS	Number=Plur	7	nmod	7:nmod:for	U

# A man is picking a can . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A man is playing a harp . 
6	harp	harp	_	NN	Number=Sing	4	dobj	4:dobj	U

# A man is riding a motorbike in the event related to motocross . 
12	motocross	motocross	_	NN	Number=Sing	10	nmod	10:nmod:to	U

# A man is sprinkling seasoning on several sliced and buttered loaves of bread . 
10	buttered	buttered	_	JJ	_	8	conj	8:conj:and|11:amod	U

# A man is standing on a dirt hill next to a black car . 
9	next	next	_	JJ	_	8	amod	13:case	U

# A man is standing on a dirt hill next to a black jeep . 
9	next	next	_	JJ	_	8	amod	13:case	U

# A man is standing shirtless in the street . 
5	shirtless	shirtless	_	JJ	_	4	xcomp	4:xcomp	U

# A man is strolling in the rain . 
4	strolling	stroll	_	VBG	_	0	root	_	U

# A man is uninterestedly holding a sign and is seeking money . 
4	uninterestedly	uninterestedly	_	JJ	_	5	advmod	5:advmod	U

# A man is wearing a beret and is riding the bicycle on a recreation trail . 
6	beret	beret	_	NN	Number=Sing	4	dobj	4:dobj	U

# A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something . 
20	something	something	_	NN	Number=Sing	19	dobj	19:dobj	U

# A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up . 
11	wheelie	wheelie	_	NN	Number=Sing	9	dobj	9:dobj	U

# A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up . 
11	wheelie	wheelie	_	NN	Number=Sing	9	dobj	9:dobj	U

# A man with a backwards hat is sitting on the ground . 
5	backwards	backwards	_	RB	_	6	advmod	6:advmod	U

# A man with a white moustache is sitting on a balcony and is looking at the road below . 
18	below	below	_	IN	_	17	advmod	17:advmod	U

# A man with a white moustache is standing on a balcony and is looking at the road below . 
18	below	below	_	IN	_	17	advmod	17:advmod	U

# A man with moustaches is standing on a balcony and is looking at the road below . 
16	below	below	_	IN	_	15	advmod	15:advmod	U

# A man with paint covered clothes is sitting outside in a busy area writing something . 
15	something	something	_	NN	Number=Sing	14	dobj	14:dobj	U

# A nearby throng of people are kissing two by two . 
3	throng	throng	_	NN	Number=Sing	7	nsubj	7:nsubj	U

# A pedestrian woman is building pink bicycles for boa wearing riders . 
8	for	for	_	IN	_	5	advcl	5:advcl	U

# A person is coming out of the water . 
5	out	out	_	RB	_	4	advmod	8:case	U

# A person is ignoring the motocross bike that is lying on its side and there is no one is racing by . 
15	there	there	_	EX	_	16	expl	16:expl	U
21	by	by	_	IN	_	20	advmod	20:advmod	U

# A person is jotting something with a pencil . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A person is looking at a bike designed for motocross that is lying on its side and another is racing by . 
10	motocross	motocross	_	NN	Number=Sing	8	nmod	8:nmod:for|13:nsubj	U
18	another	another	_	DT	_	20	nsubj	20:nsubj	U
21	by	by	_	IN	_	20	nmod	20:nmod	U

# A person is looking at a motocross bike that is lying on its side and another is racing by . 
16	another	another	_	DT	_	18	nsubj	18:nsubj	U
19	by	by	_	IN	_	18	nmod	18:nmod	U

# A person is looking into the distance and people is walking between buildings behind . 
14	behind	behind	_	IN	_	11	advmod	11:advmod	U

# A person is not frying meat in a pan . 
5	frying	frying	_	JJ	_	6	amod	6:amod	U

# A person is riding a jetski in the waves . 
6	jetski	jetski	_	NN	Number=Sing	4	dobj	4:dobj	U

# A person is riding a motorbike in the event related to motocross . 
12	motocross	motocross	_	NN	Number=Sing	10	nmod	10:nmod:to	U

# A person is shirtless and is putting down the beer . 
4	shirtless	shirtless	_	JJ	_	0	root	_	U

# A person is sprinkling seasoning on several sliced and buttered loaves of bread . 
10	buttered	buttered	_	JJ	_	8	conj	8:conj:and|11:amod	U

# A person is taking a cat down from the ceiling . 
7	down	down	_	RB	_	4	advmod	4:advmod	U

# A person with a backwards hat is sitting on the ground . 
5	backwards	backwards	_	RB	_	6	advmod	6:advmod	U

# A podium is where a man is speaking . 
4	where	where	_	WRB	_	8	advmod	8:advmod	U

# A practicing jumper is tossing a person 's snowboard into the air . 
1	A	a	_	DT	Definite=Ind	5	nsubj	5:nsubj	U

# A rhino , which is a youngling , is walking around a pen with its mother . 
7	youngling	youngling	_	NN	Number=Sing	2	acl:relcl	2:acl:relcl	U

# A shirtless man is escorting a horse that is pulling a carriage along a dirty road . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is escorting a horse that is pulling a carriage along a paved road . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is escorting a horse that is pulling a carriage along a road . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is jumping over a log . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is leading a carriage that is being pulled by a horse . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is leading a horse that is pulling a carriage . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is playing football in a gym . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is playing football on a field . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is playing football on a lawn . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless man is posing with a girl who is hiking in a park . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless person is posing with a girl who is hiking in a park . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless woman is jumping over a log . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless woman is leading a horse that is pulling a carriage . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A shirtless woman is posing with a girl who is hiking in a park . 
2	shirtless	shirtless	_	JJ	_	3	amod	3:amod	U

# A sitting man is busy writing something in an area covered by paint . 
7	something	something	_	NN	Number=Sing	6	dobj	6:dobj	U

# A small child is outdoors climbing steps in a grassy area . 
5	outdoors	outdoors	_	RB	_	6	advmod	6:advmod	U

# A small shirtless boy is sliding into a green tube . 
3	shirtless	shirtless	_	JJ	_	4	amod	4:amod	U

# A smiling boy in winter clothes is waving his mittened hands outside a building in the snow . 
10	mittened	mittened	_	JJ	_	11	amod	11:amod	U

# A song is being sung by a clown . 
8	clown	clown	_	NN	Number=Sing	5	nmod	5:nmod:agent	U

# A squirrel is crazily spinning around in circles . 
6	around	around	_	RB	_	5	advmod	5:advmod	U

# A stuntman on a bike is in the air near a body of water . 
2	stuntman	stuntman	_	NN	Number=Sing	9	nsubj	9:nsubj	U

# A surfer in a black wetsuit is riding a foamy wave . 
6	wetsuit	wetsuit	_	NN	Number=Sing	2	nmod	2:nmod:in	U

# A surfer in a white wetsuit is riding a foamy wave . 
6	wetsuit	wetsuit	_	NN	Number=Sing	2	nmod	2:nmod:in	U

# A tattooed man is on a sofa and is holding a pencil . 
2	tattooed	tattooed	_	JJ	_	3	amod	3:amod	U

# A teenage girl is storing away beads that are red . 
2	teenage	teenage	_	JJ	_	3	amod	3:amod	U

# A teenage girl is wearing beads that are red . 
2	teenage	teenage	_	JJ	_	3	amod	3:amod	U

# A tiger is aimlessly walking around . 
6	around	around	_	RB	_	5	advmod	5:advmod	U

# A tiger is not walking around . 
6	around	around	_	RB	_	5	advmod	5:advmod	U

# A tiger is walking around aimlessly . 
5	around	around	_	IN	_	6	advmod	6:advmod	U

# A tower is being looked at by a blonde lady . 
6	at	at	_	IN	_	5	nmod	5:nmod	U

# A woman dressed in black is wearing inline skates and performing a trick on a rail . 
8	inline	inline	_	JJ	_	9	amod	9:amod	U

# A woman in an orange shirt and clown makeup is standing in a park and others are looking on . 
16	others	other	_	NNS	Number=Plur	18	nsubj	18:nsubj	U

# A woman is amalgamating eggs . 
4	amalgamating	amalgamate	_	VBG	_	0	root	_	U

# A woman is cooking a breaded pork chop . 
6	breaded	bread	_	VBN	Tense=Past	7	amod	7:amod	U

# A woman is cooking something in a pan . 
5	something	something	_	NN	Number=Sing	0	root	_	U

# A woman is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk . 
6	next	next	_	JJ	_	4	advmod	9:case	U

# A woman is crouching down next to a dog and is smiling at a young girl sitting on the sidewalk . 
6	next	next	_	JJ	_	4	advmod	9:case	U

# A woman is deep frying food . 
5	frying	fry	_	VBG	_	6	amod	6:amod	U

# A woman is frying something . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A woman is frying something in a pan . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A woman is getting rid of a flute . 
5	rid	rid	_	JJ	_	4	xcomp	4:xcomp	U

# A woman is looking into the distance and people are walking between buildings behind . 
14	behind	behind	_	IN	_	11	advmod	11:advmod	U

# A woman is not frying fish . 
5	frying	frying	_	JJ	_	6	amod	6:amod	U

# A woman is not frying meat . 
5	frying	frying	_	JJ	_	6	amod	6:amod	U

# A woman is parking a Seadoo . 
6	Seadoo	Seadoo	_	NNP	Number=Sing	4	dobj	4:dobj	U

# A woman is picking a can . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A woman is pouring eggs into a frying pan . 
8	frying	frying	_	JJ	_	9	amod	9:amod	U

# A woman is putting away carrots . 
6	carrots	carrot	_	NNS	Number=Plur	4	dobj	4:dobj	U

# A woman is putting the baby into a trash can . 
10	can	can	_	NN	Number=Sing	4	nmod	4:nmod:into	U

# A woman is removing eggs from a frying pan . 
8	frying	frying	_	JJ	_	9	amod	9:amod	U

# A woman is riding a Seadoo . 
6	Seadoo	Seadoo	_	NNP	Number=Sing	4	dobj	4:dobj	U

# A woman is taking a can . 
6	can	can	_	NN	Number=Sing	4	dobj	4:dobj	U

# A woman is unstitching with a machine . 
4	unstitching	unstitch	_	VBG	_	0	root	_	U

# A woman is wakeboarding on a lake . 
4	wakeboarding	wakeboard	_	VBG	_	0	root	_	U

# A woman is wearing a beret and is riding the bicycle on a recreation trail . 
6	beret	beret	_	NN	Number=Sing	4	dobj	4:dobj	U

# A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion . 
23	others	other	_	NNS	Number=Plur	21	nmod	21:nmod:near	U

# A woman wearing a blue shirt and high heels is standing on the sidewalk next to a dog . 
15	next	next	_	JJ	_	11	advmod	18:case	U

# A woman wearing a blue shirt and high heels is standing on the sidewalk next to a man . 
15	next	next	_	JJ	_	11	advmod	18:case	U

# A woman wearing a blue shirt and high heels is standing on the sidewalk next to the man . 
15	next	next	_	JJ	_	11	advmod	18:case	U

# A yellow flower is being clung to by a bee . 
7	to	to	_	TO	_	6	nmod	6:nmod	U

# A young boy is diving into a still lake . 
5	diving	diving	_	JJ	_	0	root	_	U

# A young gamer is playing with a child wearing a white coat . 
3	gamer	gamer	_	NN	Number=Sing	5	nsubj	5:nsubj	U

# A young girl is standing challengingly on one leg . 
6	challengingly	challengingly	_	RB	_	5	advmod	5:advmod	U

# An old woman is shirtless and is clumsily dropping two newspapers . 
5	shirtless	shirtless	_	JJ	_	0	root	_	U

# Masked people are looking in the same direction in a forest . 
1	Masked	masked	_	JJ	_	2	amod	2:amod	U

# Men in costumes are walking around in the street . 
6	around	around	_	IN	_	5	advmod	5:advmod	U

# Mud is covering a topless woman . 
1	Mud	mud	_	NN	Number=Sing	3	nsubj	3:nsubj	U

# No race car is on a road in front of a grassy parking area . 
12	grassy	grassy	_	JJ	_	14	amod	14:amod	U

# Nobody is cooking okra in a pan . 
4	okra	okra	_	NN	Number=Sing	0	root	_	U

# Not everyone is able to walk a lion . 
2	everyone	everyone	_	NN	Number=Sing	4	nsubj	4:nsubj|6:nsubj:xsubj	U

# One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water . 
23	diving	diving	_	JJ	_	0	root	_	U

# One girl is jumping off a rock and another is standing on it . 
9	another	another	_	DT	_	11	nsubj	11:nsubj	U

# One man is doing a wheelie on the mountain bike . 
6	wheelie	wheelie	_	NN	Number=Sing	4	dobj	4:dobj	U

# One woman is wakeboarding on the lake . 
4	wakeboarding	wakeboard	_	VBG	_	0	root	_	U

# People in costumes are walking around in the street . 
6	around	around	_	IN	_	5	advmod	5:advmod	U

# Pink bellbottoms and a pink scarf are n't to be worn by women with silver pants or bike riding people . 
2	bellbottoms	bellbottom	_	NNS	Number=Plur	11	nsubjpass	11:nsubjpass	U

# Rugby is being played by some men . 
1	Rugby	Rugby	_	NNP	Number=Sing	4	nsubjpass	4:nsubjpass	U

# Several children are sitting down and have their knees raised . 
5	down	down	_	RB	_	4	advmod	4:advmod	U

# Some corndogs are being eaten by two toddlers who are in a wagon , which is really small . 
2	corndogs	corndog	_	NNS	Number=Plur	5	nsubjpass	5:nsubjpass	U

# Some teenage girls are dancing for the camera . 
2	teenage	teenage	_	JJ	_	3	amod	3:amod	U

# Some teenage girls are standing still in front of the camera . 
2	teenage	teenage	_	JJ	_	3	amod	3:amod	U

# Someone is cooking okra in a pan . 
4	okra	okra	_	NN	Number=Sing	0	root	_	U

# Something is being celebrated by a cold cyclist . 
1	Something	something	_	NN	Number=Sing	4	nsubjpass	4:nsubjpass	U

# Something is being fried by a woman . 
1	Something	something	_	NN	Number=Sing	4	nsubjpass	4:nsubjpass	U

# The baby is being put into a trash can by a woman . 
9	can	can	_	MD	_	5	advcl	5:advcl	U

# The badger is n't burrowing a hole . 
3	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
5	burrowing	burrow	_	VBG	_	0	root	_	U
7	hole	hole	_	NN	Number=Sing	5	dobj	5:dobj	U

# The ball is being dunked by a man with a jersey at a basketball game . 
5	dunked	dunk	_	VBN	Tense=Past	0	root	_	U
8	man	man	_	NN	Number=Sing	5	nmod	5:nmod:agent	U
11	jersey	jersey	_	NN	Number=Sing	8	nmod	8:nmod:with	U
15	game	game	_	NN	Number=Sing	11	nmod	11:nmod:at	U

# The band is singing . 
4	singing	singing	_	NN	Number=Sing	0	root	_	U

# The band is singing loudly . 
5	loudly	loudly	_	RB	_	4	advmod	4:advmod	U

# The band is n't singing . 
2	band	band	_	NN	Number=Sing	5	nsubj	5:nsubj	U
5	singing	singing	_	NN	Number=Sing	0	root	_	U

# The bearded man is not sitting on a train . 
6	sitting	sit	_	VBG	_	0	root	_	U
9	train	train	_	NN	Number=Sing	6	nmod	6:nmod:on	U

# The bearded man is sitting on a train . 
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
5	sitting	sit	_	VBG	_	0	root	_	U
8	train	train	_	NN	Number=Sing	5	nmod	5:nmod:on	U

# The bicycle is being ridden by a man wearing a beret on a recreation trail . 
4	being	be	_	VBG	_	5	auxpass	5:auxpass	U
5	ridden	ride	_	VBN	Tense=Past	0	root	_	U
8	man	man	_	NN	Number=Sing	5	nmod	5:nmod:agent	U
11	beret	beret	_	NN	Number=Sing	9	dobj	9:dobj	U
15	trail	trail	_	NN	Number=Sing	9	nmod	9:nmod:on	U

# The bicyclist is not riding on a city street . 
5	riding	ride	_	VBG	_	0	root	_	U
9	street	street	_	NN	Number=Sing	5	nmod	5:nmod:on	U

# The bicyclist is riding on a city street . 
3	is	be	_	VBZ	Person=3|Tense=Pres	4	aux	4:aux	U
4	riding	ride	_	VBG	_	0	root	_	U
8	street	street	_	NN	Number=Sing	4	nmod	4:nmod:on	U

# The bicyclist is speeding on a city street . 
3	is	be	_	VBZ	Person=3|Tense=Pres	4	aux	4:aux	U
4	speeding	speed	_	VBG	_	0	root	_	U
8	street	street	_	NN	Number=Sing	4	nmod	4:nmod:on	U

# The big surfer is riding and waving . 
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
7	waving	wave	_	VBG	_	5	conj	5:conj:and	U

# The bike is being ridden by a girl in a strange outfit . 
4	being	be	_	VBG	_	5	auxpass	5:auxpass	U
5	ridden	ride	_	VBN	Tense=Past	0	root	_	U
8	girl	girl	_	NN	Number=Sing	5	nmod	5:nmod:agent	U
11	strange	strange	_	JJ	_	12	amod	12:amod	U
12	outfit	outfit	_	NN	Number=Sing	5	nmod	5:nmod:in	U

# The bike rider is looking at an accident of another bike rider . 
4	is	be	_	VBZ	Person=3|Tense=Pres	5	aux	5:aux	U
5	looking	look	_	VBG	_	0	root	_	U
8	accident	accident	_	NN	Number=Sing	5	nmod	5:nmod:at	U
12	rider	rider	_	NN	Number=Sing	8	nmod	8:nmod:of	U

# The bike rider is not looking at the accident of another bike rider . 
6	looking	look	_	VBG	_	0	root	_	U
9	accident	accident	_	NN	Number=Sing	6	nmod	6:nmod:at	U
