pair_ID,sentence
54,Children covered by leaves are playing with red shirts
55,Three boys are jumping in the leaves
55,Three kids are jumping in the leaves
56,Three kids are sitting in the leaves
56,Three kids are jumping in the leaves
57,Three boys are jumping in the leaves
57,Children in red shirts are playing in the leaves
58,Children in red shirts are playing in the leaves
58,Three kids are sitting in the leaves
59,Kids in red shirts are playing in the leaves
59,Three kids are jumping in the leaves
60,Children in red shirts are sleeping in the leaves
60,Three kids are jumping in the leaves
61,Children covered by leaves are playing with red shirts
61,Three kids are jumping in the leaves
62,Children in red shirts are playing in the leaves
62,Three kids are jumping in the leaves
63,Two children are lying in the snow and are drawing angels
63,Two children are lying in the snow and are making snow angels
64,Two children are lying in the snow and are making snow angels
64,There is no child lying in the snow and making snow angels
65,Two angels are making snow on the lying children
65,Two children are lying in the snow and are making snow angels
66,Two people wearing snowsuits are on the ground making snow angels
66,Two people in snowsuits are lying in the snow and making snow angels
67,Two people in snowsuits are lying in the snow and making snow angels
67,Nobody in snowsuits is lying in the snow and making snow angels
68,Two children are lying in the snow and are making snow angels
68,Two people wearing snowsuits are on the ground making snow angels
69,Two children are lying in the snow and are making snow angels
69,Nobody in snowsuits is lying in the snow and making snow angels
70,Two children are lying in the snow and are drawing angels
70,Two people in snowsuits are lying in the snow and making snow angels
71,There is no child lying in the snow and making snow angels
71,Two people in snowsuits are lying in the snow and making snow angels
72,Two people in snowsuits are lying in the snow and making snow angels
72,Two angels are making snow on the lying children
73,Two children are lying in the snow and are making snow angels
73,Two people in snowsuits are lying in the snow and making snow angels
74,A little girl is looking at a woman in costume
74,A young girl is looking at a woman in costume
75,A little girl is looking at a woman in costume
75,The little girl is looking at a man in costume
76,A little girl is looking at a woman in costume
76,A little girl in costume looks like a woman
77,People wearing costumes are gathering in a forest and are looking in the same direction
77,Masked people are looking in the same direction in a forest
78,People wearing costumes are gathering in a forest and are looking in the same direction
78,People wearing costumes are scattering in a forest and are looking in different directions
79,People are looking at some costumes gathered in the vicinity of the forest
79,People wearing costumes are gathering in a forest and are looking in the same direction
80,Masked people are looking in the same direction in a forest
80,A little girl is looking at a woman in costume
81,A little girl is looking at a woman in costume
81,People wearing costumes are scattering in a forest and are looking in different directions
82,A little girl is looking at a woman in costume
82,People are looking at some costumes gathered in the vicinity of the forest
83,A young girl is looking at a woman in costume
83,People wearing costumes are gathering in a forest and are looking in the same direction
84,People wearing costumes are gathering in a forest and are looking in the same direction
84,The little girl is looking at a man in costume
85,People wearing costumes are gathering in a forest and are looking in the same direction
85,A little girl in costume looks like a woman
86,A little girl is looking at a woman in costume
86,People wearing costumes are gathering in a forest and are looking in the same direction
87,A lone biker is jumping in the air
87,A biker is jumping in the air alone
88,There is no biker jumping in the air
88,A lone biker is jumping in the air
89,A man is jumping into an empty swimming pool
89,A man is jumping into an empty pool
90,A man is jumping into an empty pool
90,A man is jumping into a full pool
91,A man is jumping into an empty pool
91,The man's jumper is in the empty pool
92,A lone biker is jumping in the air
92,A man is jumping into an empty swimming pool
93,A lone biker is jumping in the air
93,A man is jumping into a full pool
94,The man's jumper is in the empty pool
94,A lone biker is jumping in the air
95,A man is jumping into an empty pool
95,A biker is jumping in the air alone
96,A man is jumping into an empty pool
96,There is no biker jumping in the air
97,A lone biker is jumping in the air
97,A man is jumping into an empty pool
98,Four kids are doing backbends in the park
98,Four children are doing backbends in the park
99,Four children are doing backbends in the gym
99,Four children are doing backbends in the park
100,Four girls are doing backbends and playing in the garden
100,Four girls are doing backbends and playing outdoors
101,Four girls are doing backbends and playing outdoors
101,Four girls are doing backbends and playing indoors
102,Four girls are doing backbends and playing in the garden
102,Four children are doing backbends in the park
103,Four girls are doing backbends and playing indoors
103,Four children are doing backbends in the park
104,Four kids are doing backbends in the park
104,Four girls are doing backbends and playing outdoors
105,Four children are doing backbends in the gym
105,Four girls are doing backbends and playing outdoors
106,Four girls are doing backbends and playing outdoors
106,Four children are doing backbends in the park
107,A man who is playing is running with the ball in his hands
107,A player is running with the ball
108,A player is throwing the ball
108,A player is running with the ball
109,Two groups of people are playing football
109,Two teams are competing in a football match
110,Two teams are competing in a football match
110,Two teams are competing in a baseball game
111,Two teams are competing in a football match
111,Football is being played by two competing teams
112,Two groups of people are playing football
112,A player is running with the ball
113,Two teams are competing in a baseball game
113,A player is running with the ball
114,A player is running with the ball
114,Football is being played by two competing teams
115,Two teams are competing in a football match
115,A man who is playing is running with the ball in his hands
116,A player is throwing the ball
116,Two teams are competing in a football match
117,A player is running with the ball
117,Two teams are competing in a football match
118,Five children are standing in front of a wooden hut
118,Five children are standing in front of a hut made of wood
119,Five children are standing in front of a wooden hut
119,Five children are standing in a wooden hut
120,Five wooden stands are in front of each child's hut
120,Five children are standing in front of a wooden hut
121,Five kids are standing close together and one kid has a gun
121,Five kids are standing close together and one kid has a weapon
122,Five kids are standing close together and one kid has a gun
122,Five kids are standing close together and none of the kids has a gun
123,Five children are standing in front of a wooden hut
123,Five kids are standing close together and one kid has a weapon
124,Five kids are standing close together and none of the kids has a gun
124,Five children are standing in front of a wooden hut
125,Five children are standing in front of a hut made of wood
125,Five kids are standing close together and one kid has a gun
126,Five children are standing in a wooden hut
126,Five kids are standing close together and one kid has a gun
127,Five wooden stands are in front of each child's hut
127,Five kids are standing close together and one kid has a gun
128,Five children are standing in front of a wooden hut
128,Five kids are standing close together and one kid has a gun
129,An old man is sitting in a field
129,A man is sitting in a field
130,A man is sitting in a field
130,A man is running in a field
131,A person is wearing a hat and is sitting on the grass
131,A person is sitting in a field and is wearing a hat
132,A person is wearing a hat and is sitting on the grass
132,There is no person wearing a hat and sitting on the grass
133,A person is sitting and wearing a grass hat
133,A person is wearing a hat and is sitting on the grass
134,A person is sitting in a field and is wearing a hat
134,A man is sitting in a field
135,A man is sitting in a field
135,There is no person wearing a hat and sitting on the grass
136,A person is sitting and wearing a grass hat
136,A man is sitting in a field
137,An old man is sitting in a field
137,A person is wearing a hat and is sitting on the grass
138,A person is wearing a hat and is sitting on the grass
138,A man is running in a field
139,A man is sitting in a field
139,A person is wearing a hat and is sitting on the grass
140,The current is being ridden by a group of friends in a raft
140,A group of friends are riding the current in a raft
141,A group of friends are riding the current in a raft
141,A group is not riding the current in a raft
142,This group of people is practicing water safety and wearing preservers
142,Preservers are being worn by a group of people who are practicing water safety
143,Nobody is practicing water safety and wearing preservers
143,This group of people is practicing water safety and wearing preservers
144,A group of friends are riding the current in a raft
144,Preservers are being worn by a group of people who are practicing water safety
145,Nobody is practicing water safety and wearing preservers
145,A group of friends are riding the current in a raft
146,The current is being ridden by a group of friends in a raft
146,This group of people is practicing water safety and wearing preservers
147,A group is not riding the current in a raft
147,This group of people is practicing water safety and wearing preservers
148,A group of friends are riding the current in a raft
148,This group of people is practicing water safety and wearing preservers
149,A deer is jumping over a fence
149,A deer is jumping over the enclosure
150,A deer is jumping over a fence
150,A deer isn't jumping over the fence
151,A wild deer is jumping a fence
151,A deer is jumping a fence
152,A deer is jumping a fence
152,There is no deer jumping fences
153,A wild deer is jumping a fence
153,A deer is jumping over a fence
154,There is no deer jumping fences
154,A deer is jumping over a fence
155,A deer is jumping over the enclosure
155,A deer is jumping a fence
156,A deer is jumping a fence
156,A deer isn't jumping over the fence
157,A deer is jumping over a fence
157,A deer is jumping a fence
158,People are walking outside a building that has many murals on it
158,People are walking outside the building that has several murals on it
159,People are walking inside a building that has many murals on it
159,People are walking outside a building that has many murals on it
160,Several people are in front of a building which is covered by colors
160,Several people are in front of a colorful building
161,Several people are in front of a colorful building
161,Nobody is in front of the colorful building
162,Several people are in front of a building which is covered by colors
162,People are walking outside a building that has many murals on it
163,People are walking outside a building that has many murals on it
163,Nobody is in front of the colorful building
164,People are walking outside the building that has several murals on it
164,Several people are in front of a colorful building
165,Several people are in front of a colorful building
165,People are walking inside a building that has many murals on it
166,People are walking outside a building that has many murals on it
166,Several people are in front of a colorful building
167,A boy is hitting a baseball
167,A child is hitting a baseball
168,A child is hitting a baseball
168,A child is missing a baseball
169,A family is watching a little boy who is hitting a baseball
169,A family is watching a boy who is hitting a baseball
170,A family is watching a little boy who is hitting a baseball
170,A family is watching a little boy who is missing a baseball
171,A little boy is watching a family that is hitting a baseball
171,A family is watching a little boy who is hitting a baseball
172,A family is watching a boy who is hitting a baseball
172,A child is hitting a baseball
173,A child is hitting a baseball
173,A family is watching a little boy who is missing a baseball
174,A little boy is watching a family that is hitting a baseball
174,A child is hitting a baseball
175,A family is watching a little boy who is hitting a baseball
175,A boy is hitting a baseball
176,A child is missing a baseball
176,A family is watching a little boy who is hitting a baseball
177,A family is watching a little boy who is hitting a baseball
177,A child is hitting a baseball
178,A large group of Asian people is eating at a restaurant
178,A group of people from Asia is eating at a restaurant
179,A large group of Asian people is eating at a restaurant
179,A small group of people is waiting to eat in a restaurant
180,A large group of Asian people is eating at a restaurant
180,A group of people in a large Asian restaurant is eating
181,Various people are eating at red tables in a crowded restaurant with purple lights
181,Various customers are eating in a crowded restaurant with purple lights
182,Few people are eating at red tables in a restaurant without lights
182,Various people are eating at red tables in a crowded restaurant with purple lights
183,A purple crowd of people is eating on various red lit restaurant tables
183,Various people are eating at red tables in a crowded restaurant with purple lights
184,A large group of Asian people is eating at a restaurant
184,Various customers are eating in a crowded restaurant with purple lights
185,Few people are eating at red tables in a restaurant without lights
185,A large group of Asian people is eating at a restaurant
186,A purple crowd of people is eating on various red lit restaurant tables
186,A large group of Asian people is eating at a restaurant
187,A group of people from Asia is eating at a restaurant
187,Various people are eating at red tables in a crowded restaurant with purple lights
188,Various people are eating at red tables in a crowded restaurant with purple lights
188,A small group of people is waiting to eat in a restaurant
189,A group of people in a large Asian restaurant is eating
189,Various people are eating at red tables in a crowded restaurant with purple lights
190,A large group of Asian people is eating at a restaurant
190,Various people are eating at red tables in a crowded restaurant with purple lights
191,A motorcycle rider is standing up on the seat of a white motorcycle
191,A motorcycle is riding standing up on the seat of the vehicle
192,A motorcycle rider is standing up on the seat of a white motorcycle
192,No motorcycle rider is standing up on the seat of a motorcycle
193,Someone is on a black and white motorcycle and is standing on the seat
193,A rider is on a black and white bike and is standing on the seat
194,Nobody is on a motorcycle and is standing on the seat
194,Someone is on a black and white motorcycle and is standing on the seat
195,A rider is on a black and white bike and is standing on the seat
195,A motorcycle rider is standing up on the seat of a white motorcycle
196,Nobody is on a motorcycle and is standing on the seat
196,A motorcycle rider is standing up on the seat of a white motorcycle
197,Someone is on a black and white motorcycle and is standing on the seat
197,A motorcycle is riding standing up on the seat of the vehicle
198,Someone is on a black and white motorcycle and is standing on the seat
198,No motorcycle rider is standing up on the seat of a motorcycle
199,Someone is on a black and white motorcycle and is standing on the seat
199,A motorcycle rider is standing up on the seat of a white motorcycle
200,A motorcyclist is riding a motorbike dangerously along a roadway
200,A motorcyclist is riding a motorbike along a roadway
201,There is no motorcyclist riding a motorbike along a roadway
201,A motorcyclist is riding a motorbike along a roadway
202,A man with a helmet painted red is riding a blue motorcycle down the road
202,A motorcyclist with a red helmet is riding a blue motorcycle down the road
203,A motorcyclist with a red helmet is riding a blue motorcycle down the road
203,A motorcyclist without a helmet is waiting on a blue motorcycle near the road
204,A man with a helmet painted red is riding a blue motorcycle down the road
204,A motorcyclist is riding a motorbike along a roadway
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road
205,A motorcyclist is riding a motorbike along a roadway
206,A motorcyclist with a red helmet is riding a blue motorcycle down the road
206,A motorcyclist is riding a motorbike dangerously along a roadway
207,There is no motorcyclist riding a motorbike along a roadway
207,A motorcyclist with a red helmet is riding a blue motorcycle down the road
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road
208,A motorcyclist is riding a motorbike along a roadway
209,A dog is catching a stick in the air and another is watching
209,A dog is leaping high in the air and another is watching
210,There is no dog leaping in the air
210,A dog is leaping high in the air and another is watching
211,Two dogs are playing by a tree
211,Two dogs are playing by a plant
212,Two dogs are playing by a tree
212,Two dogs are sleeping by a tree
213,A dog is leaping high in the air and another is watching
213,Two dogs are playing by a plant
214,A dog is leaping high in the air and another is watching
214,Two dogs are sleeping by a tree
215,Two dogs are playing by a tree
215,A dog is catching a stick in the air and another is watching
216,Two dogs are playing by a tree
216,There is no dog leaping in the air
217,Two dogs are playing by a tree
217,A dog is leaping high in the air and another is watching
218,A girl in white is dancing
218,A girl is wearing white clothes and is dancing
219,There is no girl in white dancing
219,A girl in white is dancing
220,The dancer is dancing in front of the sound equipment
220,The blond girl is dancing in front of the sound equipment
221,The blond girl is dancing behind the sound equipment
221,The blond girl is dancing in front of the sound equipment
222,The blond girl is dancing in front of the sound equipment
222,The equipment in front of the blond dancing girl is sound
223,A girl in white is dancing
223,The dancer is dancing in front of the sound equipment
224,A girl in white is dancing
224,The blond girl is dancing behind the sound equipment
225,The equipment in front of the blond dancing girl is sound
225,A girl in white is dancing
226,A girl is wearing white clothes and is dancing
226,The blond girl is dancing in front of the sound equipment
227,The blond girl is dancing in front of the sound equipment
227,There is no girl in white dancing
228,A girl in white is dancing
228,The blond girl is dancing in front of the sound equipment
229,The children of a family are patiently playing and waiting
229,The children of a family are playing and waiting
230,The children of a family are playing and waiting
230,There are no children playing and waiting
231,Three Asian kids are dancing and a serious man is looking
231,Three Asian kids are dancing and a man is looking
232,Three Asian kids are dancing and a man is looking
232,Three Asian kids are dancing and there is no man looking
233,Three Asian kids are dancing and a man is looking
233,An Asian man is dancing and three kids are looking
234,The children of a family are playing and waiting
234,Three Asian kids are dancing and a serious man is looking
235,The children of a family are playing and waiting
235,Three Asian kids are dancing and there is no man looking
236,The children of a family are playing and waiting
236,An Asian man is dancing and three kids are looking
237,The children of a family are patiently playing and waiting
237,Three Asian kids are dancing and a man is looking
238,There are no children playing and waiting
238,Three Asian kids are dancing and a man is looking
239,Three Asian kids are dancing and a man is looking
239,The children of a family are playing and waiting
240,A woman is wearing an Egyptian hat on her head
240,A woman is wearing an Egyptian headdress
241,A woman is wearing an Egyptian headdress
241,A woman is wearing an Indian headdress
242,A woman is wearing an Egyptian headdress
242,An Egyptian is wearing a woman's headdress
243,The woman is wearing glasses and a black headdress
243,The woman with a black hat is wearing sunglasses
244,The woman is not wearing glasses or a headdress
244,The woman is wearing glasses and a black headdress
245,The black woman is wearing glasses over the headdress
245,The woman is wearing glasses and a black headdress
246,A woman is wearing an Egyptian headdress
246,The woman with a black hat is wearing sunglasses
247,The woman is not wearing glasses or a headdress
247,A woman is wearing an Egyptian headdress
248,The black woman is wearing glasses over the headdress
248,A woman is wearing an Egyptian headdress
249,A woman is wearing an Egyptian hat on her head
249,The woman is wearing glasses and a black headdress
250,A woman is wearing an Indian headdress
250,The woman is wearing glasses and a black headdress
251,The woman is wearing glasses and a black headdress
251,An Egyptian is wearing a woman's headdress
252,The woman is wearing glasses and a black headdress
252,A woman is wearing an Egyptian headdress
253,A hiker is on top of the mountain and is doing a joyful dance
253,A hiker is on top of the mountain and is dancing
254,A hiker is on top of the mountain and is dancing
254,There is no hiker dancing on top of the mountain
255,A man is on a rock high above some trees and is standing in an uncomfortable position
255,A man is on a rock high above some trees and is standing in a strange position
256,There is no man on a rock high above some trees standing in a strange position
256,A man is on a rock high above some trees and is standing in a strange position
257,A hiker is on top of the mountain and is dancing
257,A man is on a rock high above some trees and is standing in an uncomfortable position
258,A hiker is on top of the mountain and is dancing
258,There is no man on a rock high above some trees standing in a strange position
259,A man is on a rock high above some trees and is standing in a strange position
259,A hiker is on top of the mountain and is doing a joyful dance
260,There is no hiker dancing on top of the mountain
260,A man is on a rock high above some trees and is standing in a strange position
261,A man is on a rock high above some trees and is standing in a strange position
261,A hiker is on top of the mountain and is dancing
262,A cowgirl is riding a brown horse and is cornering a barrel
262,A cowgirl is riding a horse and corners a barrel
263,A cowboy is riding a horse and cornering a barrel
263,A cowgirl is riding a horse and corners a barrel
264,A cowgirl is riding a barrel near a horse in the corner
264,A cowgirl is riding a horse and corners a barrel
265,The brown horse is very near a red barrel at the rodeo
265,The brown horse is near a red barrel at the rodeo
266,The brown horse is near a red barrel at the rodeo
266,The brown horse is far from a red barrel at the rodeo
267,The brown horse is very near a red barrel at the rodeo
267,A cowgirl is riding a horse and corners a barrel
268,The brown horse is far from a red barrel at the rodeo
268,A cowgirl is riding a horse and corners a barrel
269,A cowgirl is riding a brown horse and is cornering a barrel
269,The brown horse is near a red barrel at the rodeo
270,A cowboy is riding a horse and cornering a barrel
270,The brown horse is near a red barrel at the rodeo
271,The brown horse is near a red barrel at the rodeo
271,A cowgirl is riding a barrel near a horse in the corner
272,A cowgirl is riding a horse and corners a barrel
272,The brown horse is near a red barrel at the rodeo
273,A boy is standing in the cold water
273,A boy is standing in the water
274,A boy is standing outside the water
274,A boy is standing in the water
275,The kid is swimming through the blue ocean
275,The boy is wading through the blue ocean
276,The boy is sitting near the blue ocean
276,The boy is wading through the blue ocean
277,A boy is standing in the water
277,The kid is swimming through the blue ocean
278,A boy is standing in the water
278,The boy is sitting near the blue ocean
279,The boy is wading through the blue ocean
279,A boy is standing in the cold water
280,A boy is standing outside the water
280,The boy is wading through the blue ocean
281,A boy is standing in the water
281,The boy is wading through the blue ocean
282,A skilled man is playing a guitar on stage
282,A man is playing a guitar on stage
283,A man is playing a guitar on stage
283,There is no man playing a guitar on stage
284,A person has blonde and flyaway hair and is playing a guitar
284,A guitarist has blonde and flyaway hair
285,A bald person is playing a guitar
285,A person has blonde and flyaway hair and is playing a guitar
286,A man is playing a guitar on stage
286,A guitarist has blonde and flyaway hair
287,A man is playing a guitar on stage
287,A bald person is playing a guitar
288,A skilled man is playing a guitar on stage
288,A person has blonde and flyaway hair and is playing a guitar
289,There is no man playing a guitar on stage
289,A person has blonde and flyaway hair and is playing a guitar
290,A man is playing a guitar on stage
290,A person has blonde and flyaway hair and is playing a guitar
291,Several children are sitting down and have their knees raised
291,Several children are lying down and are raising their knees
292,Several children are sitting down and have their knees raised
292,Several children are standing up
293,Two young girls are sitting on the ground
293,Two girls are sitting on the ground
294,Two girls are lying on the ground
294,Two girls are sitting on the ground
295,Two young girls are sitting on the ground
295,Several children are sitting down and have their knees raised
296,Two girls are lying on the ground
296,Several children are sitting down and have their knees raised
297,Several children are lying down and are raising their knees
297,Two girls are sitting on the ground
298,Several children are standing up
298,Two girls are sitting on the ground
299,Several children are sitting down and have their knees raised
299,Two girls are sitting on the ground
300,A nude lady is walking in front of many people in body paint
300,A nude lady is walking in front of a crowd in body paint
301,A nude lady is walking in front of a crowd in body paint
301,There is no lady walking in body paint in front of a crowd 
302,A nude lady is walking in front of a crowd in body paint
302,A nude crowd in body paint is walking in front of a lady 
303,A young topless woman is covered in paint
303,A topless girl is covered in paint
304,An old topless woman is covered in paint
304,A young topless woman is covered in paint
305,A nude lady is walking in front of a crowd in body paint
305,A topless girl is covered in paint
306,An old topless woman is covered in paint
306,A nude lady is walking in front of a crowd in body paint
307,A young topless woman is covered in paint
307,A nude lady is walking in front of many people in body paint
308,There is no lady walking in body paint in front of a crowd 
308,A young topless woman is covered in paint
309,A nude crowd in body paint is walking in front of a lady 
309,A young topless woman is covered in paint
310,A nude lady is walking in front of a crowd in body paint
310,A young topless woman is covered in paint
311,A group of people is near the ocean
311,A crowd of people is near the water
312,A crowd of people is near the water
312,A crowd of people is far from the water
313,A group of children in uniforms is standing at a gate and one is kissing the mother
313,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother
314,A group of children in uniforms is standing at a gate and there is no one kissing the mother
314,A group of children in uniforms is standing at a gate and one is kissing the mother
315,A group of mothers in uniforms is standing near the children and one is kissing the gate
315,A group of children in uniforms is standing at a gate and one is kissing the mother
316,A crowd of people is near the water
316,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother
317,A group of children in uniforms is standing at a gate and there is no one kissing the mother
317,A crowd of people is near the water
318,A group of mothers in uniforms is standing near the children and one is kissing the gate
318,A crowd of people is near the water
319,A group of people is near the ocean
319,A group of children in uniforms is standing at a gate and one is kissing the mother
320,A crowd of people is far from the water
320,A group of children in uniforms is standing at a gate and one is kissing the mother
321,A crowd of people is near the water
321,A group of children in uniforms is standing at a gate and one is kissing the mother
322,A man is in a parking lot and is playing tennis against a large wall
322,A lone man is in a parking lot and is playing tennis against a large wall
323,A man is in a parking lot and is playing tennis against a large wall
323,A man is in a parking lot and is playing tennis against a friend
324,A man is pointing at a silver sedan
324,A man is pointing at a car
325,A man is pointing at a silver sedan
325,There is no man pointing at a car
326,A man is pointing at a car
326,A man is in a parking lot and is playing tennis against a large wall
327,A man is in a parking lot and is playing tennis against a large wall
327,There is no man pointing at a car
328,A man is pointing at a silver sedan
328,A lone man is in a parking lot and is playing tennis against a large wall
329,A man is in a parking lot and is playing tennis against a friend
329,A man is pointing at a silver sedan
330,A man is pointing at a silver sedan
330,A man is in a parking lot and is playing tennis against a large wall
331,A group of people is on a beach
331,A group of people is near the sea
332,A group of people is on a beach
332,A group of people is on a mountain
333,A man a woman and two girls are walking on the beach
333,Four people are walking on the beach
334,A man a woman and two girls are walking on the beach
334,A man a woman and two girls are sitting on the beach
335,A group of people is on a beach
335,Four people are walking on the beach
336,A man a woman and two girls are sitting on the beach
336,A group of people is on a beach
337,A man a woman and two girls are walking on the beach
337,A group of people is near the sea
338,A man a woman and two girls are walking on the beach
338,A group of people is on a mountain
339,A man a woman and two girls are walking on the beach
339,A group of people is on a beach
340,A schoolgirl with a black bag is on a crowded train
340,A girl with a black bag is on a crowded train
341,There is no girl with a black bag on a crowded train
341,A girl with a black bag is on a crowded train
342,A girl with a black bag is on a crowded train
342,A cramped black train is on the bag of a girl
343,An Asian woman in a crowd is carrying a black bag
343,An Asian woman in in the midst of many people is carrying a black bag
344,An Asian woman in a crowd is not carrying a black bag
344,An Asian woman in a crowd is carrying a black bag
345,An Asian woman in in the midst of many people is carrying a black bag
345,A girl with a black bag is on a crowded train
346,A girl with a black bag is on a crowded train
346,An Asian woman in a crowd is not carrying a black bag
347,A schoolgirl with a black bag is on a crowded train
347,An Asian woman in a crowd is carrying a black bag
348,There is no girl with a black bag on a crowded train
348,An Asian woman in a crowd is carrying a black bag
349,An Asian woman in a crowd is carrying a black bag
349,A cramped black train is on the bag of a girl
350,A girl with a black bag is on a crowded train
350,An Asian woman in a crowd is carrying a black bag
351,A dog is chasing another and is holding a stick in its mouth
351,A dog is chasing another and is holding a piece of wood in its mouth
352,There is no dog chasing another or holding a stick in its mouth
352,A dog is chasing another and is holding a stick in its mouth
353,A dog is chasing another and is holding a stick in its mouth
353,A dog is chasing a stick and holding another dog in its mouth
354,Two dogs are running and carrying a toy in their mouths
354,Two dogs are running and carrying an object in their mouths
355,There is no dog running and carrying an object in its mouth
355,Two dogs are running and carrying an object in their mouths
356,Two dogs are running and carrying a toy in their mouths
356,A dog is chasing another and is holding a stick in its mouth
357,There is no dog running and carrying an object in its mouth
357,A dog is chasing another and is holding a stick in its mouth
358,A dog is chasing another and is holding a piece of wood in its mouth
358,Two dogs are running and carrying an object in their mouths
359,There is no dog chasing another or holding a stick in its mouth
359,Two dogs are running and carrying an object in their mouths
360,Two dogs are running and carrying an object in their mouths
360,A dog is chasing a stick and holding another dog in its mouth
361,A dog is chasing another and is holding a stick in its mouth
361,Two dogs are running and carrying an object in their mouths
362,A dirty soccer ball is rolling into a goal net
