pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
617,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,A frightened little boy on a climbing wall.,A frightened little boy on a climbing wall.,FLICKR,FLICKR,TRAIN
622,A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,A boy is climbing up an artificial climbing wall whilst attached to a rope.,A frightened little boy on a climbing wall.,FLICKR,FLICKR,TRAIN
708,Nobody is sitting comfortably on the bench,Two large persons are sitting on a park bench and they have a bottle of soda between them,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A large man and large woman sitting on a park bench with a bottle of soda between them.,A man and a woman sitting on a bench.,FLICKR,FLICKR,TEST
738,The bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,A man and bride walk down the aisle,A man and bride walk down the aisle,FLICKR,FLICKR,TRAIN
775,A woman who is old is near a white dog,A woman who is old is far from a white dog,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,An old woman with a white dog,An old woman with a white dog,FLICKR,FLICKR,TEST
861,One white dog and one black one are running side by side on the grass,There is no dog joyfully running on the grass,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,A white dog and a black dog running side by side on the grass while onlookers watch.,A black and a white dog are running on the grass.,FLICKR,FLICKR,TEST
878,A girl in a uniform which is blue is lowering her arm,A girl in a uniform which is blue is raising her arm.,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,A girl in a blue uniform raises her arm.,A girl in a blue uniform raises her arm.,FLICKR,FLICKR,TRAIN
893,People are far from a beach full of sand by the ocean and are suffering from the sunny day,People are on a beach full of sand by the ocean and are enjoying a sunny day,NEUTRAL,2.9,A_contradicts_B,B_neutral_A,People are enjoying a sunny day on a sandy beach by the ocean.,People are enjoying a sunny day on a sandy beach by the ocean.,FLICKR,FLICKR,TRAIN
901,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a man in a blue jumpsuit popping a wheelie on a motorcycle.,a man in a blue jumpsuit popping a wheelie on a motorcycle.,FLICKR,FLICKR,TEST
935,A young child is barefoot and is walking past a puddle full of mud,A young child is wearing green boots and playing in a puddle full of mud,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a young child wearing green boots playing in a mud puddle,a young child wearing green boots playing in a mud puddle,FLICKR,FLICKR,TRAIN
948,Two toddlers are sleeping in a wagon which is really small,Two toddlers are eating corndogs in a wagon which is really small,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,Two toddlers are eating corndogs in a small wagon or bin.,Two toddlers are eating corndogs in a small wagon or bin.,FLICKR,FLICKR,TRAIN
967,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,There is no man in a pose being watched by another man,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a man in a purple shirt is looking at a man in a black shirt who is pulling a funny face.,a man watching another man DOA kissing pose,FLICKR,FLICKR,TRAIN
1015,Some horses are resting on the green grass,The Jockeys are racing horses on the field which is completely green,NEUTRAL,2.9,A_contradicts_B,B_neutral_A,Jockeys are racing their horses on the green field.,Horses being ridden over green grass and jumping an obstacle.,FLICKR,FLICKR,TEST
1185,A man and a woman are walking through a desert area,A man and a woman are walking through a wooded area,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A man and woman are walking arm in arm through a wooded area.,A man and woman are walking arm in arm through a wooded area.,SEMEVAL,SEMEVAL,TEST
1230,A man is cutting a bun,A man is slicing a tomato,NEUTRAL,2.9,A_contradicts_B,B_neutral_A,A man is slicing a tomato.,A man is slicing a bun.,SEMEVAL,SEMEVAL,TRAIN
1240,There is no woman dancing and singing in the rain,A woman is dancing and singing with other women,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,SEMEVAL,SEMEVAL,TRAIN
1334,The woman is measuring a man,The woman is measuring the other woman,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,The woman is measuring the other woman.,The woman is measuring the other woman.,SEMEVAL,SEMEVAL,TEST
1449,A man is lumping dough,A man is spreading dough,NEUTRAL,4,A_contradicts_B,B_neutral_A,A man is spreading out dough.,A man is spreading out dough.,SEMEVAL,SEMEVAL,TEST
1530,A horse is standing,A horse is running,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,A horse is standing.,A horse is standing.,SEMEVAL,SEMEVAL,TEST
1538,A cat is playing a piano,A cat is playing a keyboard,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,A cat is playing a key board.,A cat is playing a key board.,SEMEVAL,SEMEVAL,TRAIN
1557,A man is dropping a tree,A man is carrying a tree,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A man is carrying a tree.,A man is carrying a tree.,SEMEVAL,SEMEVAL,TRAIN
1559,A man is planting a tree,A man is picking up a tree,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,A man is picking up a tree.,A man is picking up a tree.,SEMEVAL,SEMEVAL,TRAIN
1597,A man is typing on a machine used for stenography,A man is putting away a stenograph machine,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,A man is tying on a stenographers machine.,A man is tying on a stenographers machine.,SEMEVAL,SEMEVAL,TEST
1613,The man isn't cautiously feeding a mouse to the snake,A snake is being fed a mouse by a man,NEUTRAL,4,A_contradicts_B,B_neutral_A,A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,SEMEVAL,SEMEVAL,TEST
1647,The girl is recklessly jumping onto a car,There is no girl jumping into the car,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A girl is jumping onto a car.,A girl jumps on a car.,SEMEVAL,SEMEVAL,TRAIN
1665,A boat is sailing peacefully over the water,A boat is anchored,NEUTRAL,3.3,A_contradicts_B,B_neutral_A,A boat sails along the water.,A boat sails along the water.,SEMEVAL,SEMEVAL,TEST
1756,A flute is being played by a girl,A girl is making a flute which is not to be played,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,A girl is playing a flute.,A girl is playing a flute.,SEMEVAL,SEMEVAL,TRAIN
1799,A lion is slowly walking,There is no lion pacing tiredly in a pen,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,A lion is pacing in a pen.,A lion is walking.,SEMEVAL,SEMEVAL,TEST
1823,The person isn't dicing up an orange pepper,A cook is slicing some bell peppers,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,The cook is slicing bell peppers.,A person dices up an orange pepper.,SEMEVAL,SEMEVAL,TRAIN
1899,A few animals are out of the water,A few animals are playing in the water,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,Animals are playing in water.,Animals are playing in water.,SEMEVAL,SEMEVAL,TEST
1938,A person is taking away the meat in the skillet,A person is putting meat into a skillet,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,Meat is being put into a skillet.,Meat is being put into a skillet.,SEMEVAL,SEMEVAL,TEST
1957,A woman is carefully removing her makeup,A woman is putting on makeup carefully,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,A woman is putting on makeup.,A woman is putting on makeup.,SEMEVAL,SEMEVAL,TEST
1981,A truck is quickly going down a hill,A truck is quickly going up a hill,NEUTRAL,4,A_contradicts_B,B_neutral_A,A truck is going down a hill.,A truck is going down a hill.,SEMEVAL,SEMEVAL,TRAIN
2028,The guitar is being sold by a lady,The guitar is being played by a lady,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,A lady is playing the guitar.,A lady is playing the guitar.,SEMEVAL,SEMEVAL,TEST
2061,Some meat is being stitched together by a woman,A lady is cutting up some meat,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,A woman is cutting up some meat.,A woman is cutting meat into pieces.,SEMEVAL,SEMEVAL,TRAIN
2124,The cat isn't licking milk from a saucer,The cat is hungrily drinking milk,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,The cat is drinking milk.,A cat is licking from a saucer of milk.,SEMEVAL,SEMEVAL,TRAIN
2192,A man is putting garlic on some bread slices,A man is removing the garlic from some slices of bread,NEUTRAL,3.165,A_contradicts_B,B_neutral_A,a man is putting garlic on some bread slices,a man is putting garlic on some bread slices,SEMEVAL,SEMEVAL,TRAIN
2207,Two kids are pushing an inflatable crocodile in a pool,Two kids are pushing past a crocodile in an inflatable pool,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,two kids push an inflatable crocodile around in a pool,two kids push an inflatable crocodile around in a pool,SEMEVAL,SEMEVAL,TRAIN
2229,A woman is tapping her fingers on a table,A woman is resting her fingers on a table,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a woman is tapping her fingers on a table,a woman is tapping her fingers on a table,SEMEVAL,SEMEVAL,TRIAL
2236,A dog is pushing a toddler into a rain puddle,A dog is pulling a toddler out of a rain puddle,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a dog pushes a toddler into a rain puddle,a dog pushes a toddler into a rain puddle,SEMEVAL,SEMEVAL,TRAIN
2256,A man is packing away the guitar,A man is playing the guitar,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,a man is playing the guitar,a man is playing the guitar,SEMEVAL,SEMEVAL,TEST
2271,The woman is adding sugar to the meat,There is no woman adding spices to some meat,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,woman is adding sugar to meat,a woman is adding spices on a meat,SEMEVAL,SEMEVAL,TEST
2280,A dog is dropping a can,A dog is opening a can of food,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,a dog opens a can of food,a dog biting on a can,SEMEVAL,SEMEVAL,TEST
2294,A kid is putting the guitar away,A kid is playing a guitar,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a kid is playing a guitar,a kid is playing a guitar,SEMEVAL,SEMEVAL,TEST
2298,There is no boy playing a guitar,A kid is playing a guitar,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,a kid is playing a guitar,a boy is playing a guitar,SEMEVAL,SEMEVAL,TEST
2359,A person by some cameras is blowing on a burning torch,A person is burning some cameras with a blow torch,NEUTRAL,3.3,A_contradicts_B,B_neutral_A,a person is blow torching cameras,a person is blow torching cameras,SEMEVAL,SEMEVAL,TRAIN
2384,A person is piecing together an onion,A person is slicing a carrot into pieces,NEUTRAL,2.5,A_contradicts_B,B_neutral_A,a person is slicing a carrot into pieces,a person is cutting an onion into pieces,SEMEVAL,SEMEVAL,TEST
2464,There is no man riding a motorcycle through the town,A man is riding a motorcycle,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a man is riding a motorcycle,a man is riding a motorcycle through a town,SEMEVAL,SEMEVAL,TEST
2531,A cat is walking away from some corn,A cat is eating some corn,NEUTRAL,2.7,A_contradicts_B,B_neutral_A,a cat is eating some corn,a cat is eating some corn,SEMEVAL,SEMEVAL,TEST
2535,There is no cat eating corn on the cob,A cat is eating some corn,NEUTRAL,2.5,A_contradicts_B,B_neutral_A,a cat is eating some corn,a cat is eating corn on the cob,SEMEVAL,SEMEVAL,TRIAL
2594,A tiger is walking around aimlessly,A tiger is sitting,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a tiger walks around aimlessly,a tiger walks around aimlessly,SEMEVAL,SEMEVAL,TRAIN
2597,A tiger is sitting,A tiger is walking around a cage,NEUTRAL,2.9,A_contradicts_B,B_neutral_A,a tiger is walking around his cage,a tiger walks around aimlessly,SEMEVAL,SEMEVAL,TRAIN
2616,The woman is dicing onions,The woman is throwing onions away,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,the woman is dicing onions,the woman is dicing onions,SEMEVAL,SEMEVAL,TEST
2657,The lady is eating slices of meat,The lady is slicing up the meat,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,the lady sliced up the meat,the lady sliced up the meat,SEMEVAL,SEMEVAL,TRAIN
2665,Ferrets are climbing up a shelf,Ferrets are climbing down from a shelf,NEUTRAL,3,A_contradicts_B,B_neutral_A,ferrets climb down from a shelf,ferrets climb down from a shelf,SEMEVAL,SEMEVAL,TEST
2674,A man is getting off the car,A man is getting into a car,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a man is getting into a car,a man is getting into a car,SEMEVAL,SEMEVAL,TEST
2679,A man is parking a car in a garage,A man is getting into a car,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a man is getting into a car,a man is getting into a car in a garage,SEMEVAL,SEMEVAL,TRIAL
2682,A man is getting into a car in a garage,A man is getting off the car,NEUTRAL,3,A_contradicts_B,B_neutral_A,a man is getting into a car in a garage,a man is getting into a car,SEMEVAL,SEMEVAL,TRAIN
2694,A man is putting away the guitar,A man is playing a guitar,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a man is playing a guitar,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST
2698,There is no man singing and playing the guitar,A man is playing a guitar,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,a man is playing a guitar,the man is singing and playing the guitar,SEMEVAL,SEMEVAL,TEST
2734,A man is packing away an acoustic guitar,A man is playing an acoustic guitar,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a man is playing an acoustic guitar,a man is playing an acoustic guitar,SEMEVAL,SEMEVAL,TRAIN
2773,A person is cleaning a pot of cooking oil,A person is pouring cooking oil into a pot,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a person pours cooking oil into a pot,a person pours cooking oil into a pot,SEMEVAL,SEMEVAL,TEST
2888,A woman is putting down a flute,The woman is playing the flute,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,the woman is playing the flute,a woman is playing a flute,SEMEVAL,SEMEVAL,TEST
2915,There is no girl applying makeup to her face,A woman is putting on makeup,NEUTRAL,4,A_contradicts_B,B_neutral_A,a woman is putting on makeup,a girl is applying makeup on her face,SEMEVAL,SEMEVAL,TRAIN
2918,A herd of deer is crossing the street,A herd of deer is stopping at the street,NEUTRAL,3,A_contradicts_B,B_neutral_A,a herd of deer are crossing the street,a herd of deer are crossing the street,SEMEVAL,SEMEVAL,TRAIN
2939,Two men are fighting in a cow pasture,Two cows are fighting in a pasture by a man,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,two men are fighting in a cow pasture,two men are fighting in a cow pasture,SEMEVAL,SEMEVAL,TRAIN
2951,There is no woman penciling on eyeshadow,A woman is putting cosmetics on her eyelid,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a woman puts cosmetics on her eyelid,the woman is pencilling on eye shadow,SEMEVAL,SEMEVAL,TRAIN
2966,A big potato is knocking a green ball,A big green ball is knocking a potato,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a big green ball knocks a potato over,a big green ball knocks a potato over,SEMEVAL,SEMEVAL,TRAIN
3093,A few men are dancing,Some women are dancing,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,women are dancing,three men are dancing,SEMEVAL,SEMEVAL,TEST
3144,There is no monkey kicking at the gloved hand of a person,The monkey is practicing martial arts,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a monkey pratices martial arts,a monkey is karate kicking at someone's gloved hand,SEMEVAL,SEMEVAL,TEST
3148,A man is missing the soccer ball,A man is kicking a soccer ball,NEUTRAL,4.3,A_contradicts_B,B_neutral_A,a man is kicking a soccer ball,a man is kicking a soccer ball,SEMEVAL,SEMEVAL,TEST
3181,A man is trekking in the woods,The man is not hiking in the woods,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a man is tracking in the wood,the man is hiking in the woods,SEMEVAL,SEMEVAL,TRIAL
3204,A woman is putting down a lemon,A woman is squeezing a lemon,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a woman is squeezing a lemon,a woman is squeezing a lemon,SEMEVAL,SEMEVAL,TEST
3236,A boy is hanging a rod for fishing and running in front of a fish,A boy is running away from the fishing line,NEUTRAL,2.7,A_contradicts_B,B_neutral_A,a boy runs away from his fishing line,a boy is running in front of fish hanging on fishing rod,SEMEVAL,SEMEVAL,TEST
3242,An animal is resting,An animal is running in circles,NEUTRAL,3.3,A_contradicts_B,B_neutral_A,an animal run in circles,an animal run in circles,SEMEVAL,SEMEVAL,TRAIN
3246,The squirrel is not running in circles,An animal is running in circles,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,an animal run in circles,a squirrel runs in circles,SEMEVAL,SEMEVAL,TEST
3260,A man is playing the guitar,A man is dropping the guitar,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a man plays the guitar,a man plays the guitar,SEMEVAL,SEMEVAL,TRAIN
3267,There is no person kicking a soccer ball between somebody's feet,A person is kicking a soccer ball between their feet,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,a person is kicking a soccer ball back and forth between his feet,a person is kicking a soccer ball back and forth between his feet,SEMEVAL,SEMEVAL,TEST
3327,The man is slicing bread,The man is putting away the bread,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,the man is slicing bread,the man is slicing bread,SEMEVAL,SEMEVAL,TRAIN
3409,A man is unfolding a tortilla,A person is folding a tortilla,NEUTRAL,4.1,A_contradicts_B,B_neutral_A,a person folds a tortilla,a man folds a tortilla,SEMEVAL,SEMEVAL,TEST
3436,A person is wiping butter on a tray,A person is removing the butter from a tray,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a person wipes butter on a tray,a person wipes butter on a tray,SEMEVAL,SEMEVAL,TRAIN
3458,There is no man chopping a log with an axe,The man is chopping a tree trunk with an axe,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,a man is chopping a tree trunk with an axe,a man is chopping a log with an axe,SEMEVAL,SEMEVAL,TEST
3487,A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table isn't looking out the window,NEUTRAL,3,A_contradicts_B,B_neutral_A,a white cat perched on a small wooden cabinet is looking outside the window,a cat perched on a table looks out the window,SEMEVAL,SEMEVAL,TRAIN
3528,The person is not writing with a pencil,A person is writing,NEUTRAL,3.4,A_contradicts_B,B_neutral_A,a person is writing,a person is writing with a pencil,SEMEVAL,SEMEVAL,TRAIN
3539,Nobody is cooking okra in a pan,Someone is boiling okra in a pot,NEUTRAL,2.6,A_contradicts_B,B_neutral_A,someone is boiling okra in a pot,someone is cooking okra in a pan,SEMEVAL,SEMEVAL,TRAIN
3545,A man is dancing,A man is standing still,NEUTRAL,3.1,A_contradicts_B,B_neutral_A,a man is dancing,a man is dancing,SEMEVAL,SEMEVAL,TEST
3559,A squirrel is spinning around in circles,A squirrel is lying down,NEUTRAL,2.6,A_contradicts_B,B_neutral_A,a squirrel is spinning around in circles,a squirrel runs around in circles,SEMEVAL,SEMEVAL,TEST
3576,A man is putting down the flute,A man is playing a flute,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,a man is playing a flute,a man is playing a flute,SEMEVAL,SEMEVAL,TRAIN
3583,A man is playing a flute,The man is playing a guitar,NEUTRAL,3.035,A_contradicts_B,B_neutral_A,a man is playing a flute,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST
3587,A man is playing the drum,A man is disassembling the drum,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,a man plays the drum,a man plays the drum,SEMEVAL,SEMEVAL,TEST
3589,A man is playing the drums,A man is disassembling the drum,NEUTRAL,3.385,A_contradicts_B,B_neutral_A,a man is playing the drums,a man plays the drum,SEMEVAL,SEMEVAL,TRAIN
3599,The man is not doing floor exercises,A man is doing exercises,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,a man is exercising,a man does floor exercises,SEMEVAL,SEMEVAL,TEST
3622,Some fish are swimming,A fish is not swimming,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,fish are swimming,a fish is swimming,SEMEVAL,SEMEVAL,TEST
3683,There are no racers running down a track,Men are running a race,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,men are running a race,racers are running down a track,SEMEVAL,SEMEVAL,TEST
3700,A woman is taking off eyeshadow,A woman is putting on eyeshadow,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a woman is putting on eyeshadow,a woman is putting on eyeshadow,SEMEVAL,SEMEVAL,TEST
3714,A toy train is missing a toy car,A toy train is striking a toy car,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a toy train is striking a toy car,a toy train strikes a toy car,SEMEVAL,SEMEVAL,TEST
3762,A person is throwing a cat at the ceiling,A person is taking a cat down from the ceiling,NEUTRAL,2.7,A_contradicts_B,B_neutral_A,a person throws a cat on the ceiling,a person throws a cat on the ceiling,SEMEVAL,SEMEVAL,TRAIN
3779,A woman is playing the keyboard and a man is dancing,A woman is dancing and a man is playing the keyboard,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,a woman dances while a man plays the keyboard,a woman dances while a man plays the keyboard,SEMEVAL,SEMEVAL,TRAIN
3818,The woman with the knife is not slicing a pepper,A woman is slicing a green pepper,NEUTRAL,3.3,A_contradicts_B,B_neutral_A,a women slicing green pepper,a woman with a knife is slicing a pepper,SEMEVAL,SEMEVAL,TEST
3828,The woman is putting away a flute,A woman is playing flute,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,a woman is playing flute,a woman plays on a flute,SEMEVAL,SEMEVAL,TRAIN
3877,A man is dancing on the ceiling of a room,A man is idling on the floor,NEUTRAL,2.5,A_contradicts_B,B_neutral_A,a man is dancing on the ceiling of a room,a man is dancing on the ceiling of a room,SEMEVAL,SEMEVAL,TEST
3888,A man is silent,A man is singing,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,a man is singing,a man is singing,SEMEVAL,SEMEVAL,TEST
