pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	A:sentence_A,B:sentence_B,
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
151	A wild deer is jumping a fence	A deer is jumping a fence	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A deer jumps a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:wild,
153	A wild deer is jumping a fence	A deer is jumping over a fence	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:wild,B:over,
157	A deer is jumping over a fence	A deer is jumping a fence	ENTAILMENT	4.9	A_entails_B	B_entails_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:over,
167	A boy is hitting a baseball	A child is hitting a baseball	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST	A:boy,B:child,
168	A child is hitting a baseball	A child is missing a baseball	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST	A:hitting,B:missing,
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN	A:white,B:No,
200	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN	A:dangerously,
201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN	A:There,A:no,
211	Two dogs are playing by a tree	Two dogs are playing by a plant	ENTAILMENT	4.6	A_entails_B	B_entails_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TRIAL	A:tree,B:plant,
219	There is no girl in white dancing	A girl in white is dancing	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	A girl in white dances.	A girl in white dances.	FLICKR	FLICKR	TRIAL	A:There,A:no,
222	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	ENTAILMENT	3.9	A_entails_B	B_neutral_A	The blonde girl is dancing on stage in front of the sound equipment.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TEST	
265	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	ENTAILMENT	4.8	A_entails_B	B_neutral_A	The brown horse is next to a red barrel at the rodeo.	The brown horse is next to a red barrel at the rodeo.	FLICKR	FLICKR	TRAIN	A:very,
273	A boy is standing in the cold water	A boy is standing in the water	ENTAILMENT	4.1	A_entails_B	B_neutral_A	A boy up to his knees in water.	A boy up to his knees in water.	FLICKR	FLICKR	TRAIN	A:cold,
282	A skilled man is playing a guitar on stage	A man is playing a guitar on stage	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TEST	A:skilled,
283	A man is playing a guitar on stage	There is no man playing a guitar on stage	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TRAIN	B:There,B:no,
293	Two young girls are sitting on the ground	Two girls are sitting on the ground	ENTAILMENT	4.4	A_entails_B	B_neutral_A	two girls sitting on ground	two girls sitting on ground	FLICKR	FLICKR	TRAIN	A:young,
340	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN	A:schoolgirl,B:girl,
341	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN	A:There,A:no,
362	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net	ENTAILMENT	4.5	A_entails_B	B_neutral_A	View of a soccer ball being kicked into a goal net	View of a soccer ball being kicked into a goal net	FLICKR	FLICKR	TRAIN	A:dirty,
363	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	View of a soccer ball being kicked into a goal net	View of a soccer ball being kicked into a goal net	FLICKR	FLICKR	TRAIN	A:not,
371	A man is resting on a chair and rubbing his eyes	A man is sitting on a chair and rubbing his eyes	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TEST	A:resting,B:sitting,
372	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TRAIN	B:There,B:no,
404	Some people are walking	People are walking	ENTAILMENT	4.7	A_entails_B	B_entails_A	People walking	People walking	FLICKR	FLICKR	TRAIN	A:people,B:People,
422	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Two men holding their fishing poles.	Two men holding their fishing poles.	FLICKR	FLICKR	TRAIN	A:and,A:tackle,
423	Two men are not holding fishing poles	Two men are holding fishing poles	CONTRADICTION	3.2	A_contradicts_B	B_contradicts_A	Two men holding their fishing poles.	Two men holding their fishing poles.	FLICKR	FLICKR	TRAIN	A:not,
454	Two children and an adult are standing next to a tree limb	Two children and an adult are not standing next to a tree limb	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children and an adult standing next to a tree limb.	Two children and an adult standing next to a tree limb.	FLICKR	FLICKR	TRAIN	B:not,
465	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TRAIN	A:stunts,B:trick,
466	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	CONTRADICTION	4.8	A_contradicts_B	B_contradicts_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TEST	B:There,B:no,
473	A boy is holding a squirt gun	A child is holding a squirt gun	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TRAIN	A:boy,B:child,
474	There is no child holding a squirt gun	A child is holding a squirt gun	CONTRADICTION	3.035	A_contradicts_B	B_contradicts_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TEST	A:There,A:no,
502	A man is sitting comfortably at a table	A person is sitting comfortably at the table	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST	A:man,B:person,
503	A man isn't sitting comfortably at the table	A man is sitting comfortably at a table	CONTRADICTION	3.45	A_contradicts_B	B_contradicts_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST	A:isn't,B:is,
518	The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	FLICKR	FLICKR	TEST	A:happily,
519	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	FLICKR	FLICKR	TEST	A:isn't,B:is,
541	The man in a grey t-shirt is sitting on a rock in front of the waterfall	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall	ENTAILMENT	4.9	A_entails_B	B_entails_A	a man in a grey shirt is sitting on a rock in front of a waterfall.	a man in a grey shirt is sitting on a rock in front of a waterfall.	FLICKR	FLICKR	TRAIN	B:dyed,
542	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	a man in a grey shirt is sitting on a rock in front of a waterfall.	a man in a grey shirt is sitting on a rock in front of a waterfall.	FLICKR	FLICKR	TRAIN	B:There,B:no,
570	A white and brown dog is walking through the water with difficulty	A white and brown dog is pacing through the water with difficulty	ENTAILMENT	4.5	A_entails_B	B_entails_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TRAIN	A:walking,B:pacing,
580	A group of boys are playing with a ball in front of a large door made of wood	A bunch of boys are playing with a ball in front of a large door made of wood	ENTAILMENT	4.9	A_entails_B	B_entails_A	A gorup of boys are playing with a ball in front of a large wooden door.	A gorup of boys are playing with a ball in front of a large wooden door.	FLICKR	FLICKR	TEST	A:group,B:bunch,
584	The children aren't playing in front of a large door	The children are playing in front of a large door	CONTRADICTION	4.3	A_contradicts_B	B_contradicts_A	Children play in front of a large door.	Children play in front of a large door.	FLICKR	FLICKR	TEST	A:aren't,B:are,
594	There is no black, red, white and pink dress being worn by a woman	A black, red, white and pink dress is being worn by a woman	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	a woman wearing a black, red, white and pink dress	a woman wearing a black, red, white and pink dress	FLICKR	FLICKR	TEST	A:There,A:no,
639	One man is climbing the cliff with a rope	One man is climbing a cliff with a rope	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man is climbing a rope up a cliff.	A man is climbing a rope up a cliff.	FLICKR	FLICKR	TEST	
652	The young boy is climbing the wall made of rock	One young boy is climbing a wall made of rock	ENTAILMENT	4.8	A_entails_B	B_entails_A	a young boy climbs the rock wall.	a young boy climbs the rock wall.	FLICKR	FLICKR	TEST	B:One,
653	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	a young boy climbs the rock wall.	a young boy climbs the rock wall.	FLICKR	FLICKR	TRAIN	A:isn't,B:is,
665	One man is doing a trick with a bicycle in midair	One man is doing a bicycle trick in midair	ENTAILMENT	4.8	A_entails_B	B_entails_A	A trick cyclist takes air.	A trick cyclist takes air.	FLICKR	FLICKR	TEST	A:with,
667	A cyclist is fearlessly performing a trick in the air	The cyclist is performing a trick in the air	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A male doing a bicycle trick in midair.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TEST	A:fearlessly,
668	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A male doing a bicycle trick in midair.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
679	Two dogs of different breeds are looking angrily at each other across a street	Two dogs of different breeds are looking at each other across a street	ENTAILMENT	4.6	A_entails_B	B_neutral_A	Two dogs of different breeds looking at each other on the road.	Two dogs of different breeds looking at each other on the road.	FLICKR	FLICKR	TRAIN	A:angrily,
713	One man is leading the race	A man is leading the race	ENTAILMENT	5	A_entails_B	B_entails_A	A man leads the way in a race.	A man leads the way in a race.	FLICKR	FLICKR	TEST	A:One,
716	A few men in a competition are running outside	A few men in a competition are running outdoors	ENTAILMENT	4.1	A_entails_B	B_entails_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TEST	A:outside,B:outdoors,
717	A few men in a competition are running outside	A few men in a competition are running indoors	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TRIAL	A:outside,B:indoors,
727	A man with a camera is studying the subject	There is no man with a camera studying the subject	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man with a camera studies his work.	A man with a camera studies his work.	FLICKR	FLICKR	TRAIN	B:There,B:no,
730	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	The man in the purple hat is operating a video camera.	The man in the purple hat is operating a video camera.	FLICKR	FLICKR	TRAIN	A:isn't,B:is,
737	The bride and the groom are leaving after the marriage	The bride and the groom are leaving after the wedding	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man and bride walk down the aisle	A man and bride walk down the aisle	FLICKR	FLICKR	TRAIN	A:marriage,B:wedding,
741	A married couple is walking up the aisle	A married couple is walking down the aisle	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A bride and groom leaving after the wedding.	A bride and groom leaving after the wedding.	FLICKR	FLICKR	TRAIN	A:up,B:down,
752	The presentation is being watched by a classroom of students	The presentation is being attended by a classroom of students	ENTAILMENT	4.8	A_entails_B	B_entails_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TRAIN	A:watched,B:attended,
753	The presentation isn't being watched by a classroom of students	The presentation is being watched by a classroom of students	CONTRADICTION	4.4	A_contradicts_B	B_contradicts_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TEST	A:isn't,B:is,
762	The kid is happily sliding in the snow	The kid is sliding in the snow	ENTAILMENT	4.5	A_entails_B	B_neutral_A	Child sliding in the snow.	Child sliding in the snow.	FLICKR	FLICKR	TRAIN	A:happily,
772	A woman and a dog are peacefully sitting on a tree stump	A woman and a dog are sitting on a tree stump	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A woman and a dog sit on a tree stump.	A woman and a dog sit on a tree stump.	FLICKR	FLICKR	TRAIN	A:peacefully,
781	A dog is excitedly playing with water in a field	A dog is excitedly playing with water in the grass	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST	A:field,B:grass,
782	A dog is excitedly playing with water in the grass	There is no dog excitedly playing with water in the grass	CONTRADICTION	3.75	A_contradicts_B	B_contradicts_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST	B:There,B:no,
785	The dog is snapping at some droplets of water	The dog isn't snapping at some droplets of water	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	German Shepard standing up snapping at droplets of water	German Shepard standing up snapping at droplets of water	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
794	Two men are walking two dogs with golden coats in the snow	Two people are walking two dogs with golden coats in the snow	ENTAILMENT	4.6	A_entails_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people are walking two golden dogs in the snow.	FLICKR	FLICKR	TEST	A:men,B:people,
796	Two people are in the snow, wearing clothes that provide camouflage	Some people are in the snow, wearing clothes that provide camouflage	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people wearing camouflage clothing in the snow with two dogs.	Two people wearing camouflage clothing in the snow with two dogs.	FLICKR	FLICKR	TRAIN	A:Two,
830	The little kid is playing football and falling harmlessly into the grass	The little kid is playing football and falling into the grass	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The little boy fell face first into the grass while playing football.	The little boy fell face first into the grass while playing football.	FLICKR	FLICKR	TRAIN	A:harmlessly,
831	There is no little kid playing football and falling into the grass	The little kid is playing football and falling into the grass	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	The little boy fell face first into the grass while playing football.	The little boy fell face first into the grass while playing football.	FLICKR	FLICKR	TRAIN	A:There,A:no,
844	A woman with a ponytail is climbing down a wall of rock	A woman with a ponytail is climbing a wall of rock	ENTAILMENT	4.085	A_entails_B	B_neutral_A	a woman with a ponytail climbing a rockwall	a woman with a ponytail climbing a rockwall	FLICKR	FLICKR	TRAIN	A:down,
856	One white dog and one black one are cheerfully running side by side on the grass	One white dog and one black one are running side by side on the grass	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A white dog and a black dog running side by side on the grass while onlookers watch.	A white dog and a black dog running side by side on the grass while onlookers watch.	FLICKR	FLICKR	TEST	A:cheerfully,
864	A lot of people are in an ice skating park	Not a lot of people are in an ice skating park	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	An outdoor ice skating rink full of people.	An outdoor ice skating rink full of people.	FLICKR	FLICKR	TRAIN	B:Not,
867	The ice skating rink placed outdoors is full of people	An ice skating rink placed outdoors is full of people	ENTAILMENT	4.9	A_entails_B	B_entails_A	An ice skating park in winter, with many people.	An ice skating park in winter, with many people.	FLICKR	FLICKR	TRAIN	
881	The girl in the blue and white uniform isn't cheering	The girl in the blue and white uniform is cheering	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Girl in blue and white uniform doing cheers	Girl in blue and white uniform doing cheers	FLICKR	FLICKR	TRAIN	A:isn't,B:is,
890	A bunch of guys is on the shore	A bunch of people is on the shore	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A bunch of people at the beach.	A bunch of people at the beach.	FLICKR	FLICKR	TEST	A:guys,B:people,
912	A woman is being kissed by a man	A lady is being kissed by a man	ENTAILMENT	4.9	A_entails_B	B_entails_A	a man is kissing a woman.	a man is kissing a woman.	FLICKR	FLICKR	TEST	A:woman,B:lady,
913	A woman is being kissed by a man	There is no woman being kissed by a man	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a man is kissing a woman.	a man is kissing a woman.	FLICKR	FLICKR	TRIAL	B:There,B:no,
914	Two people are passionately kissing near a crowd	Two people are kissing near a crowd	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people kiss near a crowd.	Two people kiss near a crowd.	FLICKR	FLICKR	TEST	A:passionately,
934	A young child is wearing boots made of green rubber and playing in a puddle full of mud	A young child is wearing green boots and playing in a puddle full of mud	ENTAILMENT	4.6	A_entails_B	B_entails_A	a young child wearing green boots playing in a mud puddle	a young child wearing green boots playing in a mud puddle	FLICKR	FLICKR	TEST	A:made,A:rubber,
937	A little boy is jumping into a puddle in the street	A little boy is jumping into a puddle on the street	ENTAILMENT	4.9	A_entails_B	B_entails_A	The little boy is jumping into a puddle on the street.	The little boy is jumping into a puddle on the street.	FLICKR	FLICKR	TEST	A:in,B:on,
950	Two young kids are eating corndogs	Two young children are eating corndogs	ENTAILMENT	4.9	A_entails_B	B_entails_A	two young children eat corndogs.	two young children eat corndogs.	FLICKR	FLICKR	TRAIN	A:kids,B:children,
1002	There is no boy standing in front of the blue building in the space reserved for handicapped people	A boy is standing in front of the blue building in the space reserved for handicapped people	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	An African American boy stands in front of a blue building in the handicapped space.	An African American boy stands in front of a blue building in the handicapped space.	FLICKR	FLICKR	TRAIN	A:There,A:no,
1011	A few horses are racing furiously over the green grass and jumping the obstacle	Some horses are racing furiously over the green grass and jumping an obstacle	ENTAILMENT	4.7	A_entails_B	B_entails_A	Horses being ridden over green grass and jumping an obstacle.	Horses being ridden over green grass and jumping an obstacle.	FLICKR	FLICKR	TEST	A:few,
1032	One person who is practicing snowboarding jumps into the air	A person who is practicing snowboarding jumps into the air	ENTAILMENT	5	A_entails_B	B_entails_A	a snowboarder jumps into the air.	a snowboarder jumps into the air.	FLICKR	FLICKR	TEST	A:One,
1035	The snowboarder is leaping fearlessly over white snow	The snowboarder is leaping over white snow	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A snowboarder launches into the air over white snow	A snowboarder launches into the air over white snow	FLICKR	FLICKR	TEST	A:fearlessly,
1036	The snowboarder isn't leaping over white snow	The snowboarder is leaping over white snow	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A snowboarder launches into the air over white snow	A snowboarder launches into the air over white snow	FLICKR	FLICKR	TEST	A:isn't,B:is,
1058	The person is riding a motorbike on a sandy track	The person is riding a motorbike on a track on the sand	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person riding the number 157 dirt bike on a sandy track.	A person riding the number 157 dirt bike on a sandy track.	FLICKR	FLICKR	TEST	A:sandy,B:sand,
1059	The person isn't riding a motorbike on a sandy track	The person is riding a motorbike on a sandy track	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	A person riding the number 157 dirt bike on a sandy track.	A person riding the number 157 dirt bike on a sandy track.	FLICKR	FLICKR	TEST	A:isn't,B:is,
1061	A man is riding a motorbike in the event related to motocross	A person is riding a motorbike in the event related to motocross	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A person rides a motorbike in a motorcrossing event.	A person rides a motorbike in a motorcrossing event.	FLICKR	FLICKR	TRAIN	A:man,B:person,
1062	A person is riding a motorbike in the event related to motocross	There is no person riding a motorbike in the event related to motocross	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person rides a motorbike in a motorcrossing event.	A person rides a motorbike in a motorcrossing event.	FLICKR	FLICKR	TEST	B:There,B:no,
1073	The young girl with a shirt dyed pink is peacefully lying on the grass	The young girl with a pink shirt is peacefully lying on the grass	ENTAILMENT	4.9	A_entails_B	B_entails_A	A close-up of a young girl with a pink shirt laying on grass.	A close-up of a young girl with a pink shirt laying on grass.	FLICKR	FLICKR	TEST	A:dyed,
1074	The young girl with a pink shirt is peacefully lying on the grass	The young girl with a pink shirt isn't peacefully lying on the grass	CONTRADICTION	4.5	A_contradicts_B	B_contradicts_A	A close-up of a young girl with a pink shirt laying on grass.	A close-up of a young girl with a pink shirt laying on grass.	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
1082	A dog of large size is running on the grass with a tennis ball in its mouth	A large dog is running on the grass with a tennis ball in its mouth	ENTAILMENT	4.7	A_entails_B	B_entails_A	A large dog running on grass with a tennis ball in his mouth.	A large dog running on grass with a tennis ball in his mouth.	FLICKR	FLICKR	TRAIN	A:of,A:size,
1083	There is no large dog running on the grass with a tennis ball in its mouth	A large dog is running on the grass with a tennis ball in its mouth	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	A large dog running on grass with a tennis ball in his mouth.	A large dog running on grass with a tennis ball in his mouth.	FLICKR	FLICKR	TRAIN	A:There,A:no,
1098	A woman is riding a brown horse	A woman is riding a horse	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A woman is riding a horse.	A woman is riding a horse.	SEMEVAL	SEMEVAL	TEST	A:brown,
1099	There is no woman riding a horse	A woman is riding a horse	CONTRADICTION	2.8	A_contradicts_B	B_contradicts_A	A woman is riding a horse.	A woman is riding a horse.	SEMEVAL	SEMEVAL	TRAIN	A:There,A:no,
1106	A man is opening a small package that contains headphones	A man is opening a package that contains headphones	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man is opening a package containing headphones.	A man is opening a package containing headphones.	SEMEVAL	SEMEVAL	TEST	A:small,
1121	A dog is riding a skateboard	An animal is riding a skateboard	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A dog is riding a skateboard.	A dog rides a skateboard.	SEMEVAL	SEMEVAL	TEST	A:dog,B:animal,
1122	There is no dog riding a skateboard	A dog is riding a skateboard	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A dog is riding a skateboard.	A dog rides a skateboard.	SEMEVAL	SEMEVAL	TRAIN	A:There,A:no,
1126	A sea turtle is hunting for fish	A sea turtle is hunting for food	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A sea turtle is hunting for fish.	A sea turtle is hunting for fish.	SEMEVAL	SEMEVAL	TEST	A:fish,B:food,
1127	A sea turtle is not hunting for fish	A sea turtle is hunting for fish	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	A sea turtle is hunting for fish.	A sea turtle is hunting for fish.	SEMEVAL	SEMEVAL	TEST	A:not,
