pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
446,A lady is surfing and riding a wave,A boy is surfing and riding a wave,NEUTRAL,3.5,A_neutral_B,B_neutral_A,The lady is surfing and riding a wave.,The lady is surfing and riding a wave.,FLICKR,FLICKR,TRAIN	[lady, boy]
464,A black man in green is riding a bike,A man dressed in black is riding a bike,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man dressed in black rides a green bike.,A man dressed in black rides a green bike.,FLICKR,FLICKR,TEST	[green, dressed]
546,A woman is sitting and looking at the waterfall,Somebody is sitting at the waterfall and looking at a woman,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A woman sits staring at a waterfall.,A woman sits staring at a waterfall.,FLICKR,FLICKR,TEST	[Somebody]
558,A dark black dog and a light brown dog are playing in the backyard,A dark black dog and a light brown dog are fighting in the backyard,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A dark black dog is playing with a light brown dog in a backyard.,A dark black dog is playing with a light brown dog in a backyard.,FLICKR,FLICKR,TEST	[playing, fighting]
572,A white man is walking a dog through brown water with difficulty,A white and brown dog is walking through the water with difficulty,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A white and brown dog is walking through the water.,A white and brown dog is walking through the water.,FLICKR,FLICKR,TEST	[man, and]
690,A dog next to a tree which is probably a pine is dropping a bucket,A dog next to a tree which is probably a pine is biting a bucket,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A dog next to pine tree biting on a bucket,A dog next to pine tree biting on a bucket,FLICKR,FLICKR,TRAIN	[dropping, biting]
763,The kid is sliding in the snow,The kid is still in the snow,NEUTRAL,4.2,A_neutral_B,B_neutral_A,Child sliding in the snow.,Child sliding in the snow.,FLICKR,FLICKR,TEST	[sliding, still]
795,Two people are walking two dogs with golden coats in the snow,Two people are in the snow holding two dogs with golden coats,NEUTRAL,3.8,A_neutral_B,B_neutral_A,Two people are walking two golden dogs in the snow.,Two people are walking two golden dogs in the snow.,FLICKR,FLICKR,TEST	[walking, holding]
857,One white dog and one black one are sitting side by side on the grass,One white dog and one black one are running side by side on the grass,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A white dog and a black dog running side by side on the grass while onlookers watch.,A white dog and a black dog running side by side on the grass while onlookers watch.,FLICKR,FLICKR,TRAIN	[sitting, running]
882,The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,NEUTRAL,3.1,A_neutral_B,B_neutral_A,Girl in blue and white uniform doing cheers,Girl in blue and white uniform doing cheers,FLICKR,FLICKR,TRIAL	[man]
915,Two people are arguing near a crowd,Two people are kissing near a crowd,NEUTRAL,3,A_neutral_B,B_neutral_A,Two people kiss near a crowd.,Two people kiss near a crowd.,FLICKR,FLICKR,TRAIN	[arguing, kissing]
1128,A fish is hunting for a turtle in the sea,A sea turtle is hunting for fish,NEUTRAL,3.9,A_neutral_B,B_neutral_A,A sea turtle is hunting for fish.,A sea turtle is hunting for fish.,SEMEVAL,SEMEVAL,TRAIN	[in]
1156,A man is playing a piano,A man is playing a guitar,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing a piano.,SEMEVAL,SEMEVAL,TEST	[piano, guitar]
1160,A woman is cracking some eggs into a bowl,A woman is cracking some eggs outside a bowl,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A woman is cracking three eggs into a bowl.,A woman is cracking three eggs into a bowl.,SEMEVAL,SEMEVAL,TEST	[into, outside]
1174,A woman is slicing a potato,A woman is slicing a carrot,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A woman is slicing carrot.,A woman is slicing a potato.,SEMEVAL,SEMEVAL,TEST	[potato, carrot]
1177,A woman is combing her hair,A woman is arranging her hair,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A woman is combing her hair.,A woman is combing her hair.,SEMEVAL,SEMEVAL,TRIAL	[combing, arranging]
1187,A man and a woman are walking together through the woods,A man and a woman are walking together through the city,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man and woman are walking together through the woods.,A man and woman are walking together through the woods.,SEMEVAL,SEMEVAL,TEST	[woods, city]
1198,A man is speaking about the stage,A man is speaking on a stage,NEUTRAL,3.565,A_neutral_B,B_neutral_A,A man is speaking on a stage.,A man is speaking on a stage.,SEMEVAL,SEMEVAL,TEST	[about, on]
1205,A man is speaking on a stage,A man is speaking on a podium,NEUTRAL,4.3,A_neutral_B,B_neutral_A,A man is speaking at a podium.,A man is speaking on a stage.,SEMEVAL,SEMEVAL,TRAIN	[stage, podium]
1215,A monkey is wading through a marsh,A monkey is wading through a river,NEUTRAL,4,A_neutral_B,B_neutral_A,A monkey is wading across a marsh.,A monkey is wading across a marsh.,SEMEVAL,SEMEVAL,TRAIN	[marsh, river]
1232,A man is slicing a bun,A man is slicing a tomato,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A man is slicing a tomato.,A man is slicing a bun.,SEMEVAL,SEMEVAL,TRIAL	[bun, tomato]
1254,The woman is eating,The woman is drinking,NEUTRAL,3.4,A_neutral_B,B_neutral_A,The woman is eating.,The woman is eating.,SEMEVAL,SEMEVAL,TEST	[eating, drinking]
1290,A cat is stuck on a moving ceiling fan,A cat is playing on a moving ceiling fan,NEUTRAL,4,A_neutral_B,B_neutral_A,A cat gets stuck on a moving ceiling fan.,A cat gets stuck on a moving ceiling fan.,SEMEVAL,SEMEVAL,TEST	[stuck, playing]
1298,A man is playing baseball with a flute,A man is playing flute,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is playing flute.,A man is playing flute.,SEMEVAL,SEMEVAL,TEST	[baseball, with]
1301,A man is playing soccer,A soccer man is playing piano,NEUTRAL,2.6,A_neutral_B,B_neutral_A,A man is playing soccer.,A man is playing soccer.,SEMEVAL,SEMEVAL,TEST	[piano]
1308,A man is playing flute,A man is playing soccer,NEUTRAL,1.7,A_neutral_B,B_neutral_A,A man is playing flute.,A man is playing soccer.,SEMEVAL,SEMEVAL,TRAIN	[flute, soccer]
1319,A boy is spanking a man with a plastic sword,A boy is spanking a woman with a plastic sword,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A boy spanks a man with a plastic sword.,A boy spanks a man with a plastic sword.,SEMEVAL,SEMEVAL,TRAIN	[man, woman]
1320,A boy is spanking a man with a plastic sword,A man is spanking a boy with a plastic sword,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A boy spanks a man with a plastic sword.,A boy spanks a man with a plastic sword.,SEMEVAL,SEMEVAL,TEST	[]
1323,A boy is whacking a man with a sword,A man is whacking a boy with a sword,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A boy whacks a man with a sword.,A boy whacks a man with a sword.,SEMEVAL,SEMEVAL,TEST	[]
1359,A machine is sharpening a knife,A machine is sharpening a pencil,NEUTRAL,2.9,A_neutral_B,B_neutral_A,A machine is sharpening a pencil.,A machine is sharpening a pencil.,SEMEVAL,SEMEVAL,TRAIN	[knife, pencil]
1371,A man is playing a keyboard,A pianist is playing the keyboard,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A man plays a keyboard.,A person is playing the keyboard.,SEMEVAL,SEMEVAL,TRAIN	[man, pianist]
1395,A man is laughing,A man is crying,NEUTRAL,2.5,A_neutral_B,B_neutral_A,A man is crying.,A man is crying.,SEMEVAL,SEMEVAL,TEST	[laughing, crying]
1396,A man is screaming,A man is scared,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A man is screaming.,A man is screaming.,SEMEVAL,SEMEVAL,TRIAL	[screaming, scared]
1398,A man is crying,A man is scared,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is crying.,A man is screaming.,SEMEVAL,SEMEVAL,TEST	[crying, scared]
1401,A man is laughing,A man is screaming,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A man is screaming.,A man is crying.,SEMEVAL,SEMEVAL,TEST	[laughing, screaming]
1402,A man is crying,A man is screaming,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A man is crying.,A man is screaming.,SEMEVAL,SEMEVAL,TEST	[crying, screaming]
1413,Women are sawing logs,Men are sawing logs,NEUTRAL,4,A_neutral_B,B_neutral_A,Men are sawing logs.,Men are sawing logs.,SEMEVAL,SEMEVAL,TEST	[Women, Men]
1421,A woman is washing her feet,A woman is brushing her feet,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A woman is brushing her feet.,A woman is brushing her feet.,SEMEVAL,SEMEVAL,TRAIN	[washing, brushing]
1422,A woman is brushing her hand,A woman is brushing her feet,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A woman is brushing her feet.,A woman is brushing her feet.,SEMEVAL,SEMEVAL,TEST	[hand, feet]
1438,A man is playing a guitar,A man is playing a keyboard,NEUTRAL,3,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing on his keyboard.,SEMEVAL,SEMEVAL,TRAIN	[guitar, keyboard]
1442,A man is talking,A man is laughing,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is talking.,A man is talking.,SEMEVAL,SEMEVAL,TEST	[talking, laughing]
1444,A man is laughing,A man is spitting,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is spitting.,A man is talking.,SEMEVAL,SEMEVAL,TRAIN	[laughing, spitting]
1447,A man is talking,A man is spitting,NEUTRAL,2.2,A_neutral_B,B_neutral_A,A man is spitting.,A man is talking.,SEMEVAL,SEMEVAL,TEST	[talking, spitting]
1458,A baby is laughing,A baby is crying,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A baby is laughing.,A baby is laughing.,SEMEVAL,SEMEVAL,TRAIN	[laughing, crying]
1479,The deer is jumping over the low fence,A deer is jumping over a cyclone fence,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A deer jumps over a cyclone fence.,The deer jumped over the fence.,SEMEVAL,SEMEVAL,TRAIN	[low, cyclone]
1481,A deer is jumping over a wall,The deer is jumping over the fence,NEUTRAL,4,A_neutral_B,B_neutral_A,The deer jumped over the fence.,A deer jumps over a cyclone fence.,SEMEVAL,SEMEVAL,TRAIN	[wall, fence]
1505,Three men are practicing karate in a field,Three men are practicing karate in a gym,NEUTRAL,3.7,A_neutral_B,B_neutral_A,Three men are practicing karate moves in a field.,Three men are practicing karate moves in a field.,SEMEVAL,SEMEVAL,TRAIN	[field, gym]
1522,A woman is cutting some flowers,A woman is cutting some plants,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A woman is cutting some flowers.,A woman is cutting some flowers.,SEMEVAL,SEMEVAL,TEST	[flowers, plants]
1523,A woman is planting some flowers,A woman is cutting some flowers,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A woman is cutting some flowers.,A woman is cutting some flowers.,SEMEVAL,SEMEVAL,TRAIN	[planting, cutting]
1540,A musician is playing two keyboards,A man is playing two keyboards,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A man is playing two keyboards.,A man is playing two keyboards.,SEMEVAL,SEMEVAL,TEST	[musician, man]
1555,Mimes are performing on a stage,The men are performing on stage,NEUTRAL,4.1,A_neutral_B,B_neutral_A,The comedic mimes performed on stage.,The men are performing on stage.,SEMEVAL,SEMEVAL,TEST	[Mimes, men]
1561,A man is carrying a tree,A man is planting a tree,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A man is carrying a tree.,A man is picking up a tree.,SEMEVAL,SEMEVAL,TEST	[carrying, planting]
1567,A man is playing the guitar,A man is playing the guitar owner,NEUTRAL,3,A_neutral_B,B_neutral_A,A man is playing a guitar.,A man is playing a guitar.,SEMEVAL,SEMEVAL,TEST	[owner]
1570,A person is listening to a trumpet playing,A person is playing a trumpet,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man is playing a trumpet.,A man is playing a trumpet.,SEMEVAL,SEMEVAL,TRAIN	[listening, to]
1628,Some ingredients are being mixed in a bowl by a person,Some ingredients are being separated in a bowl by a person,NEUTRAL,4.6,A_neutral_B,B_neutral_A,A person is mixing ingredients in a bowl.,A person is mixing ingredients in a bowl.,SEMEVAL,SEMEVAL,TRIAL	[mixed, separated]
1706,A man is carelessly holding a frog,A man is carelessly dropping a frog,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A man is holding a frog.,A man is holding a frog.,SEMEVAL,SEMEVAL,TRAIN	[holding, dropping]
1727,The elephant is being ridden by the woman,The elephant is being ridden over a woman,NEUTRAL,3.015,A_neutral_B,B_neutral_A,A woman is riding an elephant.,A woman is riding an elephant.,SEMEVAL,SEMEVAL,TEST	[by, over]
1828,A girl is cutting butter into two pieces,A magician is cutting a girl into two pieces like butter,NEUTRAL,2.2,A_neutral_B,B_neutral_A,A girl is slicing a butter into two pieces.,A girl is slicing a butter into two pieces.,SEMEVAL,SEMEVAL,TEST	[magician, like]
1873,Some kittens are hungry,Some kittens are eating,NEUTRAL,3.7,A_neutral_B,B_neutral_A,Five kittens are eating out of five dishes.,Five kittens are eating out of five dishes.,SEMEVAL,SEMEVAL,TRAIN	[hungry, eating]
2005,A man is parking a motorbike,A man is riding a motorbike,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A man is riding a motorcycle.,A man is riding a motorcycle.,SEMEVAL,SEMEVAL,TRAIN	[parking, riding]
2010,A man is riding the horse,A man is riding a motorbike,NEUTRAL,2.4,A_neutral_B,B_neutral_A,A man is riding a motorcycle.,A man is riding a horse.,SEMEVAL,SEMEVAL,TEST	[horse, motorbike]
2011,A man is riding the animal,A man is riding a motorbike,NEUTRAL,3,A_neutral_B,B_neutral_A,A man is riding a motorcycle.,A man is riding a horse.,SEMEVAL,SEMEVAL,TRAIN	[animal, motorbike]
2027,The guitar is being played by a lady,The guitar is being played by a girl,NEUTRAL,4.3,A_neutral_B,B_neutral_A,A lady is playing the guitar.,A lady is playing the guitar.,SEMEVAL,SEMEVAL,TRAIN	[lady, girl]
2045,A cat is playing with a device,A playing device is amusing a cat,NEUTRAL,4.085,A_neutral_B,B_neutral_A,A cat is playing with an antenna.,A cat is playing with an antenna.,SEMEVAL,SEMEVAL,TRAIN	[with, amusing]
2163,A woman is unstitching with a machine,A woman is sewing with a machine,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is sewing on a machine,a woman is sewing on a machine,SEMEVAL,SEMEVAL,TRAIN	[unstitching, sewing]
2183,A few men are watching cricket,A few men are playing cricket,NEUTRAL,3.6,A_neutral_B,B_neutral_A,men are playing cricket,men are playing cricket,SEMEVAL,SEMEVAL,TRAIN	[watching, playing]
2263,The man is playing the flute,A man is playing the guitar,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a man is playing the guitar,a man is playing the flute,SEMEVAL,SEMEVAL,TRAIN	[flute, guitar]
2274,A dog is biting a can,A dog is dropping a can,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a dog biting on a can,a dog biting on a can,SEMEVAL,SEMEVAL,TRAIN	[biting, dropping]
2275,A dog is opening a can of food,A dog is opening a jar of food,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a dog opens a can of food,a dog opens a can of food,SEMEVAL,SEMEVAL,TRAIN	[can, jar]
2293,A teenager is playing the guitar,A kid is playing a guitar,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a kid is playing a guitar,a kid is playing a guitar,SEMEVAL,SEMEVAL,TEST	[teenager, kid]
2295,A teenager is playing the guitar,A boy is playing a guitar,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a boy is playing a guitar,a kid is playing a guitar,SEMEVAL,SEMEVAL,TEST	[teenager, boy]
2348,A man is pouring a plate of shredded cheese into a pot of sauce,A man is pouring a pot of cheese sauce into a shredded plate,NEUTRAL,3,A_neutral_B,B_neutral_A,a man pours a plate of shredded cheese into a pot of sauce,a man pours a plate of shredded cheese into a pot of sauce,SEMEVAL,SEMEVAL,TRAIN	[]
2387,The man is slicing a potato,The man is wrapping a potato,NEUTRAL,4.1,A_neutral_B,B_neutral_A,the man is slicing a potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TEST	[slicing, wrapping]
2394,The man is slicing the potato,The man is wrapping a potato,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is slicing potato,the man is slicing a potato,SEMEVAL,SEMEVAL,TEST	[slicing, wrapping]
2426,A man is racing,A man is running,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a man is running,a man is running,SEMEVAL,SEMEVAL,TRAIN	[racing, running]
2471,Some people are singing,Some people are silent,NEUTRAL,3.9,A_neutral_B,B_neutral_A,some people are singing,some people are singing,SEMEVAL,SEMEVAL,TEST	[singing, silent]
2485,The man is playing a guitar,A man is playing a trumpet,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a man is playing a trumpet,a man is playing a guitar,SEMEVAL,SEMEVAL,TRIAL	[guitar, trumpet]
2487,A man is dancing,A man is motionless,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a man is dancing,a man is dancing,SEMEVAL,SEMEVAL,TEST	[dancing, motionless]
2490,A man is dancing,A man is talking,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a man is dancing,a man is speaking,SEMEVAL,SEMEVAL,TEST	[dancing, talking]
2491,A man is dancing,A man is silent,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a man is dancing,a man is speaking,SEMEVAL,SEMEVAL,TRAIN	[dancing, silent]
2493,A man is speaking,A man is motionless,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is speaking,a man is dancing,SEMEVAL,SEMEVAL,TEST	[speaking, motionless]
2496,A man is untying a rope,A man is climbing a rope,NEUTRAL,3.15,A_neutral_B,B_neutral_A,a man is climbing a rope,a man is climbing a rope,SEMEVAL,SEMEVAL,TRAIN	[untying, climbing]
2556,A man is packing a guitar,A man is playing a guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a man is playing a guitar,a man is playing a guitar,SEMEVAL,SEMEVAL,TEST	[packing, playing]
2598,A tiger is aimlessly walking around,A tiger is walking around a cage,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a tiger is walking around his cage,a tiger walks around aimlessly,SEMEVAL,SEMEVAL,TEST	[aimlessly, cage]
2601,A tiger is walking around aimlessly,A tiger is walking around a cage,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a tiger is walking around his cage,a tiger walks around aimlessly,SEMEVAL,SEMEVAL,TRAIN	[aimlessly, cage]
2606,The monkey is brushing a bull dog,A bull dog is brushing the monkey,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a monkey is brushing a bull dog,a monkey is brushing a bull dog,SEMEVAL,SEMEVAL,TRIAL	[]
2609,A monkey is brushing the dog,A bull dog is brushing the monkey,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a monkey brushes a dog,a monkey is brushing a bull dog,SEMEVAL,SEMEVAL,TEST	[bull]
2752,A soccer player is scoring a goal,A soccer player is missing a goal,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a soccer player scores a goal,a soccer player scores a goal,SEMEVAL,SEMEVAL,TRAIN	[scoring, missing]
2765,A man and a woman are silent,A man and a woman are eating,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a man and woman is eating,a man and woman are talking,SEMEVAL,SEMEVAL,TRAIN	[silent, eating]
2768,A man and a woman are eating,A man and woman are talking,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a man and woman is eating,a man and woman are talking,SEMEVAL,SEMEVAL,TRAIN	[eating, talking]
2771,A person is pouring olive oil into a pot on the stove,A person is pouring olive oil into the stove from a pot,NEUTRAL,3.515,A_neutral_B,B_neutral_A,a person is pouring olive oil into a pot on the stove,a person is pouring olive oil into a pot on the stove,SEMEVAL,SEMEVAL,TEST	[on, from]
2787,The woman is walking the dog,A woman is restraining the dog,NEUTRAL,3.6,A_neutral_B,B_neutral_A,the woman is walking her dog,a woman walks her dog down the street,SEMEVAL,SEMEVAL,TRAIN	[walking, restraining]
2891,The man is lifting barbells,The man is lowering barbells,NEUTRAL,4,A_neutral_B,B_neutral_A,the man lifted barbells,the man lifted barbells,SEMEVAL,SEMEVAL,TRAIN	[lifting, lowering]
2965,A big green ball is missing a potato,A big green ball is knocking a potato,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a big green ball knocks a potato over,a big green ball knocks a potato over,SEMEVAL,SEMEVAL,TRIAL	[missing, knocking]
3025,Some children are jumping off a trampoline,Some children are jumping on a trampoline,NEUTRAL,3.8,A_neutral_B,B_neutral_A,some children are jumping on trampoline,some children are jumping on trampoline,SEMEVAL,SEMEVAL,TEST	[off, on]
3050,A man is jumping onto a low wall,A man is jumping a wall,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a man is jumping a wall,a man jumps onto a short wall,SEMEVAL,SEMEVAL,TRAIN	[onto, low]
3074,A person is ruffling the fur of a cat,A person is combing the fur of a cat,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a person is combing a cat hair,a person is combing a cat hair,SEMEVAL,SEMEVAL,TEST	[ruffling, combing]
3081,A woman is chopping broccoli,A woman is storing broccoli,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a woman is chopping broccoli,a woman is chopping broccoli,SEMEVAL,SEMEVAL,TRAIN	[chopping, storing]
3088,A woman is chopping broccoli,The woman is chopping garlic,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a woman is chopping garlic,a woman is chopping broccoli,SEMEVAL,SEMEVAL,TEST	[broccoli, garlic]
3138,A gloved person is kicking at the hand of a monkey,A monkey is kicking at the gloved hand of a person,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a monkey is karate kicking at someone's gloved hand,a monkey is karate kicking at someone's gloved hand,SEMEVAL,SEMEVAL,TEST	[]
3177,A man is trekking in the woods,A man is sitting in the woods,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a man is tracking in the wood,a man is tracking in the wood,SEMEVAL,SEMEVAL,TEST	[trekking, sitting]
3183,A man is sitting in the woods,The man is hiking in the woods,NEUTRAL,3.3,A_neutral_B,B_neutral_A,the man is hiking in the woods,a man is tracking in the wood,SEMEVAL,SEMEVAL,TEST	[sitting, hiking]
3249,A woman is boiling eggs,A woman is drying eggs,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a woman boils eggs,a woman boils eggs,SEMEVAL,SEMEVAL,TEST	[boiling, drying]
3336,A man is standing on a roof,A man is dancing on a roof ,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man is on a roof dancing,a man is on a roof dancing,SEMEVAL,SEMEVAL,TRAIN	[standing, dancing]
3346,Someone is writing,Someone is typing,NEUTRAL,3.7,A_neutral_B,B_neutral_A,someone is typing,someone is typing,SEMEVAL,SEMEVAL,TRAIN	[writing, typing]
