pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	A:sentence_A,B:sentence_B,
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN	A:white,B:No,
200	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN	A:dangerously,
201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN	A:There,A:no,
211	Two dogs are playing by a tree	Two dogs are playing by a plant	ENTAILMENT	4.6	A_entails_B	B_entails_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TRIAL	A:tree,B:plant,
212	Two dogs are playing by a tree	Two dogs are sleeping by a tree	NEUTRAL	3.565	A_neutral_B	B_neutral_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TEST	A:playing,B:sleeping,
219	There is no girl in white dancing	A girl in white is dancing	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	A girl in white dances.	A girl in white dances.	FLICKR	FLICKR	TRIAL	A:There,A:no,
222	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	ENTAILMENT	3.9	A_entails_B	B_neutral_A	The blonde girl is dancing on stage in front of the sound equipment.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TEST	
241	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	NEUTRAL	4	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN	A:Egyptian,B:Indian,
242	A woman is wearing an Egyptian headdress	An Egyptian is wearing a woman's headdress	NEUTRAL	3.9	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TEST	A:woman,B:woman's,
245	The black woman is wearing glasses over the headdress	The woman is wearing glasses and a black headdress	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The woman in glasses is wearing a black head dress.	The woman in glasses is wearing a black head dress.	FLICKR	FLICKR	TEST	A:over,B:and,
265	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	ENTAILMENT	4.8	A_entails_B	B_neutral_A	The brown horse is next to a red barrel at the rodeo.	The brown horse is next to a red barrel at the rodeo.	FLICKR	FLICKR	TRAIN	A:very,
273	A boy is standing in the cold water	A boy is standing in the water	ENTAILMENT	4.1	A_entails_B	B_neutral_A	A boy up to his knees in water.	A boy up to his knees in water.	FLICKR	FLICKR	TRAIN	A:cold,
274	A boy is standing outside the water	A boy is standing in the water	NEUTRAL	3.6	A_neutral_B	B_contradicts_A	A boy up to his knees in water.	A boy up to his knees in water.	FLICKR	FLICKR	TEST	A:outside,B:in,
282	A skilled man is playing a guitar on stage	A man is playing a guitar on stage	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TEST	A:skilled,
283	A man is playing a guitar on stage	There is no man playing a guitar on stage	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TRAIN	B:There,B:no,
293	Two young girls are sitting on the ground	Two girls are sitting on the ground	ENTAILMENT	4.4	A_entails_B	B_neutral_A	two girls sitting on ground	two girls sitting on ground	FLICKR	FLICKR	TRAIN	A:young,
294	Two girls are lying on the ground	Two girls are sitting on the ground	NEUTRAL	3.8	A_neutral_B	B_neutral_A	two girls sitting on ground	two girls sitting on ground	FLICKR	FLICKR	TEST	A:lying,B:sitting,
302	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	NEUTRAL	3.1	A_neutral_B	B_contradicts_A	A nude lady walks in front of a crowd in body paint.	A nude lady walks in front of a crowd in body paint.	FLICKR	FLICKR	TRAIN	
304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A young woman, topless except for paint or mud.	A young woman, topless except for paint or mud.	FLICKR	FLICKR	TRIAL	A:old,,B:young,,
332	A group of people is on a beach	A group of people is on a mountain	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A group of people at a distance on a beach.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN	A:beach,B:mountain,
334	A man, a woman and two girls are walking on the beach	A man, a woman and two girls are sitting on the beach	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A man, woman, and two girls walk on the beach barefoot.	FLICKR	FLICKR	TEST	A:walking,B:sitting,
340	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN	A:schoolgirl,B:girl,
341	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN	A:There,A:no,
344	An Asian woman in a crowd is not carrying a black bag	An Asian woman in a crowd is carrying a black bag	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Asian woman in crowd, carrying black bag with "pain" and spiked knuckle graphic.	Asian woman in crowd, carrying black bag with ""pain"" and spiked knuckle graphic.	FLICKR	FLICKR	TRAIN	A:not,
362	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net	ENTAILMENT	4.5	A_entails_B	B_neutral_A	View of a soccer ball being kicked into a goal net	View of a soccer ball being kicked into a goal net	FLICKR	FLICKR	TRAIN	A:dirty,
363	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	View of a soccer ball being kicked into a goal net	View of a soccer ball being kicked into a goal net	FLICKR	FLICKR	TRAIN	A:not,
371	A man is resting on a chair and rubbing his eyes	A man is sitting on a chair and rubbing his eyes	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TEST	A:resting,B:sitting,
372	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TRAIN	B:There,B:no,
404	Some people are walking	People are walking	ENTAILMENT	4.7	A_entails_B	B_entails_A	People walking	People walking	FLICKR	FLICKR	TRAIN	A:people,B:People,
405	Some people are walking	Some people are standing	NEUTRAL	3.5	A_neutral_B	B_neutral_A	People walking	People walking	FLICKR	FLICKR	TEST	A:walking,B:standing,
415	Two men with bikes are on the side of a snowy road	Two men with cars are on the side of a snowy road	NEUTRAL	3.5	A_neutral_B	B_neutral_A	The two men and their bikes are on the side of a snowy road.	The two men and their bikes are on the side of a snowy road.	FLICKR	FLICKR	TRAIN	A:bikes,B:cars,
422	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Two men holding their fishing poles.	Two men holding their fishing poles.	FLICKR	FLICKR	TRAIN	A:and,A:tackle,
423	Two men are not holding fishing poles	Two men are holding fishing poles	CONTRADICTION	3.2	A_contradicts_B	B_contradicts_A	Two men holding their fishing poles.	Two men holding their fishing poles.	FLICKR	FLICKR	TRAIN	A:not,
436	A woman is performing a trick on a ramp with a bicycle	A woman is performing a trick on a ramp with a car	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The woman is performing a trick on a ramp with a bicycle.	The woman is performing a trick on a ramp with a bicycle.	FLICKR	FLICKR	TRAIN	A:bicycle,B:car,
444	A blond girl is riding the waves	A blond girl waves while she is riding	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A blond girl rides the waves.	A blond girl rides the waves.	FLICKR	FLICKR	TEST	B:while,B:she,
454	Two children and an adult are standing next to a tree limb	Two children and an adult are not standing next to a tree limb	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children and an adult standing next to a tree limb.	Two children and an adult standing next to a tree limb.	FLICKR	FLICKR	TRAIN	B:not,
464	A black man in green is riding a bike	A man dressed in black is riding a bike	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man dressed in black rides a green bike.	A man dressed in black rides a green bike.	FLICKR	FLICKR	TEST	A:green,B:dressed,
465	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TRAIN	A:stunts,B:trick,
466	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	CONTRADICTION	4.8	A_contradicts_B	B_contradicts_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TEST	B:There,B:no,
473	A boy is holding a squirt gun	A child is holding a squirt gun	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TRAIN	A:boy,B:child,
474	There is no child holding a squirt gun	A child is holding a squirt gun	CONTRADICTION	3.035	A_contradicts_B	B_contradicts_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TEST	A:There,A:no,
485	Two cats are playing with a red ball	Two daschunds are playing with a red ball	NEUTRAL	3.3	A_neutral_B	B_contradicts_A	Two daschunds play with a red ball	Two daschunds play with a red ball	FLICKR	FLICKR	TRAIN	A:cats,B:daschunds,
502	A man is sitting comfortably at a table	A person is sitting comfortably at the table	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST	A:man,B:person,
503	A man isn't sitting comfortably at the table	A man is sitting comfortably at a table	CONTRADICTION	3.45	A_contradicts_B	B_contradicts_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST	A:isn't,B:is,
518	The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	FLICKR	FLICKR	TEST	A:happily,
519	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	FLICKR	FLICKR	TEST	A:isn't,B:is,
541	The man in a grey t-shirt is sitting on a rock in front of the waterfall	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall	ENTAILMENT	4.9	A_entails_B	B_entails_A	a man in a grey shirt is sitting on a rock in front of a waterfall.	a man in a grey shirt is sitting on a rock in front of a waterfall.	FLICKR	FLICKR	TRAIN	B:dyed,
542	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	a man in a grey shirt is sitting on a rock in front of a waterfall.	a man in a grey shirt is sitting on a rock in front of a waterfall.	FLICKR	FLICKR	TRAIN	B:There,B:no,
558	A dark black dog and a light brown dog are playing in the backyard	A dark black dog and a light brown dog are fighting in the backyard	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A dark black dog is playing with a light brown dog in a backyard.	A dark black dog is playing with a light brown dog in a backyard.	FLICKR	FLICKR	TEST	A:playing,B:fighting,
570	A white and brown dog is walking through the water with difficulty	A white and brown dog is pacing through the water with difficulty	ENTAILMENT	4.5	A_entails_B	B_entails_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TRAIN	A:walking,B:pacing,
572	A white man is walking a dog through brown water with difficulty	A white and brown dog is walking through the water with difficulty	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TEST	A:man,B:and,
580	A group of boys are playing with a ball in front of a large door made of wood	A bunch of boys are playing with a ball in front of a large door made of wood	ENTAILMENT	4.9	A_entails_B	B_entails_A	A gorup of boys are playing with a ball in front of a large wooden door.	A gorup of boys are playing with a ball in front of a large wooden door.	FLICKR	FLICKR	TEST	A:group,B:bunch,
584	The children aren't playing in front of a large door	The children are playing in front of a large door	CONTRADICTION	4.3	A_contradicts_B	B_contradicts_A	Children play in front of a large door.	Children play in front of a large door.	FLICKR	FLICKR	TEST	A:aren't,B:are,
594	There is no black, red, white and pink dress being worn by a woman	A black, red, white and pink dress is being worn by a woman	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	a woman wearing a black, red, white and pink dress	a woman wearing a black, red, white and pink dress	FLICKR	FLICKR	TEST	A:There,A:no,
639	One man is climbing the cliff with a rope	One man is climbing a cliff with a rope	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man is climbing a rope up a cliff.	A man is climbing a rope up a cliff.	FLICKR	FLICKR	TEST	
640	One man is descending a cliff with a rope	One man is climbing a cliff with a rope	NEUTRAL	3.3	A_neutral_B	B_contradicts_A	A man is climbing a rope up a cliff.	A man is climbing a rope up a cliff.	FLICKR	FLICKR	TEST	A:descending,B:climbing,
652	The young boy is climbing the wall made of rock	One young boy is climbing a wall made of rock	ENTAILMENT	4.8	A_entails_B	B_entails_A	a young boy climbs the rock wall.	a young boy climbs the rock wall.	FLICKR	FLICKR	TEST	B:One,
653	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	a young boy climbs the rock wall.	a young boy climbs the rock wall.	FLICKR	FLICKR	TRAIN	A:isn't,B:is,
665	One man is doing a trick with a bicycle in midair	One man is doing a bicycle trick in midair	ENTAILMENT	4.8	A_entails_B	B_entails_A	A trick cyclist takes air.	A trick cyclist takes air.	FLICKR	FLICKR	TEST	A:with,
667	A cyclist is fearlessly performing a trick in the air	The cyclist is performing a trick in the air	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A male doing a bicycle trick in midair.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TEST	A:fearlessly,
668	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A male doing a bicycle trick in midair.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
679	Two dogs of different breeds are looking angrily at each other across a street	Two dogs of different breeds are looking at each other across a street	ENTAILMENT	4.6	A_entails_B	B_neutral_A	Two dogs of different breeds looking at each other on the road.	Two dogs of different breeds looking at each other on the road.	FLICKR	FLICKR	TRAIN	A:angrily,
713	One man is leading the race	A man is leading the race	ENTAILMENT	5	A_entails_B	B_entails_A	A man leads the way in a race.	A man leads the way in a race.	FLICKR	FLICKR	TEST	A:One,
716	A few men in a competition are running outside	A few men in a competition are running outdoors	ENTAILMENT	4.1	A_entails_B	B_entails_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TEST	A:outside,B:outdoors,
717	A few men in a competition are running outside	A few men in a competition are running indoors	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TRIAL	A:outside,B:indoors,
727	A man with a camera is studying the subject	There is no man with a camera studying the subject	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man with a camera studies his work.	A man with a camera studies his work.	FLICKR	FLICKR	TRAIN	B:There,B:no,
730	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	The man in the purple hat is operating a video camera.	The man in the purple hat is operating a video camera.	FLICKR	FLICKR	TRAIN	A:isn't,B:is,
737	The bride and the groom are leaving after the marriage	The bride and the groom are leaving after the wedding	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man and bride walk down the aisle	A man and bride walk down the aisle	FLICKR	FLICKR	TRAIN	A:marriage,B:wedding,
738	The bride and the groom are arriving after the wedding	The bride and the groom are leaving after the wedding	NEUTRAL	4.3	A_contradicts_B	B_neutral_A	A man and bride walk down the aisle	A man and bride walk down the aisle	FLICKR	FLICKR	TRAIN	A:arriving,B:leaving,
741	A married couple is walking up the aisle	A married couple is walking down the aisle	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A bride and groom leaving after the wedding.	A bride and groom leaving after the wedding.	FLICKR	FLICKR	TRAIN	A:up,B:down,
752	The presentation is being watched by a classroom of students	The presentation is being attended by a classroom of students	ENTAILMENT	4.8	A_entails_B	B_entails_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TRAIN	A:watched,B:attended,
753	The presentation isn't being watched by a classroom of students	The presentation is being watched by a classroom of students	CONTRADICTION	4.4	A_contradicts_B	B_contradicts_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TEST	A:isn't,B:is,
762	The kid is happily sliding in the snow	The kid is sliding in the snow	ENTAILMENT	4.5	A_entails_B	B_neutral_A	Child sliding in the snow.	Child sliding in the snow.	FLICKR	FLICKR	TRAIN	A:happily,
763	The kid is sliding in the snow	The kid is still in the snow	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Child sliding in the snow.	Child sliding in the snow.	FLICKR	FLICKR	TEST	A:sliding,B:still,
772	A woman and a dog are peacefully sitting on a tree stump	A woman and a dog are sitting on a tree stump	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A woman and a dog sit on a tree stump.	A woman and a dog sit on a tree stump.	FLICKR	FLICKR	TRAIN	A:peacefully,
781	A dog is excitedly playing with water in a field	A dog is excitedly playing with water in the grass	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST	A:field,B:grass,
782	A dog is excitedly playing with water in the grass	There is no dog excitedly playing with water in the grass	CONTRADICTION	3.75	A_contradicts_B	B_contradicts_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST	B:There,B:no,
785	The dog is snapping at some droplets of water	The dog isn't snapping at some droplets of water	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	German Shepard standing up snapping at droplets of water	German Shepard standing up snapping at droplets of water	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
794	Two men are walking two dogs with golden coats in the snow	Two people are walking two dogs with golden coats in the snow	ENTAILMENT	4.6	A_entails_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people are walking two golden dogs in the snow.	FLICKR	FLICKR	TEST	A:men,B:people,
795	Two people are walking two dogs with golden coats in the snow	Two people are in the snow holding two dogs with golden coats	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people are walking two golden dogs in the snow.	FLICKR	FLICKR	TEST	A:walking,B:holding,
796	Two people are in the snow, wearing clothes that provide camouflage	Some people are in the snow, wearing clothes that provide camouflage	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people wearing camouflage clothing in the snow with two dogs.	Two people wearing camouflage clothing in the snow with two dogs.	FLICKR	FLICKR	TRAIN	A:Two,
817	A group of people is equipped with protective gear	A group of people is equipped with unprotective gear	NEUTRAL	3.5	A_neutral_B	B_contradicts_A	A group of people in protective gear.	A group of people in protective gear.	FLICKR	FLICKR	TEST	A:protective,B:unprotective,
830	The little kid is playing football and falling harmlessly into the grass	The little kid is playing football and falling into the grass	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The little boy fell face first into the grass while playing football.	The little boy fell face first into the grass while playing football.	FLICKR	FLICKR	TRAIN	A:harmlessly,
