pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
2968,A large green ball is missing a potato,A large green ball is hitting a potato,NEUTRAL,3.5,A_neutral_B,B_contradicts_A,a large green ball hits a potato,a large green ball hits a potato,SEMEVAL,SEMEVAL,TRIAL	[missing, hitting]
3018,Three teenage girls are dancing in the room,Three teenage girls are idling in the room,NEUTRAL,3.5,A_neutral_B,B_contradicts_A,three teenage girls danced in the room,three teenage girls danced in the room,SEMEVAL,SEMEVAL,TRAIN	[dancing, idling]
3403,A man is folding a tortilla,A man is unfolding a tortilla,NEUTRAL,3.8,A_neutral_B,B_contradicts_A,a man folds a tortilla,a man folds a tortilla,SEMEVAL,SEMEVAL,TEST	[folding, unfolding]
3426,A man is packing a violin,A man is playing a violin,NEUTRAL,3.6,A_neutral_B,B_contradicts_A,a man is playing a violin,a man is playing a violin,SEMEVAL,SEMEVAL,TRAIN	[packing, playing]
3605,A man is stopping the bicycle,A man is riding a bicycle,NEUTRAL,3.4,A_neutral_B,B_contradicts_A,a man is riding a bicycle,a man is riding a bicycle,SEMEVAL,SEMEVAL,TEST	[stopping, riding]
3609,A man is riding a bicycle,A monkey is riding a bicycle,NEUTRAL,3.1,A_neutral_B,B_contradicts_A,a man is riding a bicycle,a monkey is riding a bike,SEMEVAL,SEMEVAL,TEST	[man, monkey]
3646,Four young men are standing still and a car is exploding behind them,Four young men are exploding and a car is standing still behind them,NEUTRAL,2.9,A_neutral_B,B_contradicts_A,four young men stand still as a car explodes behind them,four young men stand still as a car explodes behind them,SEMEVAL,SEMEVAL,TRAIN	[]
4007,A man is climbing a rope,The man is not climbing up a rope,NEUTRAL,2.9,A_neutral_B,B_contradicts_A,a man is climbing a rope,a man climbs up a rope,SEMEVAL,SEMEVAL,TRAIN	[not, up]
4088,The person is painting,The person is drawing,NEUTRAL,3.4,A_neutral_B,B_contradicts_A,a person is drawing,a person is drawing,SEMEVAL,SEMEVAL,TRAIN	[painting, drawing]
4387,A man is untying a shoe,A man is tying a shoe,NEUTRAL,3,A_neutral_B,B_contradicts_A,a man ties a shoe,a man is tying his shoe,SEMEVAL,SEMEVAL,TRAIN	[untying, tying]
4642,A man is playing a harp,A man is playing a keyboard,NEUTRAL,3.2,A_neutral_B,B_contradicts_A,a man is playing a keyboard,a man is playing a harp,SEMEVAL,SEMEVAL,TEST	[harp, keyboard]
4751,The girl is standing on the couch and crocheting,The girl is sitting on the couch and is crocheting,NEUTRAL,4.2,A_neutral_B,B_contradicts_A,the girl sat on the couch to crochet,the girl sat on the couch to crochet,SEMEVAL,SEMEVAL,TEST	[standing, sitting]
