pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set,[sentence_A, sentence_B]
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN,[kids, children]
99	Four children are doing backbends in the gym	Four children are doing backbends in the park	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN,[gym, park]
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST,[outdoors, indoors]
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Five children are standing in front of a wooden hut.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRIAL,[front, of]
121	Five kids are standing close together and one kid has a gun	Five kids are standing close together and one kid has a weapon	ENTAILMENT	4.8	A_entails_B	B_neutral_A	There are five kids standing next to each other, and the one in the red has a gun.	There are five kids standing next to each other, and the one in the red has a gun.	FLICKR	FLICKR	TEST,[gun, weapon]
129	An old man is sitting in a field	A man is sitting in a field	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN,[An, old]
130	A man is sitting in a field	A man is running in a field	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN,[sitting, running]
132	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TEST,[There, no]
149	A deer is jumping over a fence	A deer is jumping over the enclosure	ENTAILMENT	4.535	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST,[fence, enclosure]
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN,[is, isn't]
153	A wild deer is jumping a fence	A deer is jumping over a fence	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST,[wild, over]
158	People are walking outside a building that has many murals on it	People are walking outside the building that has several murals on it	ENTAILMENT	4.7	A_entails_B	B_entails_A	People walk outside of a building that has many murals painted on it.	People walk outside of a building that has many murals painted on it.	FLICKR	FLICKR	TEST,[many, several]
159	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	NEUTRAL	3.4	A_neutral_B	B_neutral_A	People walk outside of a building that has many murals painted on it.	People walk outside of a building that has many murals painted on it.	FLICKR	FLICKR	TRAIN,[inside, outside]
167	A boy is hitting a baseball	A child is hitting a baseball	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST,[boy, child]
168	A child is hitting a baseball	A child is missing a baseball	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST,[hitting, missing]
170	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN,[hitting, missing]
171	A little boy is watching a family that is hitting a baseball	A family is watching a little boy who is hitting a baseball	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TEST,[that, who]
180	A large group of Asian people is eating at a restaurant	A group of people in a large Asian restaurant is eating	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A large group of asian people are eating at a restaurant.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TEST,[at, in]
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN,[white, No]
201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN,[There, no]
211	Two dogs are playing by a tree	Two dogs are playing by a plant	ENTAILMENT	4.6	A_entails_B	B_entails_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TRIAL,[tree, plant]
212	Two dogs are playing by a tree	Two dogs are sleeping by a tree	NEUTRAL	3.565	A_neutral_B	B_neutral_A	Two dogs play by a tree.	Two dogs play by a tree.	FLICKR	FLICKR	TEST,[playing, sleeping]
219	There is no girl in white dancing	A girl in white is dancing	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	A girl in white dances.	A girl in white dances.	FLICKR	FLICKR	TRIAL,[There, no]
232	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN,[there, no]
241	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	NEUTRAL	4	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN,[Egyptian, Indian]
245	The black woman is wearing glasses over the headdress	The woman is wearing glasses and a black headdress	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The woman in glasses is wearing a black head dress.	The woman in glasses is wearing a black head dress.	FLICKR	FLICKR	TEST,[over, and]
274	A boy is standing outside the water	A boy is standing in the water	NEUTRAL	3.6	A_neutral_B	B_contradicts_A	A boy up to his knees in water.	A boy up to his knees in water.	FLICKR	FLICKR	TEST,[outside, in]
283	A man is playing a guitar on stage	There is no man playing a guitar on stage	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TRAIN,[There, no]
294	Two girls are lying on the ground	Two girls are sitting on the ground	NEUTRAL	3.8	A_neutral_B	B_neutral_A	two girls sitting on ground	two girls sitting on ground	FLICKR	FLICKR	TEST,[lying, sitting]
314	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A group of children in uniforms is standing at a gate and one is kissing the mother	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Group of schoolchildren in uniforms standing at a gate, one kissing her mother goodbye.	Group of schoolchildren in uniforms standing at a gate, one kissing her mother goodbye.	FLICKR	FLICKR	TEST,[there, no]
332	A group of people is on a beach	A group of people is on a mountain	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A group of people at a distance on a beach.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN,[beach, mountain]
334	A man, a woman and two girls are walking on the beach	A man, a woman and two girls are sitting on the beach	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A man, woman, and two girls walk on the beach barefoot.	FLICKR	FLICKR	TEST,[walking, sitting]
340	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN,[schoolgirl, girl]
341	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN,[There, no]
371	A man is resting on a chair and rubbing his eyes	A man is sitting on a chair and rubbing his eyes	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TEST,[resting, sitting]
372	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TRAIN,[There, no]
405	Some people are walking	Some people are standing	NEUTRAL	3.5	A_neutral_B	B_neutral_A	People walking	People walking	FLICKR	FLICKR	TEST,[walking, standing]
415	Two men with bikes are on the side of a snowy road	Two men with cars are on the side of a snowy road	NEUTRAL	3.5	A_neutral_B	B_neutral_A	The two men and their bikes are on the side of a snowy road.	The two men and their bikes are on the side of a snowy road.	FLICKR	FLICKR	TRAIN,[bikes, cars]
422	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Two men holding their fishing poles.	Two men holding their fishing poles.	FLICKR	FLICKR	TRAIN,[and, tackle]
426	Two men are holding some water standing near fishing poles	Two men are standing near the water and are holding fishing poles	NEUTRAL	3.6	A_contradicts_B	B_neutral_A	Two men stand near the water with their fishing poles.	Two men stand near the water with their fishing poles.	FLICKR	FLICKR	TEST,[some, and]
436	A woman is performing a trick on a ramp with a bicycle	A woman is performing a trick on a ramp with a car	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The woman is performing a trick on a ramp with a bicycle.	The woman is performing a trick on a ramp with a bicycle.	FLICKR	FLICKR	TRAIN,[bicycle, car]
444	A blond girl is riding the waves	A blond girl waves while she is riding	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A blond girl rides the waves.	A blond girl rides the waves.	FLICKR	FLICKR	TEST,[while, she]
446	A lady is surfing and riding a wave	A boy is surfing and riding a wave	NEUTRAL	3.5	A_neutral_B	B_neutral_A	The lady is surfing and riding a wave.	The lady is surfing and riding a wave.	FLICKR	FLICKR	TRAIN,[lady, boy]
464	A black man in green is riding a bike	A man dressed in black is riding a bike	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man dressed in black rides a green bike.	A man dressed in black rides a green bike.	FLICKR	FLICKR	TEST,[green, dressed]
465	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TRAIN,[stunts, trick]
466	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	CONTRADICTION	4.8	A_contradicts_B	B_contradicts_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TEST,[There, no]
473	A boy is holding a squirt gun	A child is holding a squirt gun	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TRAIN,[boy, child]
474	There is no child holding a squirt gun	A child is holding a squirt gun	CONTRADICTION	3.035	A_contradicts_B	B_contradicts_A	A child with a squirt gun.	A child with a squirt gun.	FLICKR	FLICKR	TEST,[There, no]
482	Two brown dogs are fighting over a red ball and are playing in the grass	Two brown dogs are fighting over a red toy and are playing in the grass	ENTAILMENT	4.7	A_entails_B	B_neutral_A	Two brown dogs fight over a red ball while playing in the grass.	Two brown dogs fight over a red ball while playing in the grass.	FLICKR	FLICKR	TEST,[ball, toy]
485	Two cats are playing with a red ball	Two daschunds are playing with a red ball	NEUTRAL	3.3	A_neutral_B	B_contradicts_A	Two daschunds play with a red ball	Two daschunds play with a red ball	FLICKR	FLICKR	TRAIN,[cats, daschunds]
502	A man is sitting comfortably at a table	A person is sitting comfortably at the table	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST,[man, person]
503	A man isn't sitting comfortably at the table	A man is sitting comfortably at a table	CONTRADICTION	3.45	A_contradicts_B	B_contradicts_A	A man sits at a table.	A man sits at a table.	FLICKR	FLICKR	TEST,[isn't, is]
519	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	A woman with silver pants and pink bellbottoms, and a pink scarf riding her bike by a fence, with a buildings in the background.	FLICKR	FLICKR	TEST,[isn't, is]
542	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	a man in a grey shirt is sitting on a rock in front of a waterfall.	a man in a grey shirt is sitting on a rock in front of a waterfall.	FLICKR	FLICKR	TRAIN,[There, no]
554	A dog, which is brown, and a black one are racing in the grass	A dog, which is brown, and a black one are running in the grass	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A brown dog and a black dog run into each other in the grass.	A brown dog and a black dog run into each other in the grass.	FLICKR	FLICKR	TEST,[racing, running]
558	A dark black dog and a light brown dog are playing in the backyard	A dark black dog and a light brown dog are fighting in the backyard	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A dark black dog is playing with a light brown dog in a backyard.	A dark black dog is playing with a light brown dog in a backyard.	FLICKR	FLICKR	TEST,[playing, fighting]
570	A white and brown dog is walking through the water with difficulty	A white and brown dog is pacing through the water with difficulty	ENTAILMENT	4.5	A_entails_B	B_entails_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TRAIN,[walking, pacing]
572	A white man is walking a dog through brown water with difficulty	A white and brown dog is walking through the water with difficulty	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TEST,[man, and]
580	A group of boys are playing with a ball in front of a large door made of wood	A bunch of boys are playing with a ball in front of a large door made of wood	ENTAILMENT	4.9	A_entails_B	B_entails_A	A gorup of boys are playing with a ball in front of a large wooden door.	A gorup of boys are playing with a ball in front of a large wooden door.	FLICKR	FLICKR	TEST,[group, bunch]
584	The children aren't playing in front of a large door	The children are playing in front of a large door	CONTRADICTION	4.3	A_contradicts_B	B_contradicts_A	Children play in front of a large door.	Children play in front of a large door.	FLICKR	FLICKR	TEST,[aren't, are]
594	There is no black, red, white and pink dress being worn by a woman	A black, red, white and pink dress is being worn by a woman	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	a woman wearing a black, red, white and pink dress	a woman wearing a black, red, white and pink dress	FLICKR	FLICKR	TEST,[There, no]
604	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A young woman with light brown hair wearing a red beaded neclace, a Gonzaga sweatshirt and earrings stands smiling.	A young woman with light brown hair wearing a red beaded neclace, a Gonzaga sweatshirt and earrings stands smiling.	FLICKR	FLICKR	TRAIN,[There, no]
640	One man is descending a cliff with a rope	One man is climbing a cliff with a rope	NEUTRAL	3.3	A_neutral_B	B_contradicts_A	A man is climbing a rope up a cliff.	A man is climbing a rope up a cliff.	FLICKR	FLICKR	TEST,[descending, climbing]
653	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	a young boy climbs the rock wall.	a young boy climbs the rock wall.	FLICKR	FLICKR	TRAIN,[isn't, is]
655	A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors	ENTAILMENT	4.7	A_entails_B	B_entails_A	A young child climbs an indoor rock climbing wall.	A young child climbs an indoor rock climbing wall.	FLICKR	FLICKR	TRAIN,[child, kid]
668	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A male doing a bicycle trick in midair.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TRAIN,[is, isn't]
690	A dog next to a tree, which is probably a pine, is dropping a bucket	A dog next to a tree, which is probably a pine, is biting a bucket	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A dog next to pine tree biting on a bucket	A dog next to pine tree biting on a bucket	FLICKR	FLICKR	TRAIN,[dropping, biting]
716	A few men in a competition are running outside	A few men in a competition are running outdoors	ENTAILMENT	4.1	A_entails_B	B_entails_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TEST,[outside, outdoors]
717	A few men in a competition are running outside	A few men in a competition are running indoors	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Two men running outside in a competition.	Two men running outside in a competition.	FLICKR	FLICKR	TRIAL,[outside, indoors]
727	A man with a camera is studying the subject	There is no man with a camera studying the subject	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man with a camera studies his work.	A man with a camera studies his work.	FLICKR	FLICKR	TRAIN,[There, no]
730	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	The man in the purple hat is operating a video camera.	The man in the purple hat is operating a video camera.	FLICKR	FLICKR	TRAIN,[isn't, is]
737	The bride and the groom are leaving after the marriage	The bride and the groom are leaving after the wedding	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man and bride walk down the aisle	A man and bride walk down the aisle	FLICKR	FLICKR	TRAIN,[marriage, wedding]
738	The bride and the groom are arriving after the wedding	The bride and the groom are leaving after the wedding	NEUTRAL	4.3	A_contradicts_B	B_neutral_A	A man and bride walk down the aisle	A man and bride walk down the aisle	FLICKR	FLICKR	TRAIN,[arriving, leaving]
741	A married couple is walking up the aisle	A married couple is walking down the aisle	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A bride and groom leaving after the wedding.	A bride and groom leaving after the wedding.	FLICKR	FLICKR	TRAIN,[up, down]
752	The presentation is being watched by a classroom of students	The presentation is being attended by a classroom of students	ENTAILMENT	4.8	A_entails_B	B_entails_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TRAIN,[watched, attended]
753	The presentation isn't being watched by a classroom of students	The presentation is being watched by a classroom of students	CONTRADICTION	4.4	A_contradicts_B	B_contradicts_A	A classroom of students watching a presentation.	A classroom of students watching a presentation.	FLICKR	FLICKR	TEST,[isn't, is]
763	The kid is sliding in the snow	The kid is still in the snow	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Child sliding in the snow.	Child sliding in the snow.	FLICKR	FLICKR	TEST,[sliding, still]
781	A dog is excitedly playing with water in a field	A dog is excitedly playing with water in the grass	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST,[field, grass]
782	A dog is excitedly playing with water in the grass	There is no dog excitedly playing with water in the grass	CONTRADICTION	3.75	A_contradicts_B	B_contradicts_A	A German shepherd playing with water in the grass.	A German shepherd playing with water in the grass.	FLICKR	FLICKR	TEST,[There, no]
785	The dog is snapping at some droplets of water	The dog isn't snapping at some droplets of water	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	German Shepard standing up snapping at droplets of water	German Shepard standing up snapping at droplets of water	FLICKR	FLICKR	TRAIN,[is, isn't]
794	Two men are walking two dogs with golden coats in the snow	Two people are walking two dogs with golden coats in the snow	ENTAILMENT	4.6	A_entails_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people are walking two golden dogs in the snow.	FLICKR	FLICKR	TEST,[men, people]
795	Two people are walking two dogs with golden coats in the snow	Two people are in the snow holding two dogs with golden coats	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people are walking two golden dogs in the snow.	FLICKR	FLICKR	TEST,[walking, holding]
796	Two people are in the snow, wearing clothes that provide camouflage	Some people are in the snow, wearing clothes that provide camouflage	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people wearing camouflage clothing in the snow with two dogs.	Two people wearing camouflage clothing in the snow with two dogs.	FLICKR	FLICKR	TRAIN,[Two, Some]
817	A group of people is equipped with protective gear	A group of people is equipped with unprotective gear	NEUTRAL	3.5	A_neutral_B	B_contradicts_A	A group of people in protective gear.	A group of people in protective gear.	FLICKR	FLICKR	TEST,[protective, unprotective]
831	There is no little kid playing football and falling into the grass	The little kid is playing football and falling into the grass	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	The little boy fell face first into the grass while playing football.	The little boy fell face first into the grass while playing football.	FLICKR	FLICKR	TRAIN,[There, no]
857	One white dog and one black one are sitting side by side on the grass	One white dog and one black one are running side by side on the grass	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A white dog and a black dog running side by side on the grass while onlookers watch.	A white dog and a black dog running side by side on the grass while onlookers watch.	FLICKR	FLICKR	TRAIN,[sitting, running]
881	The girl in the blue and white uniform isn't cheering	The girl in the blue and white uniform is cheering	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Girl in blue and white uniform doing cheers	Girl in blue and white uniform doing cheers	FLICKR	FLICKR	TRAIN,[isn't, is]
890	A bunch of guys is on the shore	A bunch of people is on the shore	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A bunch of people at the beach.	A bunch of people at the beach.	FLICKR	FLICKR	TEST,[guys, people]
892	People are on a beach full of sand by the ocean and are enjoying a sunny day	People are on a beach full of sand by the ocean and are enjoying a day full of sun	ENTAILMENT	4.8	A_entails_B	B_entails_A	People are enjoying a sunny day on a sandy beach by the ocean.	People are enjoying a sunny day on a sandy beach by the ocean.	FLICKR	FLICKR	TRAIN,[sunny, sun]
912	A woman is being kissed by a man	A lady is being kissed by a man	ENTAILMENT	4.9	A_entails_B	B_entails_A	a man is kissing a woman.	a man is kissing a woman.	FLICKR	FLICKR	TEST,[woman, lady]
913	A woman is being kissed by a man	There is no woman being kissed by a man	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a man is kissing a woman.	a man is kissing a woman.	FLICKR	FLICKR	TRIAL,[There, no]
915	Two people are arguing near a crowd	Two people are kissing near a crowd	NEUTRAL	3	A_neutral_B	B_neutral_A	Two people kiss near a crowd.	Two people kiss near a crowd.	FLICKR	FLICKR	TRAIN,[arguing, kissing]
934	A young child is wearing boots made of green rubber and playing in a puddle full of mud	A young child is wearing green boots and playing in a puddle full of mud	ENTAILMENT	4.6	A_entails_B	B_entails_A	a young child wearing green boots playing in a mud puddle	a young child wearing green boots playing in a mud puddle	FLICKR	FLICKR	TEST,[made, rubber]
937	A little boy is jumping into a puddle in the street	A little boy is jumping into a puddle on the street	ENTAILMENT	4.9	A_entails_B	B_entails_A	The little boy is jumping into a puddle on the street.	The little boy is jumping into a puddle on the street.	FLICKR	FLICKR	TEST,[in, on]
950	Two young kids are eating corndogs	Two young children are eating corndogs	ENTAILMENT	4.9	A_entails_B	B_entails_A	two young children eat corndogs.	two young children eat corndogs.	FLICKR	FLICKR	TRAIN,[kids, children]
960	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny	ENTAILMENT	5	A_entails_B	B_entails_A	a man in a purple shirt is looking at a man in a black shirt who is pulling a funny face.	a man in a purple shirt is looking at a man in a black shirt who is pulling a funny face.	FLICKR	FLICKR	TRAIN,[which, looks]
976	A man is abruptly falling off a horse on a track laid in the wild	A man is falling off a horse on a track and is laid in the wild	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man falls off his horse on a racetrack.	A man falls off his horse on a racetrack.	FLICKR	FLICKR	TEST,[abruptly, and]
990	The man and the boy are standing at the bottom of the stairs, which are outdoors	The man and the boy are standing at the top of the stairs, which are outdoors	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	The man and the boy are standing at the bottom of the outdoor stairs.	The man and the boy are standing at the bottom of the outdoor stairs.	FLICKR	FLICKR	TEST,[bottom, top]
