Pair ID;sentence_A;sentence_B;entailment_AB;entailment_BA;Annotation;Comments;If ungrammatical, corrected into*;*(the annotation label concerns the grammatical sentence)
181;Various people are eating at red tables in a crowded restaurant with purple lights;Various customers are eating in a crowded restaurant with purple lights;A_entails_B;B_neutral_A;correct: A entails B;eating at red tables => eating;;
191;A motorcycle rider is standing up on the seat of a white motorcycle;A motorcycle is riding standing up on the seat of the vehicle;A_entails_B;B_neutral_A;non-sensical;motrocycle cannot be riding standing up;;
193;Someone is on a black and white motorcycle and is standing on the seat;A rider is on a black and white bike and is standing on the seat;A_entails_B;B_neutral_A;correct: A entails B;motorcycle => bike;;
200;A motorcyclist is riding a motorbike dangerously along a roadway;A motorcyclist is riding a motorbike along a roadway;A_entails_B;B_neutral_A;correct: A entails B;dangerously riding => riding;;
204;A man with a helmet painted red is riding a blue motorcycle down the road;A motorcyclist is riding a motorbike along a roadway;A_entails_B;B_neutral_A;correct: A entails B;man => motorcyclist, motorbike = motorcycle;;
208;A motorcyclist with a red helmet is riding a blue motorcycle down the road;A motorcyclist is riding a motorbike along a roadway;A_entails_B;B_neutral_A;correct: A entails B;motorbike = motorcycle, motorcyclist with a red helmet => motorcyclist;;
209;A dog is catching a stick in the air and another is watching;A dog is leaping high in the air and another is watching;A_entails_B;B_neutral_A;correct: A entails B;catching a stick in the air => leaping high in the air;;
222;The blond girl is dancing in front of the sound equipment;The equipment in front of the blond dancing girl is sound;A_entails_B;B_neutral_A;non-sensical in that context;the equipment cannot be sound;;
229;The children of a family are patiently playing and waiting;The children of a family are playing and waiting;A_entails_B;B_neutral_A;correct: A entails B;patiently playing => playing;;
231;Three Asian kids are dancing and a serious man is looking;Three Asian kids are dancing and a man is looking;A_entails_B;B_neutral_A;correct: A entails B;serious man => man;;
253;A hiker is on top of the mountain and is doing a joyful dance;A hiker is on top of the mountain and is dancing;A_entails_B;B_neutral_A;correct: A entails B;joyful dance => dancing;;
255;A man is on a rock high above some trees and is standing in an uncomfortable position;A man is on a rock high above some trees and is standing in a strange position;A_entails_B;B_neutral_A;wrong: A should be neutral to B;uncomfortable isnt necessarily strange;;
265;The brown horse is very near a red barrel at the rodeo;The brown horse is near a red barrel at the rodeo;A_entails_B;B_neutral_A;correct: A entails B;very near => near;;
273;A boy is standing in the cold water;A boy is standing in the water;A_entails_B;B_neutral_A;correct: A entails B;cold water => water;;
282;A skilled man is playing a guitar on stage;A man is playing a guitar on stage;A_entails_B;B_neutral_A;correct: A entails B;skilled man => man;;
293;Two young girls are sitting on the ground;Two girls are sitting on the ground;A_entails_B;B_neutral_A;correct: A entails B;young girls => girls;;
305;A nude lady is walking in front of a crowd in body paint;A topless girl is covered in paint;A_entails_B;B_neutral_A;correct: A entails B;nude lady => topless girl, in body paint = covered in paint, B is subset of A;;
311;A group of people is near the ocean;A crowd of people is near the water;A_entails_B;B_neutral_A;correct: A entails B;ocean => water, grouo of people = crowd of people;;
324;A man is pointing at a silver sedan;A man is pointing at a car;A_entails_B;B_neutral_A;correct: A entails B;silver sedan => car;;
331;A group of people is on a beach;A group of people is near the sea;A_entails_B;B_neutral_A;correct: A entails B;beach => sea;;
333;A man a woman and two girls are walking on the beach;Four people are walking on the beach;A_entails_B;B_neutral_A;correct: A entails B;a man & a woman & two girls => four people;;
336;A man a woman and two girls are sitting on the beach;A group of people is on a beach;A_entails_B;B_neutral_A;correct: A entails B;a man & a woman & two girls => four people;;
337;A man a woman and two girls are walking on the beach;A group of people is near the sea;A_entails_B;B_neutral_A;correct: A entails B;a man & a woman & two girls => four people, beach => sea;;
339;A man a woman and two girls are walking on the beach;A group of people is on a beach;A_entails_B;B_neutral_A;correct: A entails B;a man & a woman & two girls => four people, beach => sea;;
340;A schoolgirl with a black bag is on a crowded train;A girl with a black bag is on a crowded train;A_entails_B;B_neutral_A;correct: A entails B;schoolgirl => girl;;
354;Two dogs are running and carrying a toy in their mouths;Two dogs are running and carrying an object in their mouths;A_entails_B;B_neutral_A;correct: A entails B;toy => object;;
361;A dog is chasing another and is holding a stick in its mouth;Two dogs are running and carrying an object in their mouths;A_entails_B;B_neutral_A;wrong: A should be neutral to B;a stick in its mouth != an object in their mouths;;
362;A dirty soccer ball is rolling into a goal net;A soccer ball is rolling into a goal net;A_entails_B;B_neutral_A;correct: A entails B;dirty soccer ball => ball;;
371;A man is resting on a chair and rubbing his eyes;A man is sitting on a chair and rubbing his eyes;A_entails_B;B_neutral_A;correct: A entails B;resting => sitting;;
373;A man with tattoos is lounging on a couch and holding a pencil;A tattooed man is on a sofa and is holding a pencil;A_entails_B;B_neutral_A;correct: A entails B;man with tattoos = tattooed man, lounging on the sofa => being on the sofa;;
384;A white and tan dog is running through the tall and green grass;A white and tan dog is running through a field;A_entails_B;B_neutral_A;wrong: A should be neutral to B;the tall and green grass !=> a field;;
390;A white and tan dog is running through the tall and green grass;A brown and white dog is running through the tall grass;A_entails_B;B_neutral_A;correct: A entails B;tall and green grass=>tall grass;;
406;A group of scouts are hiking through the grass;People are walking;A_entails_B;B_neutral_A;correct: A entails B;A group of scouts=people, hiking through the grass=>walking;;
408;A group of explorers are walking through the grass;Some people are walking;A_entails_B;B_neutral_A;correct: A entails B;A group of explorers=people, walking through the grass=>walking;;
410;A group of scouts are hiking through the grass;Some people are walking;A_entails_B;B_neutral_A;correct: A entails B;A group of scouts=some people, hiking through the grass=>walking;;
414;Two men are holding bikes and standing on the side of a road covered of snow;Two men with bikes are on the side of a snowy road;A_entails_B;B_neutral_A;correct: A entails B;road covered of snow=> snowy road, holding bikes=>with bikes, standing on the side=>are on the side;;
422;Two men are holding fishing poles and fishing tackle;Two men are holding fishing poles;A_entails_B;B_neutral_A;correct: A entails B;holding A &B=> holding A;;
424;Two men are standing near the water and are holding fishing poles;Two men are standing near the water and are holding tools used for fishing;A_entails_B;B_neutral_A;correct: A entails B;fishing poles=>tools used for fishing;;
432;Two men are standing near the water and are holding fishing poles;Two men are holding fishing poles;A_entails_B;B_neutral_A;correct: A entails B;A&B=>B;;
445;A lady is surfing and riding a wave;A woman is surfing;A_entails_B;B_neutral_A;correct: A entails B;A&B=>A;;
453;Two children and an adult are standing next to a tree limb;Three people are standing next to a tree limb;A_entails_B;B_neutral_A;correct: A entails B;Two children and an adult=3 people;;
455;Two children are hanging on a large branch;Two children are climbing a tree;A_entails_B;B_neutral_A;wrong: A should be neutral to B;hanging on a large branch=>climbing a tree;;
469;A man is performing a trick on a green bicycle;A man is performing a trick on a bike;A_entails_B;B_neutral_A;correct: A entails B;green bicycle=>bike;;
473;A boy is holding a squirt gun;A child is holding a squirt gun;A_entails_B;B_neutral_A;correct: A entails B;boy=>child;;
477;A child with a gun that sprays water is laughing and getting hit by other boys;A child is holding a squirt gun;A_entails_B;B_neutral_A;correct: A entails B;A child with a gun that sprays water=>a child holding a squirt gun;;
481;A laughing child is holding a water gun and getting sprayed with water;A child is holding a squirt gun;A_entails_B;B_neutral_A;correct: A entails B;holding a water gun=>holding a squit gun;;
482;Two brown dogs are fighting over a red ball and are playing in the grass;Two brown dogs are fighting over a red toy and are playing in the grass;A_entails_B;B_neutral_A;correct: A entails B;ball=>toy;;
502;A man is sitting comfortably at a table;A person is sitting comfortably at the table;A_entails_B;B_neutral_A;correct: A entails B;man=>person;;
515;A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians;A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians;A_entails_B;B_neutral_A;correct: A entails B;boa=>scarf;;
518;The woman wearing silver pants pink bellbottoms and a pink scarf is happily riding a bike;The woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike;A_entails_B;B_neutral_A;correct: A entails B;happily riding=>riding;;
554;A dog which is brown and a black one are racing in the grass;A dog which is brown and a black one are running in the grass;A_entails_B;B_neutral_A;correct: A entails B;racing=>running;;
585;A group of boys are playing with a ball in front of a large door made of wood;The children are playing in front of a door which is very large;A_entails_B;B_neutral_A;correct: A entails B;a group of boys=>children;;
587;A bunch of boys are playing with a ball in front of a large door made of wood;The children are playing in front of a large door;A_entails_B;B_neutral_A;correct: A entails B;bunch of boys=>children;;
590;A group of boys are playing with a ball in front of a large door made of wood;The children are playing in front of a large door;A_entails_B;B_neutral_A;correct: A entails B;a group of boys=>children;;
591;A woman is taking off a cloak which is very large and revealing an extravagant dress;A woman is taking off a cloak which is very large and revealing extravagant apparel;A_entails_B;B_neutral_A;correct: A entails B;dress=>apparel;;
612;A young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling;A teenage girl is wearing beads that are red;A_entails_B;B_neutral_A;correct: A entails B;boy=>kid;;
645;A rock is being climbed by a person with a rope which is pink;One man is climbing a cliff with a rope;A_entails_B;B_neutral_A;correct: A entails B;rock=>cliff, active/pass rock climbing;;
648;A person is climbing a rock with a rope which is pink;One man is climbing the cliff with a rope;A_entails_B;B_neutral_A;correct: A entails B;person=>man, rock=>clif;;
667;A cyclist is fearlessly performing a trick in the air;The cyclist is performing a trick in the air;A_entails_B;B_neutral_A;correct: A entails B;fearlessly performing=>performing;;
673;One man is doing a trick with a bicycle in midair;The cyclist is performing a trick in the air;A_entails_B;B_neutral_A;wrong: A should be neutral to B;child !=>child in orange;;
675;One man is doing a bicycle trick in midair;The cyclist is performing a trick in the air;A_entails_B;B_neutral_A;correct: A entails B;One man=>the cyclist, doing=>performing, in midair=>in the air;;
679;Two dogs of different breeds are looking angrily at each other across a street;Two dogs of different breeds are looking at each other across a street;A_entails_B;B_neutral_A;correct: A entails B;looking angrily=>looking;;
705;A man and a woman are sitting comfortably on the bench;Two people are sitting comfortably on the bench;A_entails_B;B_neutral_A;correct: A entails B;a man and a woman => two people;;
741;A married couple is walking up the aisle;A married couple is walking down the aisle;A_entails_B;B_neutral_A;wrong: A should be neutral to B;it could be two different couples;;
743;A couple who have just got married are walking down the isle;The bride and the groom are leaving after the wedding;A_entails_B;B_neutral_A;wrong: A should be neutral to B;couple !=> man and woman;;
750;The students are filling the classroom;A classroom is full of students;A_entails_B;B_neutral_A;correct: A entails B;students filling => full of students;;
758;The presentation is being watched by a classroom of students;A classroom is full of students;A_entails_B;B_neutral_A;wrong: A should be neutral to B;classroom of students !=> full classroom;;
762;The kid is happily sliding in the snow;The kid is sliding in the snow;A_entails_B;B_neutral_A;correct: A entails B;happily sliding => sliding;;
766;A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees;The kid is still in the snow;A_entails_B;B_neutral_A;wrong: A should be neutral to B;the temporal still cannot be inferred from A;;
772;A woman and a dog are peacefully sitting on a tree stump;A woman and a dog are sitting on a tree stump;A_entails_B;B_neutral_A;correct: A entails B;peacefully sitting => sitting;;
781;A dog is excitedly playing with water in a field;A dog is excitedly playing with water in the grass;A_entails_B;B_neutral_A;wrong: A should be neutral to B;field !=> grass;;
784;The dog is biting some droplets of water;The dog is snapping at some droplets of water;A_entails_B;B_neutral_A;wrong: A should be neutral to B;biting !=> snapping;;
794;Two men are walking two dogs with golden coats in the snow;Two people are walking two dogs with golden coats in the snow;A_entails_B;B_neutral_A;correct: A entails B;men => people;;
796;Two people are in the snow wearing clothes that provide camouflage;Some people are in the snow wearing clothes that provide camouflage;A_entails_B;B_neutral_A;correct: A entails B;two => some;;
807;A girl is looking on surprised from a front window in a house in Asia.;A girl from Asia in front of a brick window looks surprised;A_entails_B;B_neutral_A;wrong: A should be neutral to B;A is ungrammatical: A girl is looking on surprised from a front window in a house in Asia.;A girl is looking surprised from a front window in a house in Asia: still, different sentences;
829;The boy on the grass is lying and is hiding the football between his feet;The football is between the feet of a boy who is lying on the grass;A_entails_B;B_neutral_A;correct: A entails B;hiding football between the feet => football between the feet;;
830;The little kid is playing football and falling harmlessly into the grass;The little kid is playing football and falling into the grass;A_entails_B;B_neutral_A;correct: A entails B;falling harmlessly => falling;;
844;A woman with a ponytail is climbing down a wall of rock;A woman with a ponytail is climbing a wall of rock;A_entails_B;B_neutral_A;wrong: A should be neutral to B;climbing down !=> climbing;;
853;A black and a white dog are joyfully running on the grass;A dog which has a black coat and a white dog are running on the grass;A_entails_B;B_neutral_A;correct: A entails B;joyfully running => running;;
856;One white dog and one black one are cheerfully running side by side on the grass;One white dog and one black one are running side by side on the grass;A_entails_B;B_neutral_A;correct: A entails B;cheerfully running => running;;
858;One white dog and one black one are cheerfully running side by side on the grass;A black and a white dog are joyfully running on the grass;A_entails_B;B_neutral_A;correct: A entails B;joyfully => cheerfully;;
860;One white dog and one black one are running side by side on the grass;A dog which has a black coat and a white dog are running on the grass;A_entails_B;B_neutral_A;correct: A entails B;running side by side => running;;
870;The ice skating rink placed outdoors is full of people;A lot of people are in an ice skating park;A_entails_B;B_neutral_A;correct: A entails B;full of people => a lot of people;;
875;Many people are skating in an ice park;An ice skating rink placed outdoors is full of people;A_entails_B;B_neutral_A;wrong: A should be neutral to B;ice park !=> outdoors;;
876;An ice skating rink placed outdoors is full of people;A lot of people are in an ice skating park;A_entails_B;B_neutral_A;correct: A entails B;ice skating rink outdoors => ice skating park;;
877;A girl in a uniform which is blue is quickly raising her arm;A girl in a uniform which is blue is raising her arm.;A_entails_B;B_neutral_A;correct: A entails B;quickly raising => raising;;
890;A bunch of guys is on the shore;A bunch of people is on the shore;A_entails_B;B_neutral_A;correct: A entails B;guys => people;;
894;People are on a beach full of sand by the ocean and are enjoying a day full of sun;A bunch of people is on the shore;A_entails_B;B_neutral_A;correct: A entails B;beach full of sand by the ocean => shore;;
898;People are on a beach full of sand by the ocean and are enjoying a sunny day;A bunch of people is on the shore;A_entails_B;B_neutral_A;correct: A entails B;beach full of sand by the ocean => shore;;
902;The man is doing a wheelie with a motorbike in a field which is mostly barren;The man is doing a wheelie with a motorcycle on ground which is mostly barren;A_entails_B;B_neutral_A;correct: A entails B;field => ground;;
914;Two people are passionately kissing near a crowd;Two people are kissing near a crowd;A_entails_B;B_neutral_A;correct: A entails B;passionately kissing => kissing;;
923;The young woman in a dyed red shirt is blowing a bubble that is huge;The girl in the red shirt is blowing a bubble ;A_entails_B;B_neutral_A;correct: A entails B;young woman => girl, bubble that is huge => bubble;;
930;The young woman in a dyed red shirt is blowing a bubble that is huge;The young girl is blowing a bubble that is huge;A_entails_B;B_neutral_A;wrong: A should be neutral to B;young woman !=> young girl;;
953;Two toddlers are eating corndogs in a wagon which is really small;Two young children are eating corndogs;A_entails_B;B_neutral_A;correct: A entails B;toddlers => young children;;
956;Some corndogs are being eaten by two toddlers who are in a wagon which is really small;Two young kids are eating corndogs;A_entails_B;B_neutral_A;correct: A entails B;toddlers => young kids;;
959;Two toddlers are eating corndogs in a wagon which is really small;Two young kids are eating corndogs;A_entails_B;B_neutral_A;correct: A entails B;toddlers => young kids;;
961;A man in a shirt dyed purple is walking away from a man in a black shirt who is serious;A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face;A_entails_B;B_neutral_A;wrong: A should be neutral to B;different sentences;;
963;A man in a pose is being amusedly watched by another man;A man doing a pose is being watched by another man;A_entails_B;B_neutral_A;correct: A entails B;amusedly watched => watched;;
965;A man is posing to be watched by another man;A man doing a pose is being watched by another man;A_entails_B;B_neutral_A;wrong: A should be neutral to B;A does not necessarily imply that the other man is indeed watching;;
966;A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face;A man in a pose is being amusedly watched by another man;A_entails_B;B_neutral_A;wrong: A should be neutral to B;funny face !=> pose;;
969;A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny;A man doing a pose is being watched by another man;A_entails_B;B_neutral_A;wrong: A should be neutral to B;funny face !=> pose;;
972;A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face;A man doing a pose is being watched by another man;A_entails_B;B_neutral_A;wrong: A should be neutral to B;funny face !=> pose;;
976;A man is abruptly falling off a horse on a track laid in the wild;A man is falling off a horse on a track and is laid in the wild;A_entails_B;B_neutral_A;lack of common-sense;A man is abruptly falling off a horse on a track laid in the wild;;
986;An adult is in the amphitheater and is talking seriously to a boy;An adult is in the amphitheater and is talking to a boy;A_entails_B;B_neutral_A;correct: A entails B;talking seriously => talking;;
1010;The green field for horse races is completely full of Jockeys;The Jockeys are racing horses on the field which is completely green;A_entails_B;B_neutral_A;wrong: A should be neutral to B;racers != jockeys;;
1035;The snowboarder is leaping fearlessly over white snow;The snowboarder is leaping over white snow;A_entails_B;B_neutral_A;correct: A entails B;leaping fearlessly=> leaping;;
1038;The snowboarder is leaping fearlessly over white snow;A person who is practicing snowboarding jumps into the air;A_entails_B;B_neutral_A;correct: A entails B;leaping over => jumping into the air;;
1041;The snowboarder is leaping over white snow;One person who is practicing snowboarding jumps into the air;A_entails_B;B_neutral_A;correct: A entails B;person practicing snowboard=snowboarde, leaping over snow=jumping;;
1044;The snowboarder is leaping over white snow;A person who is practicing snowboarding jumps into the air;A_entails_B;B_neutral_A;correct: A entails B;leaping over white snow=> jumping in the air;;
1048;A dog which is small is playing tirelessly on the green grass;A dog which is small is playing on the green grass;A_entails_B;B_neutral_A;correct: A entails B;playing tirelessly=>playing;;
1061;A man is riding a motorbike in the event related to motocross;A person is riding a motorbike in the event related to motocross;A_entails_B;B_neutral_A;correct: A entails B;a man =>a person;;
1075;The young peaceful girl is lying about the grass found in the pink shirt;The young girl with a pink shirt is peacefully lying on the grass;A_entails_B;B_neutral_A;wrong: A should be neutral to B;"A is ungrammatical: ""found in the pink shirt"" should be in another position and lying about should be lying on (we must have the lying on meaning if we look at sentence B)";A: The young peaceful girl in the pink shirt is lying on the grass: peaceful girl !=> peacefully lying;
1085;A dog which is large and gray is difficultly carrying a ball in its mouth and running across the grass;A dog which is large and gray is carrying a ball in its mouth and running across the grass;A_entails_B;B_neutral_A;correct: A entails B;A is ungrammatical: difficultly carrying a ball;A: A dog, which is large and gray, is carrying a ball in its mouth with difficulty and running across the grass.;
1094;A dog which is large and gray is carrying a ball in its mouth and running across the grass;A large dog is running on the grass with a tennis ball in its mouth;A_entails_B;B_neutral_A;wrong: A should be neutral to B;ball != tennis ball;;
1098;A woman is riding a brown horse;A woman is riding a horse;A_entails_B;B_neutral_A;correct: A entails B;brown horse => horse;;
1106;A man is opening a small package that contains headphones;A man is opening a package that contains headphones;A_entails_B;B_neutral_A;correct: A entails B;small package => package;;
1121;A dog is riding a skateboard;An animal is riding a skateboard;A_entails_B;B_neutral_A;correct: A entails B;dog => animal;;
1126;A sea turtle is hunting for fish;A sea turtle is hunting for food;A_entails_B;B_neutral_A;correct: A entails B: A entails B;fish => food;;
1129;The turtle is following the red fish;The turtle is following the fish;A_entails_B;B_neutral_A;correct: A entails B;red fish => fish;;
1148;A man is playing a guitar under a windows;A man is playing a guitar;A_entails_B;B_neutral_A;correct: A entails B;A is ungrammatical: under a windows;A: A man is playing a guitar under a window.;
1150;A man is playing a piano at a concert;A man is playing a piano;A_entails_B;B_neutral_A;correct: A entails B;playing at a concert => playing;;
1157;A woman is adding ingredients to a big bowl;A woman is adding ingredients to a bowl;A_entails_B;B_neutral_A;correct: A entails B;big bowl => bowl;;
1159;A woman is cracking some eggs into a bowl;A woman is cracking some eggs into a container;A_entails_B;B_neutral_A;correct: A entails B;bowl => container;;
1165;A woman is cracking some eggs into a bowl;A woman is adding ingredients to a bowl;A_entails_B;B_neutral_A;correct: A entails B;eggs => ingredients;;
1188;A man and a woman are walking together through wooded areas;A man and a woman are walking through a wooded area;A_entails_B;B_neutral_A;correct: A entails B;walking together => walking;;
1192;A man and a woman are walking together through the woods;A man and a woman are walking through a wooded area;A_entails_B;B_neutral_A;correct: A entails B;walking together => walking;;
1193;A man is making a speech on a podium;A man is speaking on a podium;A_entails_B;B_neutral_A;B should entail A as well;making a speech => speaking;;
1208;Two frightened boys are talking on the phone;Two boys are talking on the phone;A_entails_B;B_neutral_A;correct: A entails B;frightened boys => boys;;
1217;A small monkey is walking in the river;A small monkey is walking through water;A_entails_B;B_neutral_A;correct: A entails B;river => water;;
1226;A man is slicing a red tomato;A man is slicing a tomato;A_entails_B;B_neutral_A;correct: A entails B;red tomato => tomato;;
1233;A woman is dancing and singing in the rain;A woman is performing in the rain;A_entails_B;B_neutral_A;correct: A entails B;dance and sing => perfom;;
1253;The hungry woman is eating;The woman is eating;A_entails_B;B_neutral_A;correct: A entails B;hungry woman => woman;;
1280;A man is walking in a yard;A man is walking outside;A_entails_B;B_neutral_A;correct: A entails B;in a yard => outside;;
1287;A black cat is swinging on a fan;A cat is swinging on a fan;A_entails_B;B_neutral_A;correct: A entails B;black cat => cat;;
1299;A man is playing soccer;A man is playing a game with a ball;A_entails_B;B_neutral_A;correct: A entails B;soccer => game with a ball;;
1309;A man is frying a tortilla;A man is frying food;A_entails_B;B_neutral_A;correct: A entails B;tortilla => food;;
1318;A boy is spanking a man with a plastic sword;A boy is spanking a man with a toy weapon;A_entails_B;B_neutral_A;correct: A entails B;plastic sword => toy weapon;;
1321;A boy is whacking a man with a sword;A man is being hit by a kid with a weapon;A_entails_B;B_neutral_A;correct: A entails B;whack = hit, sword => weapon;;
1324;A boy is spanking a man with a plastic sword;A man is being hit by a kid with a weapon;A_entails_B;B_neutral_A;correct: A entails B;spank => hit, sword => weapon;;
1330;A boy is spanking a man with a plastic sword;A boy is whacking a man with a sword;A_entails_B;B_neutral_A;wrong: A should be neutral to B;spank = whack, plastic sword != sword;;
1331;The young lady is measuring the ankle of another woman;The lady is measuring the ankle of another woman;A_entails_B;B_neutral_A;correct: A entails B;young lady => lady;;
1335;The lady is measuring the ankle of another woman;A woman is being measured by another woman;A_entails_B;B_neutral_A;correct: A entails B;lady => woman;;
1337;The young lady is measuring the ankle of another woman;The woman is measuring the other woman;A_entails_B;B_neutral_A;correct: A entails B;young lady => woman;;
1339;The lady is measuring the ankle of another woman;The woman is measuring the other woman;A_entails_B;B_neutral_A;correct: A entails B;lady => woman;;
1340;A man is talking on the phone;A man is making a phone call;A_entails_B;B_neutral_A;correct: A entails B;talk on the phone => make a phone call;;
1348;A man is making a call on a cell phone;A man is making a phone call;A_entails_B;B_neutral_A;correct: A entails B;call on a cell phone => phone call;;
1351;A cute puppy is repeatedly rolling from side to side on its back;A puppy is repeatedly rolling from side to side on its back;A_entails_B;B_neutral_A;correct: A entails B;cute puppy => puppy;;
1353;A cute puppy is repeatedly rolling from side to side on its back;A dog is rolling from side to side;A_entails_B;B_neutral_A;correct: A entails B;puppy => dog;;
1357;A puppy is repeatedly rolling from side to side on its back;A dog is rolling from side to side;A_entails_B;B_neutral_A;correct: A entails B;puppy => dog;;
1358;A machine is sharpening a pencil;A pencil is being sharpened;A_entails_B;B_neutral_A;correct: A entails B;active/passive;;
1360;The machine is shaving the end of a pencil;A pencil is being shaved by the machine;A_entails_B;B_neutral_A;wrong: A should be neutral to B;end of a pencil !=> pencil, active --> passive;;
1362;A pencil is being shaved by the machine;A machine is sharpening a pencil;A_entails_B;B_neutral_A;wrong: A should be neutral to B;shave !=> sharpen;;
1364;The machine is shaving the end of a pencil;A pencil is being sharpened;A_entails_B;B_neutral_A;correct: A entails B;shave = sharpen;;
1367;A man is playing a keyboard in a park;A man is playing a keyboard;A_entails_B;B_neutral_A;correct: A entails B;in a park => no PP;;
1369;A pianist is playing the keyboard;A person is playing the keyboard;A_entails_B;B_neutral_A;correct: A entails B;pianist => person;;
1373;A man is playing a keyboard in a park;A person is playing the keyboard;A_entails_B;B_neutral_A;correct: A entails B;man => person, in the park => no PP;;
1375;A man is playing a keyboard;A person is playing the keyboard;A_entails_B;B_neutral_A;correct: A entails B;man => person;;
1376;A man is rinsing a large steak;A man is rinsing a large piece of meat;A_entails_B;B_neutral_A;correct: A entails B;steak => piece of meat;;
1385;A person is chopping a red onion;A person is chopping an onion;A_entails_B;B_neutral_A;correct: A entails B;red onion => onion;;
1387;A person is riding an old motorcycle;A person is riding a motorcycle;A_entails_B;B_neutral_A;correct: A entails B;old motorcycle => motorcycle;;
1394;A sad man is crying;A man is crying;A_entails_B;B_neutral_A;correct: A entails B;sad man => man;;
1404;A man is chopping butter into a small container;A man is chopping butter into a container;A_entails_B;B_neutral_A;correct: A entails B;small container => container;;
1412;Men are sawing logs;Men are cutting wood;A_entails_B;B_neutral_A;correct: A entails B;saw => cut, logs = wood;;
1416;Men are sawing logs;Men are sawing;A_entails_B;B_neutral_A;correct: A entails B;sawing logs => sawing;;
1418;Men are cutting wood;Some men are sawing;A_entails_B;B_neutral_A;correct: A entails B;cut wood => saw;;
